Function	FT00104	FT00109	FT00114	FT00128	FT00149	FT00174	FT00177	FT00182	FT00189	FT00202	FT00220	FT00231	FT00303	FT00311	FT00385	FT00400	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00070	ST00075	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00088	ST00091	ST00092	ST00094	ST00100	ST00101	ST00112	ST00123	ST00132	ST00142	ST00143	ST00146	ST00162	ST00176	ST00184	ST00190	ST00203	ST00205	ST00207	ST00208	ST00219	ST00223	ST00226	ST00227	ST00234	ST00242	ST00259	ST00263	ST00266	ST00278	ST00281	ST00305	ST00338	ST00348	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00395	ST00411	ST00412	ST00415	ST00420	ST00422	ST00425	ST00465	ST00480	ST00541	SW00001	SW00003	SW00004	SW00006	SW00007	SW00018	SW00021	SW00027	SW00028	SW00032	SW00035	SW00041	SW00106	SW00109	SW00115	SW00116	SW00127	SW00148	SW00172	SW00176	SW00183	SW00197	SW00213	SW00224	SW00295	SW00303	SW00378	SW00395
Metabolism_of_Terpenoids_and_Polyketides	0.0011881110000000002	8.12874E-4	0.002031168	0.001353557	0.00162016	7.66422E-4	0.011717019	9.454750000000001E-4	0.00234262	5.015880000000001E-4	7.563979999999999E-4	3.27105E-4	2.9515E-4	7.26355E-4	6.0992E-5	3.5490199999999993E-4	0.023550422	0.025052243999999998	0.027248161	0.025499411000000003	0.030084513	0.024765719000000002	0.024386421000000002	0.027544805000000006	0.027152035	0.026886864	0.032142701	0.025241679999999996	0.02633239	0.028679576999999998	0.026963710000000002	0.030825113	0.025409651999999998	0.029649884	0.019936263	0.024922419999999997	0.028673024	0.02251269	0.026205855999999996	0.027697838000000002	0.026337951	0.00669706	0.02809034	0.026416490000000004	0.0278016	0.024643619	0.026389509999999998	0.030965633	0.026515999999999998	0.02906595	0.029254080000000005	0.027076468	0.025971912	0.024416103	0.029731667000000003	0.014819832	0.025822013	0.031161196000000002	0.025553153000000002	0.026116081	0.023799415	0.027368774999999998	0.023200256	0.02586481	0.023714319000000005	0.024856786999999998	0.0240448443	0.027572681	0.025502754	0.028022989999999998	0.024451283999999997	0.026899627000000002	0.028942015	0.026456366000000002	0.028007268	0.028944735	0.025863927	0.024022250000000002	0.027033164999999998	0.027324993	0.029264484	0.031842601	0.026180477	0.031154540299999995	0.026921308	0.027625859999999995	0.025729655	0.029526851	0.028529066000000002	0.029125563	0.027934795000000005	0.020569162	0.030206824	0.026377026	0.026406870000000002	0.026545638	0.025814451000000002	0.028360445999999997	0.026430049	0.029523113999999996	0.0249651309	0.004936665999999999	0.017227831	0.022616932	0.026309217	0.030812564999999997	0.027719515000000004	0.026104435	0.025125181	0.01803686	0.024884046099999998	0.024550752	0.026504901000000004	0.025076406	0.030391835	0.022978039999999998	0.022487128000000002	0.027208755	0.005205559	0.026103626	0.024680426000000002	0.008815670999999999	0.027695116000000002	0.010285896	0.021910151000000003	0.01860583	0.015033351	0.0295278	0.028219231999999997	0.030326621999999998	0.027333491	0.026728440000000003	0.036183019	0.015920541	0.03364177	0.027363399999999996	0.0344451291	0.024977767	0.025567595999999998	0.028067613999999998	0.018559857	0.035256437	0.008233031
Metabolism_of_Cofactors_and_Vitamins	0.272873655	0.2095588	0.256887352	0.270421295	0.275634002	0.238580855	0.22638172	0.277890879	0.246263742	0.25065887	0.229645094	0.256832533	0.238646579	0.237507251	0.275675375	0.249952226	0.16954033999999998	0.15165874000000001	0.17929241999999998	0.153384078	0.15386179	0.16844922699999998	0.172890934	0.168621984	0.13343432	0.160965855	0.160525975	0.15148382600000004	0.16022269799999997	0.161313505	0.141155614	0.14502006000000003	0.176738363	0.152638928	0.14959573	0.15360433999999998	0.14620754000000002	0.17453173	0.13973075	0.157027003	0.176936729	0.2428988	0.14130236200000001	0.15062097900000002	0.15935985	0.15795542	0.18983581000000002	0.16304565999999998	0.13392788	0.163760044	0.16102791900000005	0.138338039	0.15667379999999997	0.162271515	0.14141320000000002	0.11719470999999998	0.168297526	0.154682147	0.164269956	0.16954191999999998	0.16820196099999998	0.14995175799999996	0.15398124899999996	0.15951188000000002	0.156387787	0.15010247	0.159624945	0.164733576	0.163671264	0.14157084400000003	0.16702211699999997	0.159834189	0.1626658	0.16360531399999997	0.174996264	0.14937970399999997	0.15166490500000002	0.15266968	0.155515626	0.17079409899999998	0.14492375999999998	0.13676001899999995	0.16387179899999998	0.15088789	0.161564716	0.177721258	0.164199722	0.14822443	0.17419593100000003	0.14673154	0.15107020399999999	0.215262334	0.13746797	0.15221665	0.165073678	0.17565310999999997	0.17897980900000002	0.16195136499999999	0.16337657400000002	0.17073128399999996	0.171738147	0.21157117000000003	0.179024814	0.13869243	0.16674714499999999	0.141225564	0.143921264	0.17712977100000005	0.15396249699999998	0.15878825400000002	0.15566924699999998	0.165407515	0.15743367600000002	0.154857718	0.140875246	0.167827987	0.15379309700000002	0.16354051099999997	0.27220497	0.165091879	0.163869879	0.10786599999999999	0.14428174500000002	0.169791753	0.149353809	0.12418549000000001	0.216527083	0.155642426	0.140012075	0.152382986	0.172261672	0.172927728	0.146721253	0.179970109	0.146458047	0.162079424	0.15906423700000002	0.16880121399999998	0.154800073	0.149000446	0.14658575	0.13409855400000004	0.06712122
Transcription	0.002492248	0.003364601	0.001882061	0.002172174	0.00323247	0.003002907	0.005535231	0.002621617	0.00357282	0.00386364	0.0031870939999999997	0.0024126209999999998	0.0031525399999999997	0.004243814	0.00182996	0.002832905	0.00600912	0.00740603	0.00662672	0.00679173	0.0063222700000000005	0.005691	0.0043989400000000005	0.00513608	0.00839643	0.006509480000000001	0.00655253	0.006774093	0.005985809999999999	0.007473	0.009720056999999999	0.00574	0.00545726	0.00695812	0.00806738	0.00579416	0.008761138	0.00531388	0.007278	0.00567905	0.0058604700000000004	0.0252007	0.00793926	0.00609531	0.008052970000000001	0.00774631	0.007230472	0.00761153	0.008273159000000002	0.00555864	0.005401619999999999	0.008222402	0.00717	0.00599942	0.00780278	0.0054368870000000005	0.00554696	0.00615758	0.00649721	0.0062122	0.0059673799999999996	0.006688319999999999	0.00639835	0.00634585	0.00575334	0.00676363	0.00655985	0.006866369999999999	0.00678872	0.008664898999999998	0.00595988	0.0063573	0.00781468	0.00645092	0.00564596	0.007635449999999999	0.00790932	0.00729548	0.00595898	0.00541704	0.00771415	0.007408420000000001	0.00642839	0.005654719999999999	0.00635051	0.0056651	0.00609197	0.00679819	0.00533775	0.008189519	0.00782553	0.00869331	0.00903382	0.00589272	0.00533323	0.00553133	0.0050567	0.00731591	0.006068979999999999	0.00637879	0.006980015199999999	0.0053362900000000005	0.006746977	0.00677002	0.00616959	0.0066475399999999995	0.006729560000000001	0.00753759	0.006874839999999999	0.006949209	0.00647658	0.00614764	0.005662090000000001	0.00626743	0.007694589999999999	0.006826682	0.006526599	0.006951428	0.005003184	0.007714929000000001	0.006378773	0.00595421	0.007262984	0.0038570909999999996	0.010604952	0.006987287	0.0065343599999999995	0.0067481600000000004	0.0066795809999999995	0.0071284469999999996	0.006168722000000001	0.0060583040000000005	0.00736065	0.004806169999999999	0.005721088	0.006131968999999999	0.005809546	0.006890308	0.00661085	0.00691062	0.007386824	0.00676083	0.005543057
Signaling_Molecules_and_Interaction	0.02472671	0.02015753	0.02252743	0.025846479999999998	0.02426259	0.020615139999999997	0.018295415	0.02465371	0.02595904	0.02224846	0.02034417	0.02175638	0.01948719	0.02089175	0.025213759999999998	0.021766499999999998	4.488E-6	2.18359E-5	7.970150000000001E-4	1.953E-5	7.947E-6	1.5301100000000002E-4	1.6814100000000002E-4	4.99749E-5	2.9132759999999996E-4	4.00496E-4	9.38858E-5	2.047964E-4	3.52852E-4	3.9488699999999996E-4	1.64275E-4	7.394699999999999E-5	1.57293E-4	2.6816000000000002E-5	0.0015713600000000002	2.037159E-4	1.521467E-4	6.52839E-5	6.38402E-4	3.1341699999999997E-4	1.0615410000000001E-4	0.0	3.33857E-4	7.0367E-5	1.1771000000000001E-4	1.968174E-4	7.64513E-4	2.38208E-4	8.61596E-4	1.24964E-4	2.23336E-4	5.3009999999999996E-5	1.786E-4	1.0618E-4	3.905E-5	0.062679238	1.1462500000000001E-4	7.24415E-4	4.017958E-4	1.6429569999999998E-4	3.785356E-4	1.7551600000000002E-4	8.350999999999999E-5	1.89439E-4	3.04111E-4	4.35468E-4	1.56723E-4	7.86311E-4	3.816545E-4	5.072E-5	2.3968199999999999E-4	1.500339E-4	2.37369E-4	3.3971200000000004E-4	9.6764E-5	8.415E-5	3.3548000000000003E-4	1.8595799999999998E-4	8.94503E-5	3.91201E-5	1.961E-5	7.083999999999999E-5	1.3857500000000002E-4	2.0251280000000002E-4	6.249E-5	6.773099999999999E-5	1.0046999999999999E-4	1.57046E-4	2.1839999999999998E-5	2.933786E-4	4.2477E-5	0.009947346	1.0326E-4	6.03246E-5	5.983E-5	4.609E-5	2.982E-5	0.00165675	1.4773888E-4	3.64037E-4	1.55421E-4	0.019750329999999996	0.026299151	0.00138565	1.68556E-4	4.4821E-5	1.40262E-4	7.42567E-5	7.28111E-5	0.020914998	1.5020299999999998E-4	5.62E-5	1.53131E-4	8.807E-5	0.005146055	0.010352291	0.010607614	0.015555057	0.025144180000000002	0.005561119999999999	0.004260682	0.11277759999999999	1.4074E-4	0.07070579	0.035244687999999996	0.065181117	0.011006189999999999	0.0048314759999999995	6.05654E-4	0.002055012	0.0022825600000000003	0.006164683	3.5200300000000004E-4	0.0370353	0.020534252	0.002677367	0.008228815	0.005577175	0.001324371	9.54604E-4	0.065166733	0.002838476	0.102693615
Nucleotide_Metabolism	0.00664087	0.0067922899999999994	0.00589695	0.00662541	0.00743993	0.00689654	0.01453023	0.00650738	0.0066110100000000005	0.005901099999999999	0.0051454199999999995	0.0067949099999999995	0.00572763	0.00596499	0.0064063	0.0056726699999999994	0.021811209999999998	0.0270567	0.022342	0.02178184	0.0249551	0.022248650000000002	0.02144388	0.022318200000000003	0.027759199999999998	0.0234735	0.024729	0.0229069	0.0241689	0.0260419	0.0288916	0.0248571	0.02308334	0.025175	0.0235176	0.0255409	0.0259633	0.021855779999999998	0.029246300000000003	0.020907580000000002	0.02276531	0.0379096	0.026791099999999998	0.024932	0.0285025	0.0244269	0.022138659999999998	0.0234156	0.028095	0.022898210000000002	0.02209009	0.0263865	0.024498100000000002	0.02083111	0.0253732	0.01577135	0.0247933	0.0266823	0.0245538	0.0250539	0.02212007	0.024229300000000002	0.02391413	0.0259874	0.0228641	0.0269067	0.024247	0.0257248	0.0256479	0.025754600000000002	0.02201699	0.0244153	0.026478	0.023612170000000002	0.024323499999999998	0.0273713	0.0255412	0.0275517	0.0236672	0.02183839	0.0251883	0.0269579	0.0236997	0.02118563	0.024671	0.0237378	0.0238932	0.0266012	0.02296112	0.0267706	0.0258793	0.0226599	0.027785	0.0226955	0.022477419999999998	0.02315184	0.02215442	0.0268919	0.02377518	0.0252358	0.026122600000000003	0.00944181	0.0214743	0.0273031	0.02301001	0.0245999	0.025681500000000003	0.027011010000000002	0.0233197	0.02181936	0.0237748	0.02247493	0.02354394	0.0227162	0.0258959	0.020267439999999998	0.0252906	0.0220236	0.0107533	0.0248716	0.021679	0.01339221	0.025062599999999997	0.01293152	0.0248869	0.01611469	0.0225917	0.023012499999999998	0.02262123	0.0247421	0.0240702	0.0226257	0.0252781	0.014505259999999999	0.021391800000000002	0.02206209	0.023506199999999998	0.0226734	0.023381100000000002	0.0236039	0.02097248	0.02310206	0.01019529
Immune_System	0.071639029	0.10379749499999999	0.06733919699999999	0.108227196	0.08321629	0.09437989000000001	0.0393017613	0.10853890500000002	0.10667689999999999	0.105099162	0.09696766200000001	0.104216091	0.10110586900000001	0.10056923899999999	0.108371629	0.103194214	5.47561E-4	9.873E-5	5.9674E-4	9.097599999999999E-5	2.0079999999999997E-5	1.282E-4	2.323E-5	5.6628E-5	9.841E-5	1.12198E-4	2.11927E-4	6.9743E-5	5.2209999999999996E-5	4.0736000000000004E-5	1.32802E-5	1.0739999999999999E-5	1.007424E-4	3.881E-5	9.4666E-5	8.1524E-5	1.18251E-4	1.13925E-4	9.988E-5	4.24E-5	5.69792E-5	0.0	7.932E-5	1.859E-5	9.839999999999999E-5	7.063499999999999E-5	1.40774E-4	5.168E-5	7.663000000000002E-5	3.62384E-4	1.624E-5	6.877E-5	3.0969999999999997E-5	1.39935E-4	1.16806E-4	0.02400744	3.8860000000000004E-5	9.661930000000001E-5	1.73628E-4	5.434E-5	2.0484600000000004E-4	4.39422E-5	1.159E-5	3.1074999999999996E-5	7.311000000000001E-5	2.98865E-5	6.879999999999999E-5	1.949552E-4	9.922E-5	1.4088000000000002E-4	8.659E-5	1.0609E-4	5.19E-5	8.751899999999999E-5	4.04E-5	6.782500000000001E-5	2.7032E-5	1.078E-5	4.6634E-5	2.565E-5	6.65869E-5	3.82321E-5	3.4149999999999997E-5	1.51942E-4	4.2566E-5	3.63771E-5	8.297E-5	1.797E-5	6.3061E-5	2.4126E-5	7.7724E-5	0.020937904	7.8965E-5	2.4722499999999995E-4	4.7752E-5	6.5206E-5	3.09545E-5	4.39402E-4	6.482160000000001E-5	1.8001E-5	1.9485299999999999E-4	0.07687610499999999	0.010899964	1.18028E-4	5.1277E-5	2.928194E-5	7.803160000000001E-5	3.3594999999999995E-4	9.3342E-5	0.005910844	9.039000000000001E-5	1.11048E-4	1.35645E-4	2.64505E-4	0.001882617	0.010378906	0.0046037380000000004	0.009489826999999998	0.062322666	0.012730601000000001	0.003718065	0.030782342999999997	1.4398E-4	0.053770761	0.007385636	0.018696271	0.01798005	8.896260000000001E-4	4.21767E-4	0.005001723999999999	0.0021377877	0.007853697	4.910300000000001E-5	0.039774934000000005	0.00182655	0.0035176540000000003	0.003070336	0.007845539	1.773235E-4	0.0012369400000000002	0.008158526	3.97175E-4	0.020588562999999997
Xenobiotics_Biodegradation_and_Metabolism	7.386300000000001E-4	0.010674620000000001	0.006350723999999999	0.005521374000000001	0.00128474	3.75E-5	0.012807503000000001	0.0013987560000000003	0.0	0.007640706	0.00489647	0.007567704	0.005664052	0.001857139	0.0014957570000000001	0.009810666	0.026755532	0.03381574	0.015413904999999999	0.026591800000000002	0.027383986	0.029442433000000004	0.021023605200000003	0.030177665999999995	0.017287153	0.019713260399999998	0.015819437	0.030994847000000002	0.025667131	0.015797527999999998	0.031731386	0.020845303500000006	0.021647027	0.032980108999999994	0.015995209	0.0346821782	0.033856078	0.022421036000000002	0.018964404	0.056334734000000004	0.024264139999999997	0.00788802	0.031799367	0.027696125999999998	0.029725087	0.03553286500000001	0.016322023999999997	0.020088376999999998	0.032188713	0.020325138	0.023044524	0.035487779000000004	0.0249492544	0.028676946000000002	0.028731389999999996	0.014843965999999998	0.034086228999999996	0.029365948	0.018051155999999995	0.018451017	0.030538538	0.033558718200000004	0.025610046999999997	0.028415626000000003	0.020995593999999996	0.024585453000000004	0.032914187	0.026816734000000002	0.030478567000000005	0.027793120000000004	0.031257044000000005	0.027619735000000003	0.014114881999999999	0.027747368	0.022463663	0.012808944000000003	0.0253346936	0.0228922469	0.034814102	0.018969980000000004	0.03891690899999999	0.034465782	0.025825828	0.04817383800000001	0.032486018	0.029907597999999997	0.021474652000000004	0.018615185000000003	0.018570304	0.040045231	0.037091190999999996	0.004964023000000001	0.034459713	0.039666822000000004	0.033716974	0.03209911499999999	0.027743095	0.03331846900000001	0.03408725900000001	0.0312539245	0.023357297000000003	0.007602165	0.010218356999999999	0.036985656500000005	0.027475166999999998	0.05328188499999999	0.028839476000000006	0.021785388	0.030300056	0.015675510000000004	0.02234427	0.02686137	0.028575634	0.035415219	0.04240213	0.021711917	0.018421706000000003	0.017843092	0.015854879	0.018144895999999997	0.017057379	0.017396152999999998	0.029176185	0.011903226	0.014405398300000002	0.014905269999999998	0.013731733999999999	0.026200114	0.0403278465	0.03957324400000001	0.037134388	0.018180493000000006	0.030868314000000004	0.013614823	0.047306187000000006	0.033852565	0.052827467999999995	0.019078792999999997	0.034753275	0.032254293	0.005422007	0.0479670729	0.016503635
Membrane_Transport	0.0102951	0.00949179	0.008838201	0.00916453	0.015916	0.010539599999999998	0.016207372	0.00776917	0.009319321	0.0057212999999999995	0.006860069999999999	0.0077918200000000005	0.005169630000000001	0.005960926	0.00576891	0.0047228800000000005	0.015295590000000001	0.0147457	0.01513819	0.01523366	0.013917980000000002	0.0148215	0.01333815	0.01380735	0.0202105	0.015119400000000002	0.01245363	0.01828618	0.01608702	0.0153842	0.01913297	0.01504226	0.01156773	0.015098750000000001	0.01665946	0.02024251	0.0170798	0.01266396	0.01833524	0.025380600000000003	0.011301219	0.02359158	0.01904627	0.0171023	0.0154773	0.016950569999999998	0.015488559999999998	0.01447779	0.01894171	0.014022920000000001	0.01454805	0.01763187	0.017003400000000002	0.013488570000000002	0.01572321	0.0057067969999999996	0.014952340000000001	0.01744687	0.01460222	0.014971149999999999	0.01323451	0.01586937	0.016715960000000002	0.017147040000000002	0.01395537	0.016019310000000002	0.01553804	0.01720373	0.01589709	0.01684761	0.01384585	0.01585963	0.013728830000000001	0.01397021	0.01373805	0.017030700000000003	0.01657506	0.01403126	0.016852609999999997	0.01315838	0.01776666	0.01557912	0.01761601	0.02233323	0.01573395	0.01498371	0.014103459999999998	0.01717688	0.01265918	0.019271200000000002	0.01877045	0.012288714	0.01782094	0.0187795	0.01578662	0.01466439	0.011371169	0.01648109	0.01563502	0.01795327	0.01396988	0.0063724179999999995	0.01822405	0.026487019999999997	0.0151143	0.023160439999999997	0.01631714	0.016372249999999998	0.01657244	0.01628216	0.016345520000000002	0.013298629999999999	0.01458246	0.018492559999999998	0.018364619999999998	0.01950852	0.017673	0.018302230000000003	0.006216864000000001	0.01919116	0.01645978	0.007111158	0.0143958	0.005588351	0.020102889999999998	0.00551013	0.011740107999999999	0.01542731	0.01865759	0.02143213	0.01738255	0.01640291	0.01622278	0.011438720000000001	0.01850594	0.01722004	0.02419478	0.01740822	0.01722812	0.017938060000000002	0.01781606	0.02229745	0.004631328
Cell_Growth_and_Death	0.021889079999999998	0.021606845	0.020072430999999998	0.014862582000000001	0.00848942	0.02115956	0.014689876000000001	0.023796714	0.015062044	0.014606144	0.019864916000000003	0.022840565	0.021032874	0.021842234	0.024771581	0.020931638000000002	0.012952113	0.011232245	0.012235652000000001	0.011406508000000001	0.01280957	0.012749368	0.012118073	0.011813267	0.01381519	0.011892644999999999	0.01381524	0.013747220000000001	0.012777978	0.0131327851	0.014507318	0.013286467	0.0123148812	0.012089315	0.01251075	0.011555246	0.013564690999999999	0.011125893999999999	0.01039668	0.011381991000000001	0.0115397048	0.0	0.012829989000000002	0.014547243999999999	0.013873663999999999	0.013464045999999999	0.012766860000000001	0.012444792	0.01406444	0.011547746	0.011454815	0.012938543	0.012886809	0.012508797	0.01166733	0.01387961	0.011875552999999999	0.011236971	0.011272413	0.011872791	0.010999182	0.012842590000000001	0.012501430000000001	0.013021672	0.012929639	0.011528292999999998	0.012120011	0.014100502000000001	0.011696350000000001	0.012969357	0.014250753	0.01265974	0.012922697399999999	0.012212134000000001	0.011570241	0.014272802	0.0115621824	0.01199331366	0.01296941	0.012970814	0.013303417	0.013050854	0.012720477	0.00984022	0.012933246999999998	0.012467812	0.013337754	0.014199796	0.010654224399999999	0.011806463	0.012664656	0.011519373999999999	0.013631995000000001	0.012561945	0.012989411	0.011727044999999998	0.013354276	0.013296576999999999	0.014367726999999999	0.01059995	0.013221711	0.017217114	0.009564809999999998	0.011849209999999999	0.012837547999999999	0.012257466	0.012410312000000001	0.012418370000000001	0.014285937	0.011665885	0.013467891000000001	0.013382903	0.011928989000000001	0.012228825999999998	0.012896363	0.01304539	0.01321393	0.011652837000000001	0.024222175999999998	0.012701571000000002	0.012559345	0.012659458	0.011991925	0.014464842	0.01357239	0.009829272	0.011165277999999999	0.012864532	0.011786155999999999	0.01295689	0.013718863999999999	0.01427654	0.014447357	0.009093903	0.012525051	0.011523949	0.012215315	0.012915244000000001	0.013446645	0.013582888	0.010394292999999999	0.011494650999999998	0.008975968
Folding_Sorting_and_Degradation	0.027205672999999996	0.018497128000000005	0.021959572	0.02256048	0.018971019	0.026312341	0.028589048000000002	0.02499252	0.01727709	0.023543759999999997	0.020905538	0.018967184	0.022651393	0.020736731	0.02164134	0.019215253	0.031675836	0.030287087	0.032239521	0.031718908	0.033648444	0.037581441	0.031966943	0.033981986	0.036327942999999994	0.034309203	0.029647375	0.037777203	0.033523949	0.031548609	0.035767074999999995	0.034947654	0.026808677	0.032930471	0.040857869	0.038012547	0.037798767	0.033126252	0.036314129	0.037511898999999994	0.032321811000000006	0.0908603	0.033323746999999994	0.034174296	0.036382684000000005	0.036812481	0.034192134	0.031895695	0.03805290000000001	0.034843798	0.030669995999999998	0.039123438999999996	0.034903074	0.033615009	0.03086745	0.056708276	0.033071996	0.033958390000000005	0.030452036000000002	0.03112236	0.030513602000000004	0.032164035	0.031095685	0.033724529	0.03173504	0.031726294	0.033071013	0.035564766000000005	0.033002779999999995	0.035923855000000005	0.030980424	0.034908802	0.031938402	0.029901217000000004	0.030924098	0.034600791	0.032937415	0.032246054999999996	0.034377900999999995	0.032855376000000006	0.035173166	0.034903907	0.034990653000000004	0.031468304	0.032610038	0.038518723	0.028321739000000002	0.033912481	0.03077934	0.03858199	0.038904289	0.026530782000000003	0.036261182999999995	0.032794037	0.033213282	0.037356416999999996	0.028904624	0.031907235	0.031231943	0.029720411000000002	0.034426067	0.023854701000000002	0.030763076999999996	0.036251706	0.032899699	0.035665425	0.034384166	0.032699534	0.03515506	0.036184551	0.035996270999999996	0.030835138	0.034428888	0.033816894	0.03502931	0.033414056	0.031810631	0.038732968	0.021898391000000003	0.038715523	0.035614157	0.090119986	0.032408783000000004	0.05044225	0.04056615400000001	0.058037546	0.030870654	0.032884969	0.03135675	0.038076301	0.03226230299999999	0.036508464000000004	0.03377065	0.036815974999999994	0.033985	0.035296948	0.03712304600000001	0.033249015	0.035403885	0.042299702	0.030300749	0.034269778	0.062455401
