Function	FT00104	FT00109	FT00114	FT00128	FT00149	FT00174	FT00177	FT00182	FT00189	FT00202	FT00220	FT00231	FT00303	FT00311	FT00385	FT00400	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00070	ST00075	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00088	ST00091	ST00092	ST00094	ST00100	ST00101	ST00112	ST00123	ST00132	ST00142	ST00143	ST00146	ST00162	ST00176	ST00184	ST00190	ST00203	ST00205	ST00207	ST00208	ST00219	ST00223	ST00226	ST00227	ST00234	ST00242	ST00259	ST00263	ST00266	ST00278	ST00281	ST00305	ST00338	ST00348	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00395	ST00411	ST00412	ST00415	ST00420	ST00422	ST00425	ST00465	ST00480	ST00541	SW00001	SW00003	SW00004	SW00006	SW00007	SW00018	SW00021	SW00027	SW00028	SW00032	SW00035	SW00041	SW00106	SW00109	SW00115	SW00116	SW00127	SW00148	SW00172	SW00176	SW00183	SW00197	SW00213	SW00224	SW00295	SW00303	SW00378	SW00395
Photosynthesis_antenna_proteins	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.30807E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mucin_type_O_glycan_biosynthesis	3.11E-5	2.49819E-4	7.19956E-4	0.00109056	0.00267017	0.00133214	3.85255E-4	0.00188143	0.00179547	5.45189E-4	6.52E-5	7.51E-5	3.78609E-4	3.46E-5	2.06982E-4	5.87949E-4	0.0	0.0	3.8E-8	0.0	0.0	0.0	0.0	1.33E-7	0.0	7.14E-5	0.0	0.0	0.0	5.87E-6	4.7E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.28E-7	0.0	0.0	0.0	1.11097E-4	0.0	6.59E-6	0.0	0.0	6.14E-6	4.3E-6	0.0	0.0	4.06E-5	0.0	4.77E-6	2.55E-8	0.0	0.0	3.41E-8	0.0	2.9E-7	5.64E-6	8.9E-7	1.16E-6	0.0	0.0	1.23964E-4	6.34E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48E-6	0.0	5.51E-7	2.6E-5	0.0	5.73E-6	1.62E-5	7.3E-7	0.0	7.93E-6	2.43E-7	7.89E-5	2.5E-5	7.12861E-4	2.87E-8	3.19E-7	0.0	1.23E-7	0.0	1.94E-7	1.39E-7	0.0	0.0	6.61E-5	0.00114804	2.76E-6	0.0	1.85E-7	0.0	0.0	0.0	2.79955E-4	0.0	3.85E-8	8.95E-8	3.37E-8	9.63E-5	5.97E-5	7.8E-5	4.47E-5	4.68E-5	1.78E-5	1.05E-5	2.24878E-4	6.37E-6	0.00143421	1.23E-5	0.00118704	1.94704E-4	4.99E-5	3.8E-6	9.03E-6	0.0	1.93397E-4	3.2E-5	3.62E-5	3.11E-5	3.75E-5	1.29E-5	2.13E-5	1.37E-8	0.0	0.0	1.05E-5	8.68796E-4
Caffeine_metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17682E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34E-5	0.0	4.55E-7	0.0	0.0	2.51173E-4	0.0	0.0
Fatty_acid_elongation_in_mitochondria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00205415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76345E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72931E-4	0.0	4.86916E-4	0.0	2.44E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00271714	0.0	0.0	0.0	4.0132E-4	1.81626E-4	0.0	0.0	0.0	0.00139999	1.7791E-4	0.0	2.88097E-4	0.0	0.0	0.0	0.0	6.35E-5	0.0	0.0	0.0	0.0	0.0	4.23986E-4	5.44097E-4	0.0	0.0	1.14132E-4	0.0	0.0	0.0	0.0	0.0	0.0	4.71384E-4	5.62997E-4	0.0	3.85E-6	5.55E-5	0.0	0.0	0.0	0.0	1.43003E-4	5.88671E-4	0.0	6.76347E-4	0.0	0.0	0.0	0.0	0.0	2.48E-5	0.0	7.91136E-4	5.89512E-4	4.21768E-4	3.08952E-4	2.69424E-4	2.11516E-4	0.0	5.0196E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72406E-4	0.00130993	5.32696E-4	1.15369E-4	0.0	0.0	6.1E-5	1.24303E-4	0.0	0.0	3.13865E-4	0.0	2.65E-5	0.0	7.77E-7	1.20275E-4	0.0	0.0	0.0	0.0	2.20376E-4
Glycolysis_Gluconeogenesis	4.31651E-4	6.72915E-4	8.79225E-4	8.05289E-4	4.70632E-4	6.51815E-4	0.00547449	0.00100868	8.72165E-4	7.677E-4	8.81517E-4	0.00102765	6.81944E-4	0.00124213	3.8434E-4	5.65201E-4	0.0120836	0.0133728	0.0114871	0.011689	0.011069	0.0114323	0.0115878	0.0111907	0.0141651	0.0132079	0.0127727	0.0136385	0.0122387	0.0125098	0.01397	0.0128423	0.0118111	0.0131392	0.0134941	0.0129878	0.013253	0.0109396	0.0128744	0.0147615	0.0129404	0.0	0.013967	0.0127613	0.0123678	0.0126156	0.0115528	0.013127	0.0125843	0.0124784	0.0120148	0.0126878	0.0132167	0.0125427	0.0136376	0.00672222	0.0121088	0.013186	0.0124014	0.0125066	0.0114104	0.0130996	0.0125751	0.0128994	0.0122344	0.013847	0.0134183	0.0112827	0.0126361	0.0131181	0.0118595	0.0121952	0.0118793	0.0124291	0.0116671	0.0122139	0.0121368	0.0146037	0.0124466	0.0117465	0.0123382	0.013342	0.0127096	0.0133867	0.0115844	0.0109435	0.0124186	0.0126387	0.0115962	0.0141258	0.0124831	0.00871341	0.0135422	0.0122741	0.0124065	0.0109983	0.0107159	0.0118227	0.0114728	0.0122114	0.0120561	0.0030998	0.0114191	0.0149763	0.0122565	0.0135636	0.0135168	0.0128317	0.0126304	0.0118747	0.0122716	0.0119238	0.0126907	0.0134962	0.0125152	0.0101434	0.0122076	0.0113709	0.00352475	0.0109728	0.011977	0.00663464	0.0125916	0.00540262	0.0102529	0.00837985	0.00869179	0.0118725	0.0127121	0.0117736	0.0114394	0.0106343	0.0111313	0.00531365	0.0108284	0.0116313	0.0119871	0.0108873	0.012622	0.0122044	0.0114101	0.012887	0.0042448
Drug_metabolism_other_enzymes	0.0	0.00881695	0.0058371	0.00510321	0.0	0.0	0.00923958	0.0	0.0	0.00617307	0.0037627	0.00587876	0.00509571	0.0	0.0	0.00911355	4.81E-5	5.98981E-4	7.4E-5	6.41326E-4	0.00155183	3.52429E-4	2.48195E-4	3.70696E-4	6.6093E-4	4.83807E-4	0.00175339	9.88128E-4	4.7889E-4	3.84836E-4	5.25588E-4	0.00137266	0.00171408	0.00105035	0.0	2.23036E-4	4.87649E-4	1.61502E-4	3.33674E-4	9.43312E-4	3.171E-4	0.0	3.78672E-4	0.00126186	5.43652E-4	1.6689E-4	1.60358E-4	9.77829E-4	6.06969E-4	3.10759E-4	4.95269E-4	6.72776E-4	8.68051E-4	3.06952E-4	9.29105E-4	0.00992036	4.654E-4	0.00125169	3.83618E-4	7.48238E-4	7.76517E-4	0.00121936	4.40641E-4	8.18481E-4	0.00100101	3.14267E-4	4.04938E-4	3.63728E-4	5.5179E-4	4.35036E-4	7.79847E-4	3.47493E-4	9.1556E-4	9.21822E-4	3.77046E-4	1.30015E-4	8.84783E-4	6.99325E-4	5.50897E-4	4.53795E-4	0.00106612	4.48575E-4	4.79402E-4	3.64013E-4	8.14781E-4	3.82068E-4	5.06202E-4	5.85285E-4	5.88102E-4	3.00055E-4	4.9925E-4	5.07375E-4	3.58407E-4	4.11372E-4	3.52438E-4	4.66891E-4	7.64857E-4	5.96573E-4	6.95596E-4	1.39771E-4	3.90375E-4	0.00513934	7.20043E-4	6.77186E-4	0.00105093	4.53315E-4	8.55905E-4	3.68919E-4	3.65402E-4	1.45395E-4	6.50337E-4	9.13463E-4	5.41252E-4	8.03E-5	5.7461E-4	1.02319E-4	6.3979E-4	2.08343E-4	0.0129465	4.77875E-4	5.00124E-4	0.00907683	0.00130215	0.0101414	4.81425E-4	0.00916827	0.00106007	4.05778E-4	7.80558E-4	7.28219E-4	5.48615E-4	1.45075E-4	0.00108675	0.0103515	6.83246E-4	2.4572E-4	2.64124E-4	7.37375E-4	4.92778E-4	6.10877E-4	1.06182E-4	2.43475E-4	0.0084284
Polyketide_sugar_unit_biosynthesis	0.0	0.0	0.0	1.69917E-4	0.0	0.0	0.0	1.45867E-4	0.0	0.0	0.0	0.0	4.78E-5	0.0	0.0	4.2E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00547106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0060509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00479433	0.0
Tropane_piperidine_and_pyridine_alkaloid_biosynthesis	1.43797E-4	0.0	0.0	0.0	0.0	2.21E-5	0.0	0.0	0.0	7.44E-6	0.0	0.0	0.0	9.55E-5	0.0	0.0	3.68E-5	1.74E-5	5.92E-5	1.07E-5	2.2E-5	1.29532E-4	1.31699E-4	3.7E-5	1.52083E-4	3.28E-5	0.0	1.34037E-4	9.53E-5	1.0908E-4	1.38E-5	6.45E-6	5.24E-5	1.51E-5	3.33E-5	2.65E-5	8.29705E-4	7.37E-5	1.61E-5	2.91E-5	5.59E-5	0.0	5.44E-5	2.45E-6	5.87E-6	6.99E-5	6.39E-6	8.33E-5	4.18025E-4	9.46E-5	4.68E-5	2.34E-5	1.93901E-4	6.57E-5	2.15E-5	2.93E-6	4.43E-5	1.41E-5	2.01E-5	4.03E-5	3.83E-5	2.76E-5	1.1E-5	3.61E-5	1.64839E-4	4.37E-5	2.69E-5	3.37E-5	7.63E-5	5.6E-5	7.66E-5	3.2E-5	1.29E-6	2.99E-5	8.7E-5	3.08E-6	2.48E-5	8.92E-5	1.3E-5	1.06139E-4	7.25E-5	6.57E-5	8.16E-5	2.62E-5	4.86E-5	2.29502E-4	4.74E-5	5.03E-6	4.88E-6	6.83E-5	1.0192E-4	4.08E-5	7.81E-5	4.29E-5	2.97E-5	2.22014E-4	4.79E-5	9.09E-5	1.50907E-4	1.17E-5	5.87E-5	2.23E-7	1.94E-5	1.52E-5	1.0537E-4	6.63E-5	9.84E-5	8.45E-5	1.35E-5	3.89E-5	8.42E-5	1.13E-5	1.51708E-4	1.3E-5	6.29E-5	2.65E-5	2.49E-5	1.19E-5	1.15E-6	1.69E-5	5.56E-5	0.0	7.73E-5	0.0	1.46E-5	3.6E-5	9.01E-6	6.25E-5	3.35E-5	5.79E-5	3.88E-5	2.71E-5	3.63E-5	2.56E-6	2.04E-5	4.43E-5	1.7E-5	7.33E-5	4.0E-5	1.48E-5	2.15906E-4	7.96E-6	5.45E-6
Ascorbate_and_aldarate_metabolism	2.72713E-4	2.0389E-4	1.62755E-4	0.0	0.0	0.0	0.00277661	0.0	0.0	0.0	0.0	0.0	0.0	5.41116E-4	0.0	0.0	0.00230689	0.00180132	0.0021187	0.00265564	0.00205911	0.00282145	0.00288452	0.00265082	0.00193072	0.00305384	0.00187662	0.00180412	0.00216515	0.00211868	0.00138388	0.00219915	0.00237845	0.00265057	0.00139628	0.00160405	0.00228928	0.00254146	0.00206519	0.00607069	0.00207073	0.0238331	0.0025335	0.00390531	0.00155168	0.00186672	0.00185466	0.0017935	0.00301606	0.00210474	0.00338768	0.00226939	0.0020137	0.00239947	0.00297379	0.00123955	0.00285552	0.00206685	0.00233542	0.00239491	0.00259534	0.00238082	0.00235572	0.00251416	0.00222599	0.00216325	0.00214465	0.00323634	0.00204732	0.00198471	0.00215785	0.00268707	0.00220093	0.00206118	0.00229135	0.00175603	0.00259849	0.00224831	0.00215857	0.00242041	0.00249366	0.00212503	0.00291583	0.00563041	0.00178859	0.00271111	0.00214967	0.00161318	0.00249807	0.0033058	0.00253247	0.00198138	0.00244284	0.0042832	0.00252132	0.00239752	0.00219761	0.00191902	0.00204099	0.00477939	0.00220583	6.19398E-4	0.00331048	0.003978	0.00246096	0.00498931	0.00200697	0.00277319	0.00274439	0.00288077	0.00218704	0.00297436	0.00303862	0.00361566	0.00294896	0.00450603	0.002164	0.00348824	5.22492E-4	0.00284189	0.00345436	0.00104087	0.00234516	2.11618E-4	0.00244899	0.00214574	0.00244704	0.00285267	0.00304138	0.0030234	0.00271354	0.00238419	0.00264007	0.00204632	0.00333769	0.00346333	0.00414599	0.00222229	0.0025686	0.00185113	0.00378002	0.00458349	0.00152542
Various_types_of_N_glycan_biosynthesis	0.0	0.0	6.4E-5	0.0	0.00168328	0.0	0.0	0.0	0.0	0.0	4.66E-5	6.35E-5	3.91E-5	7.61E-5	0.00230651	8.03E-5	1.23E-5	0.0	7.78E-5	2.55E-5	0.0	2.01E-5	0.0	5.4E-5	0.0	2.85E-5	0.0	9.82E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4E-5	0.0	0.0	0.0	0.0	0.0	3.07E-6	6.99E-5	0.0	0.0	0.0	1.11277E-4	1.39E-5	0.0	2.56E-5	0.0	0.0	1.05E-5	0.0	8.63E-6	1.57E-5	0.0	0.0	5.71E-5	1.69E-5	0.0	0.0	0.0	6.78E-5	0.0	1.63E-5	9.0E-6	1.34E-5	1.5E-5	4.2E-5	0.0	0.0	3.59E-5	0.0	1.09E-5	0.0	1.73E-5	2.24E-5	2.23E-5	0.0	1.09E-5	8.67E-6	0.0	3.26E-5	0.0	1.78E-5	6.87E-6	0.0	7.4E-6	2.62E-5	8.64E-6	0.0	2.44E-5	1.52E-5	4.88E-6	3.64E-6	9.16E-5	0.0	8.06E-5	9.25E-6	7.38E-6	5.02E-6	0.0	7.46E-5	0.0	5.45E-5	0.0	2.11E-5	8.11E-5	0.0	5.75E-5	1.74E-7	0.0	5.13E-5	0.0	1.28E-5	0.0	0.0	0.0	0.0	2.37E-5	0.0	2.47E-5	1.76E-5	3.36E-5	9.78E-6	0.0	2.5E-5	1.1E-5	0.0	0.0	0.0	0.0	2.35E-5	1.64E-6	0.0	5.8E-5	0.0	5.42E-5
