Taxa	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00069	ST00070	ST00075	ST00076	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00086	ST00088	ST00091	ST00092	ST00093	ST00094	ST00095	ST00100	ST00101	ST00103	ST00105	ST00109	ST00111	ST00112	ST00116	ST00123	ST00124	ST00127	ST00131	ST00132	ST00136	ST00138	ST00139	ST00141	ST00142	ST00143	ST00146	ST00150	ST00151	ST00152	ST00159	ST00161	ST00162	ST00163	ST00166	ST00167	ST00172	ST00178	ST00183	ST00184	ST00193	ST00194	ST00205	ST00207	ST00222	ST00223	ST00226	ST00227	ST00228	ST00231	ST00232	ST00234	ST00243	ST00248	ST00253	ST00259	ST00266	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00411	ST00412	ST00420	ST00425	ST00465	ST00480	SW00001	SW00002	SW00003	SW00004	SW00005	SW00006	SW00007	SW00009	SW00010	SW00011	SW00012	SW00013	SW00014	SW00017	SW00018	SW00019	SW00020	SW00021	SW00022	SW00023	SW00024A	SW00024B	SW00025	SW00026	SW00027	SW00028	SW00029	SW00030	SW00031	SW00032	SW00033	SW00035	SW00036	SW00038	SW00039	SW00040	SW00041	SW00042	SW00043	SW00044	SW00045	SW00046	SW00047	SW00048	SW00049	SW00050	SW00051	SW00052	SW00053	SW00054	SW00055	SW00056	SW00057	SW00060	SW00061	SW00062	SW00063	SW00064	SW00065	SW00066	SW00067	SW00068	SW00069	SW00070	SW00072	SW00073	SW00074	SW00075	SW00076	SW00078	SW00079	SW00082	SW00085	SW00086	SW00087	SW00089	SW00091	SW00093	SW00094	SW00095	SW00097	SW00098	SW00099	SW00101	SW00103	SW00105	SW00108	SW00110	SW00120	SW00123	SW00124	SW00131	SW00133	SW00137	SW00142	SW00144	SW00147	SW00153	SW00155	SW00156	SW00159	SW00168	SW00169	SW00173	SW00174	SW00177	SW00179	SW00240	SW00243	SW00244	SW00247	SW00248	SW00250	SW00259	SW00262	SW00265	SW00268	SW00288	SW00302
Pseudomonadales	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	4.0	0.0	0.0	0.0	3.0	0.0	9.0	0.0	5.0	0.0	8.0	2.0	2.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	1.0	10.0	0.0	2.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	17.0	0.0	2.0	2.0	3.0	68.0	1.0	0.0	0.0	15.0	10.0	4.0	0.0	165.0	1.0	0.0	130.0	66.0	0.0	14.0	32.0	0.0	0.0	10.0	0.0	197.0	3.0	4.0	0.0	9.0	1.0	28.0	57.0	0.0	4.0	12.0	0.0	2.0	11.0	0.0	312.0	40.0	832.0	4.0	4.0	0.0	0.0	10.0	4.0	112.0	0.0	0.0	20.0	2.0	60.0	14.0	8.0	170.0	34.0	302.0	1.0	4.0	68.0	1.0	8.0	86.0	18.0	29.0	484.0	1.0	126.0	0.0	4.0	7.0	48.0	3.0	54.0	45.0	0.0	0.0	38.0	0.0	247.0	4.0	1.0	17.0	4.0	52.0	78.0	18.0	0.0	70.0	0.0	332.0	0.0	166.0	6.0	6.0	2.0	0.0	0.0	21.0	206.0	0.0	42.0	112.0	20.0	6.0	0.0	2.0	7.0	6.0	1.0	5.0	0.0	5.0	12.0	4.0	11.0
Rhodocyclales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	21.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0
Caulobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Burkholderiales	1.0	3.0	28.0	0.0	736.0	1.0	0.0	0.0	1.0	15.0	65.0	3.0	105.0	13.0	64.0	1821.0	2.0	258.0	3.0	0.0	0.0	1.0	12.0	6.0	13.0	70.0	24.0	1300.0	449.0	0.0	25.0	6.0	4.0	1.0	0.0	3.0	3.0	0.0	910.0	1.0	1814.0	496.0	310.0	224.0	498.0	14.0	238.0	34.0	0.0	22.0	124.0	112.0	734.0	2.0	552.0	298.0	10.0	12.0	2.0	10.0	20.0	18.0	1502.0	960.0	13.0	240.0	0.0	6.0	4.0	196.0	410.0	240.0	266.0	174.0	16.0	200.0	44.0	2.0	3034.0	7.0	13.0	1196.0	88.0	1532.0	412.0	2700.0	222.0	14.0	4.0	9.0	1171.0	23.0	40.0	60.0	566.0	1450.0	154.0	104.0	14.0	96.0	10.0	55.0	212.0	159.0	13.0	15.0	264.0	194.0	14.0	2.0	1074.0	0.0	476.0	1688.0	2.0	15.0	321.0	1.0	6.0	4.0	1.0	117.0	5.0	2.0	2.0	24.0	595.0	2.0	0.0	3.0	4.0	5.0	0.0	247.0	0.0	4.0	35.0	14.0	17.0	7.0	44.0	987.0	1.0	10.0	175.0	44.0	7.0	2.0	0.0	260.0	0.0	402.0	10.0	40.0	82.0	3.0	27.0	2.0	3.0	2.0	442.0	131.0	1536.0	24.0	152.0	6.0	54.0	5.0	1202.0	758.0	510.0	1.0	30.0	0.0	574.0	6146.0	8.0	410.0	364.0	1048.0	1.0	932.0	64.0	27.0	32.0	70.0	110.0	38.0	768.0	85.0	232.0	3.0	22.0	32.0	1256.0	1630.0	90.0	30.0	12.0	8396.0	3268.0	0.0	183.0	4.0	5.0	14.0	22.0	526.0	468.0	9530.0	20.0	102.0	2.0	1564.0	60.0	114.0	58.0	246.0	98.0	9.0	5.0	7.0	386.0	6.0	52.0	146.0	356.0	3.0	3.0	311.0	16.0	408.0	433.0	14.0	8.0	1840.0	34.0	19.0	10.0
Planctomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Campylobacterales	1.0	1.0	15.0	2.0	0.0	0.0	1.0	0.0	0.0	13.0	2.0	1.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	28.0	8.0	2.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	1.0	0.0	3.0	0.0	0.0	4.0	0.0	2.0	2.0	4.0	18.0	0.0	0.0	0.0	0.0	0.0	12.0	2.0	0.0	46.0	0.0	9.0	12.0	0.0	0.0	2.0	0.0	4.0	0.0	11.0	64.0	4.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	4.0	4.0	0.0	0.0	14.0	1.0	0.0	0.0	17.0	16.0	10.0	0.0	0.0	21.0	0.0	2.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	3.0	8.0	0.0	1.0	0.0	4.0	0.0	0.0	1.0	3.0	0.0	4.0	0.0	0.0	33.0	17.0	1.0	13.0	0.0	17.0	14.0	63.0	3.0	94.0	47.0	5.0	153.0	0.0	201.0	158.0	195.0	124.0	3761.0	10.0	9.0	7.0	116.0	114.0	324.0	3906.0	125.0	108.0	812.0	0.0	197.0	115.0	37.0	4.0	0.0	2.0	379.0	0.0	0.0	272.0	708.0	0.0	110.0	119.0	0.0	5748.0	14.0	130.0	2.0	0.0	2.0	18.0	0.0	54.0	226.0	4.0	614.0	18.0	55.0	4.0	1662.0	818.0	38.0	0.0	896.0	0.0	728.0	50.0	13.0	12.0	0.0	2.0	8.0	46.0	3.0	804.0	8.0	7152.0	0.0	1086.0	0.0	8.0	0.0	1880.0	8.0	2.0	0.0	255.0	0.0	282.0	442.0	2.0	8.0	10.0	300.0	130.0	58.0	7.0	632.0	560.0	0.0	0.0	0.0	24.0	401.0	3.0	2.0	55.0	0.0	2898.0	100.0	16.0	1.0	0.0	53.0	1.0	148.0	1.0	0.0	6.0	3.0	17.0	83.0	9.0
Syntrophobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidithiobacillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	14.0	14.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thermotogales	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	2.0	0.0	0.0	0.0	330.0	1.0	1.0	15.0	7.0	0.0	3.0	0.0	4.0	2.0	6.0	24.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	14.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	16.0	0.0	2.0	4.0	1.0	0.0	0.0	26.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	1.0	18.0	4.0	0.0	76.0	0.0	3.0	0.0	2.0	5.0	2.0	0.0	0.0	12.0	0.0	0.0	28.0	0.0	3.0	41.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	10.0	0.0	0.0	7.0	9.0	0.0	3.0	2.0	0.0	0.0	4.0	14.0	0.0	2.0	5.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	121.0	1.0	0.0	0.0	0.0	1.0	16.0	2.0	1.0	4.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	4.0	0.0	2.0	1.0	4.0	4.0	10.0	0.0	4.0	1.0	0.0	8.0	2.0	0.0	0.0	0.0	1.0	14.0	36.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	4.0	0.0	0.0	3.0	0.0	6.0	0.0	0.0	0.0	30.0	1.0	0.0	2.0	0.0	47.0	3.0	0.0	2.0	0.0	108.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	58.0	0.0	1.0	4.0	0.0	174.0	10.0	2.0	0.0	0.0	5.0	0.0	12.0	4.0	0.0	0.0	6.0	0.0	0.0	0.0
Mycoplasmatales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.0	0.0	6.0	0.0	4.0	4.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	8.0	12.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	0.0	6.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	10.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	20.0	0.0	3.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	1.0	10.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	2.0	0.0	0.0	2.0	8.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	1.0	2.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	4.0	0.0	3.0
