Taxa	FT00104	FT00109	FT00114	FT00128	FT00149	FT00174	FT00177	FT00182	FT00189	FT00202	FT00220	FT00231	FT00303	FT00311	FT00385	FT00400	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00070	ST00075	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00088	ST00091	ST00092	ST00094	ST00100	ST00101	ST00112	ST00123	ST00132	ST00142	ST00143	ST00146	ST00162	ST00176	ST00184	ST00190	ST00203	ST00205	ST00207	ST00208	ST00219	ST00223	ST00226	ST00227	ST00234	ST00242	ST00259	ST00263	ST00266	ST00278	ST00281	ST00305	ST00338	ST00348	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00395	ST00411	ST00412	ST00415	ST00420	ST00422	ST00425	ST00465	ST00480	ST00541	SW00001	SW00003	SW00004	SW00006	SW00007	SW00018	SW00021	SW00027	SW00028	SW00032	SW00035	SW00041	SW00106	SW00109	SW00115	SW00116	SW00127	SW00148	SW00172	SW00176	SW00183	SW00197	SW00213	SW00224	SW00295	SW00303	SW00378	SW00395
Proteobacteria	24691.0	52256.0	28407.0	27859.0	10059.0	21846.0	20461.0	41095.0	20617.0	40943.0	43904.0	35772.0	83302.0	43819.0	16555.0	64796.0	34757.0	60555.0	58247.0	54311.0	67059.0	62150.0	18497.0	62437.0	111562.0	211885.0	23511.0	37666.0	123795.0	371069.0	35968.0	22829.0	197162.0	37900.0	6428.0	45761.0	95236.0	88429.0	151593.0	67503.0	97601.0	215.0	108955.0	21021.0	64446.0	23270.0	124373.0	51798.0	66775.0	20158.0	46769.0	57386.0	91276.0	30505.0	52322.0	186473.0	100427.0	201444.0	240654.0	131792.0	59490.0	62101.0	14912.0	230268.0	96053.0	350540.0	52684.0	45615.0	195195.0	49571.0	113562.0	88628.0	325156.0	105169.0	177334.0	93672.0	125131.0	222420.0	53202.0	29569.0	25900.0	115851.0	153179.0	128677.0	101246.0	39311.0	66361.0	71096.0	92961.0	98029.0	107440.0	113020.0	52010.0	112500.0	63330.0	46927.0	37034.0	5673.0	30959.0	200798.0	111794.0	203949.0	157387.0	250515.0	81535.0	95544.0	77085.0	49781.0	8342.0	199105.0	10650.0	50430.0	41961.0	82299.0	34857.0	60705.0	50475.0	84599.0	47831.0	227344.0	75561.0	77980.0	66378.0	89838.0	117000.0	221608.0	121758.0	17259.0	11308.0	72431.0	5269.0	13152.0	35402.0	4437.0	12583.0	75545.0	25324.0	40597.0	33119.0	9685.0	23466.0	26745.0	21623.0
Deinococcus-Thermus	1.0	2.0	1.0	4.0	1.0	0.0	4.0	1.0	5.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	4.0	4.0	8.0	4.0	3.0	5.0	2.0	3.0	12.0	18.0	0.0	3.0	7.0	11.0	5.0	2.0	5.0	1.0	0.0	1.0	16.0	1.0	10.0	4.0	1.0	0.0	6.0	1.0	2.0	2.0	21.0	1.0	15.0	3.0	3.0	2.0	8.0	0.0	3.0	137.0	4.0	23.0	11.0	12.0	4.0	0.0	4.0	14.0	4.0	32.0	1.0	4.0	17.0	6.0	7.0	8.0	6.0	9.0	5.0	6.0	10.0	12.0	7.0	4.0	22.0	51.0	6.0	3.0	35.0	11.0	6.0	9.0	4.0	14.0	34.0	25.0	42.0	3.0	14.0	17.0	9.0	4.0	18.0	9.0	12.0	27.0	77.0	24.0	1.0	35.0	10.0	2.0	0.0	73.0	2.0	0.0	3.0	2.0	31.0	21.0	18.0	37.0	6.0	26.0	20.0	65.0	3.0	45.0	70.0	152.0	14.0	30.0	17.0	14.0	7.0	13.0	18.0	7.0	52.0	19.0	25.0	18.0	19.0	6.0	50.0	9.0	87.0
Thermotogae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	5.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	9.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
Elusimicrobia	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroidetes	51.0	53.0	103.0	25.0	7.0	66.0	624.0	51.0	29.0	36.0	67.0	33.0	100.0	285.0	16.0	49.0	46764.0	7645.0	103026.0	29519.0	9706.0	35968.0	20966.0	33043.0	6192.0	41858.0	2216.0	6368.0	35859.0	57991.0	3723.0	4267.0	80034.0	13011.0	2546.0	15816.0	16360.0	55128.0	15348.0	17294.0	66434.0	35.0	21103.0	5093.0	19546.0	17953.0	3029.0	22289.0	6147.0	22570.0	26396.0	20750.0	31356.0	38176.0	7911.0	2040.0	40029.0	28929.0	25866.0	33385.0	32142.0	47315.0	10896.0	31483.0	31544.0	81414.0	25266.0	23747.0	36067.0	15555.0	51818.0	27112.0	18161.0	46000.0	44726.0	6921.0	15796.0	21603.0	91135.0	20567.0	10052.0	14269.0	88825.0	81793.0	43524.0	28520.0	34929.0	7143.0	33476.0	8057.0	22489.0	3428.0	10957.0	73190.0	99837.0	42902.0	64940.0	3194.0	47186.0	47470.0	65119.0	1860.0	9177.0	5777.0	28314.0	21198.0	19719.0	29202.0	52640.0	15826.0	18781.0	25393.0	30205.0	80191.0	7377.0	11415.0	2765.0	6314.0	727.0	17170.0	19467.0	1118.0	12299.0	207.0	4064.0	2017.0	7022.0	33107.0	38924.0	14192.0	9047.0	6089.0	13389.0	637.0	5726.0	35899.0	3715.0	16778.0	39120.0	40043.0	6190.0	4125.0	1381.0
Tenericutes	22.0	13.0	35.0	30.0	4.0	37.0	20.0	45.0	31.0	33.0	37.0	42.0	59.0	44.0	39.0	47.0	8.0	9.0	16.0	9.0	14.0	9.0	8.0	6.0	20.0	19.0	10.0	11.0	24.0	45.0	10.0	4.0	34.0	6.0	3.0	3.0	25.0	9.0	28.0	9.0	28.0	0.0	17.0	1.0	9.0	3.0	26.0	10.0	17.0	5.0	7.0	17.0	9.0	2.0	13.0	35.0	9.0	23.0	37.0	9.0	16.0	5.0	3.0	23.0	17.0	27.0	12.0	7.0	31.0	6.0	16.0	28.0	26.0	19.0	37.0	19.0	28.0	20.0	8.0	2.0	12.0	7.0	31.0	11.0	8.0	5.0	8.0	13.0	17.0	20.0	10.0	20.0	11.0	8.0	7.0	7.0	5.0	1.0	6.0	25.0	23.0	54.0	35.0	50.0	11.0	7.0	7.0	9.0	10.0	36.0	4.0	10.0	3.0	13.0	12.0	15.0	12.0	30.0	24.0	81.0	12.0	29.0	8.0	33.0	26.0	35.0	36.0	11.0	17.0	29.0	4.0	16.0	5.0	17.0	8.0	26.0	8.0	24.0	8.0	16.0	8.0	0.0	7.0
Firmicutes	58.0	19.0	44.0	60.0	11.0	64.0	685.0	45.0	46.0	32.0	39.0	45.0	102.0	104.0	32.0	53.0	6540.0	5634.0	15792.0	11676.0	3165.0	8645.0	1149.0	8291.0	11830.0	17364.0	1009.0	10573.0	11246.0	13297.0	4480.0	4147.0	3679.0	4598.0	1027.0	22846.0	7791.0	6721.0	9084.0	5158.0	1040.0	7.0	26479.0	2738.0	11430.0	14912.0	1551.0	4402.0	5895.0	2470.0	3258.0	18478.0	22760.0	6204.0	7932.0	3368.0	11518.0	27376.0	10049.0	15513.0	4674.0	11866.0	6104.0	59066.0	10244.0	23395.0	17665.0	11555.0	27022.0	12031.0	3251.0	31423.0	8897.0	13008.0	1773.0	8072.0	9167.0	6959.0	32290.0	2807.0	25605.0	29365.0	19269.0	2604.0	29114.0	33445.0	5382.0	8189.0	2734.0	10089.0	27449.0	1441.0	20552.0	2641.0	4509.0	23135.0	7841.0	1328.0	22171.0	4487.0	6932.0	1791.0	1538.0	15200.0	9790.0	19730.0	26187.0	13900.0	17796.0	6722.0	8927.0	6854.0	10351.0	5877.0	6771.0	2615.0	4866.0	5372.0	468.0	16822.0	6517.0	1163.0	7422.0	1216.0	5634.0	3327.0	2182.0	13882.0	6451.0	9820.0	7020.0	9663.0	13915.0	884.0	2268.0	22452.0	1754.0	10383.0	24205.0	45960.0	2880.0	6160.0	1477.0
Armatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Verrucomicrobia	0.0	5.0	1.0	2.0	0.0	0.0	118.0	3.0	1.0	3.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	1455.0	2.0	1.0	221.0	4.0	8.0	3.0	409.0	1629.0	14.0	2008.0	41.0	74.0	1365.0	58.0	35.0	3.0	7.0	9.0	5.0	6.0	637.0	3.0	46.0	0.0	10.0	1.0	1466.0	5.0	124611.0	15.0	5.0	3.0	2288.0	871.0	16.0	4.0	1113.0	72.0	947.0	21.0	8857.0	371.0	352.0	119.0	266.0	1026.0	321.0	61.0	1.0	5.0	12.0	457.0	16733.0	12.0	3.0	56.0	2.0	138.0	689.0	75.0	8.0	1.0	7975.0	23739.0	55.0	57.0	2491.0	9.0	2.0	105.0	4.0	318.0	43261.0	6.0	12456.0	824.0	4.0	5.0	154.0	205.0	445.0	27.0	18883.0	6.0	8007.0	751.0	143.0	16.0	18.0	6027.0	32.0	4.0	13.0	83.0	18.0	295.0	474.0	1.0	722.0	3.0	1.0	140.0	126.0	1.0	4542.0	0.0	864.0	298.0	0.0	14.0	2627.0	3021.0	0.0	1.0	4940.0	8.0	518.0	2.0	4.0	6.0	8.0	9.0	29.0	2.0	2.0
Chlamydiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	1.0	3.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	2.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
