Taxa	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00069	ST00070	ST00075	ST00076	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00086	ST00088	ST00091	ST00092	ST00093	ST00094	ST00095	ST00100	ST00101	ST00103	ST00105	ST00109	ST00111	ST00112	ST00116	ST00123	ST00124	ST00127	ST00131	ST00132	ST00136	ST00138	ST00139	ST00141	ST00142	ST00143	ST00146	ST00150	ST00151	ST00152	ST00159	ST00161	ST00162	ST00163	ST00166	ST00167	ST00172	ST00178	ST00183	ST00184	ST00193	ST00194	ST00205	ST00207	ST00222	ST00223	ST00226	ST00227	ST00228	ST00231	ST00232	ST00234	ST00243	ST00248	ST00253	ST00259	ST00266	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00411	ST00412	ST00420	ST00425	ST00465	ST00480	SW00001	SW00002	SW00003	SW00004	SW00005	SW00006	SW00007	SW00009	SW00010	SW00011	SW00012	SW00013	SW00014	SW00017	SW00018	SW00019	SW00020	SW00021	SW00022	SW00023	SW00024A	SW00024B	SW00025	SW00026	SW00027	SW00028	SW00029	SW00030	SW00031	SW00032	SW00033	SW00035	SW00036	SW00038	SW00039	SW00040	SW00041	SW00042	SW00043	SW00044	SW00045	SW00046	SW00047	SW00048	SW00049	SW00050	SW00051	SW00052	SW00053	SW00054	SW00055	SW00056	SW00057	SW00060	SW00061	SW00062	SW00063	SW00064	SW00065	SW00066	SW00067	SW00068	SW00069	SW00070	SW00072	SW00073	SW00074	SW00075	SW00076	SW00078	SW00079	SW00082	SW00085	SW00086	SW00087	SW00089	SW00091	SW00093	SW00094	SW00095	SW00097	SW00098	SW00099	SW00101	SW00103	SW00105	SW00108	SW00110	SW00120	SW00123	SW00124	SW00131	SW00133	SW00137	SW00142	SW00144	SW00147	SW00153	SW00155	SW00156	SW00159	SW00168	SW00169	SW00173	SW00174	SW00177	SW00179	SW00240	SW00243	SW00244	SW00247	SW00248	SW00250	SW00259	SW00262	SW00265	SW00268	SW00288	SW00302
Proteobacteria	134.0	378.0	799.0	758.0	4596.0	106.0	1401.0	1556.0	11.0	466.0	509.0	205.0	913.0	53.0	327.0	2002.0	313.0	639.0	3086.0	5.0	0.0	142.0	135.0	21469.0	9883.0	10864.0	576.0	2294.0	575.0	2499.0	228.0	340.0	420.0	2157.0	59.0	177.0	1095.0	1266.0	1083.0	854.0	5352.0	3862.0	1010.0	3756.0	4520.0	536.0	3516.0	7356.0	3220.0	138.0	3034.0	440.0	1336.0	30.0	5654.0	714.0	316.0	292.0	1224.0	127.0	46.0	4518.0	2280.0	1486.0	392.0	1176.0	157.0	220.0	812.0	6469.0	725.0	248.0	306.0	318.0	1032.0	1252.0	688.0	73.0	4064.0	1044.0	455.0	3832.0	1789.0	5932.0	764.0	3054.0	90906.0	2281.0	636.0	170.0	1260.0	933.0	1786.0	1054.0	153742.0	2171.0	1582.0	1366.0	16.0	201.0	1261.0	2330.0	1296.0	6041.0	861.0	2076.0	484.0	17654.0	63.0	249.0	4818.0	4.0	686.0	1830.0	55.0	3123.0	1354.0	1496.0	267.0	1248.0	4812.0	742.0	606.0	834.0	1258.0	2793.0	1458.0	1696.0	4.0	1822.0	854.0	3678.0	3516.0	6771.0	1857.0	3598.0	758.0	646.0	335.0	579.0	6425.0	1455.0	634.0	2962.0	187.0	1858.0	694.0	3032.0	544.0	968.0	142.0	984.0	358.0	788.0	1006.0	2216.0	223.0	3430.0	3205.0	172.0	12874.0	7208.0	34152.0	3400.0	3998.0	204.0	124.0	1352.0	9518.0	2190.0	848.0	1133.0	2884.0	756.0	19636.0	58444.0	972.0	830.0	462.0	3804.0	11.0	2484.0	940.0	1591.0	2112.0	408.0	6750.0	1737.0	3812.0	142.0	33240.0	667.0	8516.0	985.0	59606.0	2605.0	2782.0	1834.0	2330.0	9066.0	4151.0	328.0	1963.0	941.0	770.0	2611.0	910.0	13920.0	700.0	42200.0	1024.0	17202.0	123.0	2954.0	1376.0	3589.0	1874.0	433.0	1870.0	1864.0	495.0	1239.0	2484.0	20.0	6542.0	2444.0	11492.0	41.0	238.0	497.0	1267.0	17578.0	483.0	822.0	398.0	2532.0	3610.0	209.0	808.0
Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
GN02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroidetes	5689.0	9651.0	56113.0	10349.0	39797.0	12191.0	48928.0	67785.0	197.0	12502.0	26767.0	14142.0	27063.0	3768.0	2416.0	69248.0	16399.0	13352.0	14902.0	121.0	32.0	15723.0	2693.0	49737.0	215328.0	164464.0	23788.0	76838.0	7495.0	23840.0	2755.0	16093.0	14368.0	64312.0	22843.0	6918.0	29596.0	32829.0	60130.0	17710.0	101014.0	101164.0	24212.0	111438.0	30380.0	29644.0	50642.0	374408.0	60764.0	2908.0	81570.0	12688.0	22518.0	6510.0	116144.0	296576.0	15135.0	11116.0	15867.0	41245.0	1318.0	78244.0	32978.0	44348.0	24139.0	16722.0	7222.0	37492.0	28108.0	68802.0	48219.0	3966.0	8914.0	71724.0	89900.0	91798.0	31222.0	2210.0	55658.0	63452.0	27871.0	32275.0	62014.0	62032.0	68990.0	86984.0	98902.0	101564.0	10599.0	35666.0	59401.0	47285.0	30592.0	222398.0	537068.0	65103.0	130690.0	135428.0	9406.0	2692.0	23494.0	14281.0	19918.0	139022.0	50920.0	30363.0	6076.0	126604.0	6913.0	31981.0	50318.0	57.0	9504.0	87684.0	5153.0	783658.0	23541.0	78738.0	53896.0	66429.0	58373.0	21856.0	17752.0	9051.0	25728.0	35304.0	11005.0	57862.0	73.0	53830.0	35736.0	47877.0	90492.0	96693.0	38071.0	78517.0	13525.0	13387.0	9643.0	22902.0	55934.0	14067.0	6474.0	46575.0	6972.0	14390.0	12053.0	95716.0	4100.0	6691.0	1879.0	10978.0	1116.0	4524.0	12658.0	17882.0	7426.0	66299.0	19706.0	2848.0	148038.0	82404.0	290130.0	34814.0	238450.0	5718.0	5628.0	15484.0	146236.0	29584.0	38224.0	20112.0	91572.0	21536.0	66808.0	620082.0	52976.0	1956.0	1316.0	57614.0	181.0	77478.0	31218.0	96801.0	46092.0	119018.0	70262.0	9080.0	33320.0	8371.0	108866.0	32344.0	90866.0	40457.0	249824.0	100530.0	16762.0	26518.0	18774.0	127880.0	82174.0	25170.0	37632.0	58827.0	19487.0	38106.0	25660.0	68964.0	114684.0	218884.0	80036.0	14162.0	15833.0	18892.0	13404.0	27073.0	20665.0	21742.0	68848.0	30442.0	50855.0	31900.0	26998.0	35620.0	151104.0	114642.0	166328.0	66163.0	27761.0	8612.0	29449.0	526786.0	40507.0	25694.0	71299.0	56583.0	94081.0	2851.0	33380.0
Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tenericutes	0.0	42.0	3.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	820.0	0.0	471.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	181.0	0.0	2.0	8.0	76.0	2.0	6.0	0.0	0.0	1.0	7.0	0.0	3.0	173.0	0.0	0.0	0.0	4.0	10.0	0.0	0.0	28.0	4.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0	0.0	25.0	1674.0	70.0	0.0	0.0	0.0	1370.0	6144.0	39.0	290.0	0.0	2.0	0.0	1.0	18.0	278.0	34.0	8.0	0.0	2.0	250.0	21.0	414.0	7.0	1.0	4.0	75.0	284.0	10.0	124.0	4.0	0.0	0.0	5.0	0.0	1.0	0.0	20.0	2.0	0.0	6.0	204.0	0.0	2.0	1339.0	4.0	176.0	0.0	3.0	0.0	0.0	2.0	16.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	11.0	9.0	0.0	0.0	0.0	3.0	302.0	0.0	0.0	0.0	137.0	1.0	0.0	0.0	0.0	0.0	1.0	2458.0	0.0	0.0	6.0	1.0	3.0	2.0	78.0	0.0	0.0	0.0	0.0	2.0	5.0	1.0	0.0	58.0	0.0	0.0	1.0	0.0	704.0	1.0	0.0	1.0	0.0	2.0	16.0	100.0	98.0	0.0	0.0	0.0	4.0	0.0	0.0	36.0	3616.0	0.0	2.0	0.0	0.0	10.0	2.0	0.0	0.0	740.0	5.0	24.0	380.0	3.0	0.0	0.0	2.0	0.0	14.0	0.0	0.0	3.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	6848.0	0.0	0.0	9.0	4.0	1508.0	4.0	2.0	0.0	6.0	162.0	0.0	0.0	23.0	264.0	0.0	1.0	1.0	0.0	34.0	2261.0	1.0	0.0	242.0	4.0	178.0	18.0	4.0	1.0	0.0	2.0	0.0	4.0	1.0	0.0	1.0	81.0	4.0	0.0	0.0
Firmicutes	11398.0	14294.0	82928.0	11635.0	19297.0	9341.0	21151.0	24665.0	1282.0	26343.0	12153.0	35649.0	48439.0	6892.0	16305.0	52308.0	6900.0	10506.0	50254.0	198.0	47.0	7116.0	7285.0	30979.0	43670.0	103350.0	76090.0	57364.0	12038.0	33068.0	23280.0	41569.0	58112.0	30136.0	17444.0	18352.0	71231.0	24672.0	90597.0	22327.0	99288.0	133398.0	152570.0	354040.0	101158.0	36034.0	32666.0	431064.0	108496.0	11128.0	100740.0	12810.0	46300.0	8302.0	313184.0	242022.0	23884.0	40906.0	36047.0	22092.0	3690.0	62772.0	65950.0	68544.0	27872.0	115144.0	8886.0	113370.0	11968.0	22442.0	70156.0	9260.0	31716.0	156068.0	56846.0	21772.0	62724.0	3027.0	97908.0	72989.0	33880.0	29992.0	67076.0	110546.0	142540.0	135292.0	483468.0	73766.0	27018.0	33152.0	27340.0	85326.0	21831.0	308152.0	311424.0	39769.0	130190.0	282404.0	5096.0	7578.0	46873.0	19849.0	101404.0	102963.0	70636.0	89835.0	4874.0	67426.0	34087.0	41280.0	80090.0	100.0	202858.0	48601.0	16263.0	890754.0	64605.0	39112.0	50109.0	60676.0	65981.0	33659.0	52115.0	17177.0	30434.0	124449.0	29913.0	93005.0	87.0	66084.0	39692.0	89374.0	71046.0	183338.0	39984.0	56260.0	30921.0	29202.0	8074.0	32340.0	71372.0	35527.0	12440.0	29017.0	5916.0	114561.0	15978.0	152753.0	2977.0	21587.0	4513.0	22441.0	10018.0	8946.0	45700.0	26771.0	6037.0	47466.0	67407.0	2472.0	267468.0	109152.0	305568.0	55356.0	160410.0	21168.0	7960.0	63019.0	180808.0	77940.0	101232.0	26304.0	94902.0	26510.0	165142.0	650456.0	70594.0	20298.0	4536.0	163390.0	695.0	87876.0	162422.0	128544.0	51084.0	84000.0	174082.0	15333.0	81898.0	13230.0	83904.0	46056.0	107356.0	82618.0	108540.0	48108.0	25468.0	52374.0	18288.0	360172.0	67028.0	16480.0	87262.0	116730.0	51460.0	52929.0	27620.0	95646.0	145026.0	271108.0	66920.0	32380.0	13755.0	92804.0	9580.0	48228.0	26478.0	22520.0	77188.0	80388.0	57972.0	32568.0	70315.0	29838.0	368076.0	130914.0	178782.0	11798.0	36689.0	17760.0	18775.0	490922.0	48601.0	22406.0	73055.0	142742.0	99358.0	6147.0	36707.0
Armatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Verrucomicrobia	1.0	52.0	2.0	0.0	7.0	1.0	0.0	0.0	0.0	470.0	4.0	226.0	5.0	37.0	87.0	5.0	1.0	0.0	7.0	0.0	0.0	0.0	8.0	0.0	0.0	12.0	0.0	1.0	24.0	5.0	9547.0	56.0	3.0	0.0	168.0	91.0	0.0	1.0	139.0	28.0	38.0	860.0	6.0	0.0	2134.0	126.0	42.0	314.0	118.0	12.0	48.0	0.0	4.0	4.0	2.0	40.0	1.0	638.0	93.0	813.0	288.0	56.0	668.0	804.0	0.0	764.0	0.0	0.0	4.0	16.0	41.0	14.0	10.0	190.0	96.0	2.0	236.0	1.0	7220.0	1.0	1.0	2755.0	138.0	550.0	1046.0	12.0	64.0	5.0	0.0	286.0	2.0	1.0	4.0	28.0	404.0	842.0	0.0	928.0	0.0	235.0	85.0	0.0	1078.0	2.0	1001.0	1212.0	16.0	880.0	512.0	3228.0	2286.0	0.0	302.0	0.0	2.0	18349.0	0.0	37.0	1.0	11.0	0.0	1.0	207.0	0.0	0.0	0.0	4.0	9.0	0.0	5.0	2.0	2.0	1.0	9.0	187.0	2.0	72.0	0.0	0.0	0.0	0.0	22.0	6.0	0.0	43.0	0.0	0.0	0.0	0.0	109.0	0.0	69.0	6.0	8.0	2.0	42.0	0.0	0.0	0.0	6.0	66.0	4.0	116.0	0.0	938.0	0.0	0.0	0.0	2.0	246.0	508.0	171.0	8.0	0.0	2.0	87988.0	2.0	6.0	0.0	322.0	3.0	2.0	66.0	0.0	16.0	364.0	196.0	1.0	0.0	5.0	4.0	0.0	548.0	37.0	130.0	1.0	4.0	5.0	2.0	998.0	7725.0	0.0	228.0	1.0	27.0	158.0	6.0	128.0	68.0	558.0	106.0	0.0	0.0	102.0	60.0	56.0	0.0	2.0	30.0	101.0	1.0	0.0	15.0	12.0	598.0	6.0	244.0	791.0	775.0	47.0	42.0	2074.0	0.0	31.0	455.0	13.0	125.0	0.0	112.0
Fusobacteria	0.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	0.0	5.0	1.0	588.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	7900.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	3.0	5.0	1.0	46.0	2.0	6.0	6.0	784.0	12.0	0.0	0.0	144.0	0.0	0.0	122.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	6.0	22748.0	29.0	18.0	2.0	0.0	4.0	10.0	0.0	2.0	0.0	0.0	1.0	2.0	32.0	4500.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	7.0	0.0	806.0	1.0	0.0	6.0	15.0	0.0	0.0	0.0	0.0	7.0	74.0	0.0	0.0	3.0	0.0	0.0	0.0	78.0	0.0	12.0	1486.0	1.0	1.0	2.0	0.0	964.0	2.0	1.0	13.0	4.0	2.0	407.0	3.0	1402.0	5.0	3.0	3.0	2.0	0.0	263.0	26.0	8.0	2.0	5024.0	1428.0	52.0	2.0	50.0	2130.0	7.0	126.0	10.0	36.0	10.0	0.0	0.0	126.0	32.0	0.0	2.0	0.0	15.0	218.0	4262.0	0.0	0.0	2.0	0.0	0.0	746.0	134.0	8.0	0.0	40.0	1054.0	2.0	260.0	0.0	10.0	0.0	12.0	0.0	2.0	0.0	100.0	0.0	460.0	0.0	24221.0	0.0	3.0	21.0	7.0	1.0	0.0	310.0	14.0	46.0	0.0	0.0	1.0	0.0	228.0	5.0	0.0	0.0	0.0	11.0	0.0	2.0	29.0	0.0	2.0	42.0	18.0	0.0	0.0	15.0	1.0	14218.0	0.0	0.0	16.0	40.0	18.0	34.0	14.0
