Sample ID	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00069	ST00070	ST00075	ST00076	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00086	ST00088	ST00091	ST00092	ST00093	ST00094	ST00095	ST00100	ST00101	ST00103	ST00105	ST00109	ST00110	ST00111	ST00112	ST00116	ST00123	ST00124	ST00127	ST00131	ST00132	ST00136	ST00138	ST00139	ST00141	ST00142	ST00143	ST00146	ST00150	ST00151	ST00152	ST00159	ST00161	ST00162	ST00163	ST00166	ST00167	ST00172	ST00178	ST00183	ST00184	ST00193	ST00194	ST00205	ST00207	ST00222	ST00223	ST00226	ST00227	ST00228	ST00231	ST00232	ST00234	ST00243	ST00248	ST00253	ST00259	ST00266	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00411	ST00412	ST00420	ST00425	ST00465	ST00480	SW00001	SW00002	SW00003	SW00004	SW00005	SW00006	SW00007	SW00009	SW00010	SW00011	SW00012	SW00013	SW00014	SW00017	SW00018	SW00019	SW00020	SW00021	SW00022	SW00023	SW00024A	SW00024B	SW00025	SW00026	SW00027	SW00028	SW00029	SW00030	SW00031	SW00032	SW00033	SW00035	SW00036	SW00038	SW00039	SW00040	SW00041	SW00042	SW00043	SW00044	SW00045	SW00046	SW00047	SW00048	SW00049	SW00050	SW00051	SW00052	SW00053	SW00054	SW00055	SW00056	SW00057	SW00060	SW00061	SW00062	SW00063	SW00064	SW00065	SW00066	SW00067	SW00068	SW00069	SW00070	SW00072	SW00073	SW00074	SW00075	SW00076	SW00078	SW00079	SW00082	SW00085	SW00086	SW00087	SW00089	SW00091	SW00093	SW00094	SW00095	SW00097	SW00098	SW00099	SW00101	SW00103	SW00105	SW00108	SW00110	SW00120	SW00123	SW00124	SW00131	SW00133	SW00137	SW00142	SW00144	SW00147	SW00153	SW00155	SW00156	SW00159	SW00168	SW00169	SW00173	SW00174	SW00177	SW00179	SW00240	SW00243	SW00244	SW00247	SW00248	SW00250	SW00259	SW00262	SW00265	SW00268	SW00288	SW00302
Acidobacteria_Gp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	45	487	731	92	56	938	140	107	134	294	139	1313	2172	180	1060	991	44	127	2276	7	1	105	276	87	681	1600	1364	369	116	711	882	368	8500	61	158	142	636	33	860	161	1704	2146	7468	5988	1652	750	150	1576	1066	408	554	82	462	128	7260	3164	417	696	381	235	84	262	552	2269	5900	119	2190	130	2646	192	285	1107	54	640	898	644	4768	558	98	2494	780	107	1004	826	1472	498	1566	1446	1490	149	601	515	1799	147	478	2226	801	566	2714	100	48	1045	501	3590	460	2048	1556	81	512	5166	342	1364	2	22614	410	166	11296	5420	204	903	212	721	228	1090	276	425	505	289	657	0	843	123	1053	1575	8684	575	1101	363	790	106	129	3486	312	44	397	82	3547	516	1195	94	186	0	397	125	110	360	342	161	227	918	34	4218	422	3224	30	892	18	56	161	2127	950	2636	128	818	280	1920	6508	622	84	254	4994	17	280	1066	224	76	314	1104	80	500	254	2222	499	704	541	6744	510	620	170	830	2530	496	164	719	929	308	851	434	356	246	3121	424	426	109	974	302	2016	185	105	270	966	526	506	617	486	1542	590	1082	190	413	57	41	35023	174	435	253	710	180	253	357
Alphaproteobacteria	0	17	3	3	4	1	0	40	13	1	2	63	0	9	192	13	8	0	28	0	0	1	2	20	3	2	10	49	16	303	39	7	26	2	4	65	50	0	3	1	94	10	16	248	178	28	58	6	288	20	90	28	32	12	22	12	20	22	108	7	6	0	4	203	236	85	42	8	4	2	5	6	14	0	184	0	4	38	11	70	85	6	0	290	36	86	28	0	45	7	4	318	95	3	55	56	0	19	174	0	0	340	37	6	72	19	4	20	16	2	4	211	0	26	531	4	130	84	268	7	11	2	3	53	4	3	17	302	13	0	6	2	236	0	24	2	3	19	12	1	90	73	90	0	0	1	27	21	5	1	724	0	3	17	0	4	528	18	2	1017	2	258	199	140	0	10	16	6	34	2	78	435	1	36	16	24	30	8	16	28	64	1	114	95	132	0	56	728	5	72	2	54	62	50	5	10	272	2	29	0	573	19	0	92	108	188	18	16	2	158	178	0	24	17	52	8	36	26	7	6	496	51	24	137	2	248	68	94	2	8	47	53	10	517	0	9	188	854	15	3
Bacilli	21	11	3869	27	5	34	245	43	39	1421	21	147	1222	333	711	2837	97	837	1901	41	2	36	456	153	409	5706	13686	3470	25	185	945	678	916	766	55	21	82	1271	2385	595	1732	17890	37742	1265	1138	1378	148	3170	476	532	556	88	388	820	41741	5690	98	340	100	160	52	152	304	1579	2379	38	322	3226	5581	128	404	1097	90	226	1168	314	78	772	666	1266	67	71	8706	2088	14399	3139	3399	3546	380	67	771	106	263	70	2836	8260	4924	924	2360	22	291	516	300	908	299	1920	391	484	810	838	682	913	8	2464	133	162	4273	5826	245	156	172	4491	60	1128	971	1292	11821	738	679	15	3477	940	1784	1053	38458	3479	593	24986	14605	330	3754	10911	189	121	4669	230	89158	915	34869	88	1264	77	8496	9517	1778	5204	3958	664	3298	3690	30	62436	9443	163842	1074	9166	344	36	3333	18726	28102	2215	272	3126	2553	21768	28798	3624	26497	3670	55000	185	1922	9010	2051	876	14798	7024	5528	91456	1414	26738	682	1168	1536	21660	330	15694	7852	1412	4035	12334	16	62333	1967	452	6616	7150	10606	25234	11883	172	17234	788	64897	2608	36802	1882	787	2644	802	226	8371	52605	48	13370	16102	10800	1803	227	327	776	5618	604	2342	251	1196	4748	1958	159
Bacteroidia	5831	11600	56603	10531	40899	12563	49709	69213	200	12588	27048	15481	27643	3780	2449	70826	16571	13534	15032	129	34	16522	2749	50473	218868	166913	25008	78018	7612	24314	2786	16174	22813	64996	23175	7157	29918	33284	62258	17979	103927	102260	24353	112167	31232	29929	51140	379878	64101	2919	82364	12790	22769	7106	117128	298989	15356	11332	16447	41808	1358	79085	33610	489625	44871	24510	16873	7290	37970	28728	71113	49089	4001	8974	72281	94940	92676	31469	2227	56114	64869	28269	32848	61686	66428	69456	88151	99835	102812	10722	36329	60892	47980	31067	225382	543828	65985	131938	136925	9478	2737	23629	14353	20392	144025	51499	30623	6492	127750	7576	35096	53622	61	9582	89057	5518	822776	24600	82357	54473	67217	59158	22300	20765	9169	25924	35591	11232	58690	80	55531	36239	49253	92702	99637	38543	79705	13611	13598	9795	23145	70562	14290	6558	46951	7217	14500	16941	97201	4176	6797	1898	11226	1135	4560	13169	18155	7533	67100	20315	2936	153068	83619	292544	35174	241758	5780	5686	15579	148876	29891	38672	20468	93371	21933	67189	631784	54991	1984	1334	58272	188	78230	31408	98347	46532	120175	73008	9210	33452	8541	110631	32971	95151	41933	251759	101962	16848	26719	19299	129453	82844	25464	37978	59579	19559	38714	25954	69287	115703	222456	83987	14242	16034	19265	13620	27194	21299	22196	69755	30689	51625	32154	27185	36028	153310	121743	167825	66664	31014	8963	30635	533054	41016	28328	73809	58710	98253	2950	33766
Betaproteobacteria	1	107	258	725	4443	1	1278	2	4	447	454	149	723	28	80	1909	140	328	2442	5	0	1	103	6399	9830	9544	556	1589	485	2201	70	229	77	1594	0	159	1116	749	1055	517	3926	3006	780	226	3074	424	2996	6960	2760	130	2602	114	1142	30	4364	600	235	50	1124	11	40	3064	1904	22617	1382	319	326	0	180	608	6047	418	256	268	168	1040	208	662	4	3274	1061	391	1257	1122	5892	414	2842	19943	21	640	7	1264	934	1664	1004	18147	1507	1504	1186	16	101	351	56	950	6077	812	2077	360	10222	22	5	1315	3	614	1819	31	6	345	1013	93	246	1	661	447	755	460	35	654	1432	2	10	523	2856	2	1637	1703	3518	455	340	148	14	2058	1046	1	991	186	63	473	2207	175	320	21	454	123	618	730	749	64	2415	2040	164	1900	6717	1824	650	3558	202	60	1370	8458	1252	710	0	1482	5	14676	38180	150	498	410	2478	9	990	722	1364	1210	112	5920	604	780	90	4496	580	1430	712	1350	1772	2230	1771	424	9122	3413	16	233	10	218	975	542	7576	504	10130	904	4042	7	1796	390	3315	1863	260	1010	288	3	619	1671	12	3220	964	6972	15	3	354	1003	14038	473	418	8	2015	2319	58	279
Chloroplast	0	12	7	0	0	0	3	0	0	15	0	2	7	1	0	16	0	0	1	0	0	0	2	0	4	34	10	18	0	0	15	53	0	0	0	0	7	10	4	0	88	4	0	3408	94	2	24	2	48	8	14	0	30	0	2	86	8	4	3	0	0	0	22	1265	2	15	14	0	12	0	2	121	0	26	18	4	10	2	0	38	0	0	0	148	10	18	0	0	1	8	91	7	3	0	22	38	8	0	44	0	2	3	10	0	0	41	0	0	0	40	23	52	0	2	0	0	104	16	2	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	1	2	0	4	0	0	0	0	0	2	3	22	0	8	0	0	1	2	4	4	0	0	0	0	2	2	0	8	0	0	2	0	4	0	0	2	1	10	0	26	0	0	0	0	0	4	0	4	0	31	0	1	0	0	3	0	4	0	6	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	128	0	0	4	0	0	0	0	61	0	1	1	0	0
Clostridia	11815	14007	74342	11054	14979	7509	16644	24332	1197	20923	9392	33406	41866	5192	15398	40365	6455	8953	41465	136	47	6091	5933	29898	35150	89180	56435	48351	12180	30214	19323	33422	52777	27933	15280	18522	69248	22399	84869	20282	92223	109521	101087	286830	96086	32002	24235	421041	103072	10082	94334	9582	48135	6974	234993	214966	22323	42436	37141	20339	2496	58359	63689	333674	69037	25905	119056	4696	95064	10612	17873	63583	8954	29608	127000	52130	18683	60716	2080	94047	63395	31696	18033	55267	96821	119226	125434	462263	65559	23832	28155	23292	67779	19725	265632	246992	31515	107218	264315	4490	6078	46847	8139	105272	99466	65556	73117	5054	56637	33455	37918	72962	95	190585	43127	16077	830810	60957	35010	48244	55737	61726	30915	52678	15009	27933	112123	30486	87952	74	60665	37097	84390	67438	181931	35534	52523	15006	21457	7138	29542	73858	34174	11303	28299	4596	43345	16745	109959	2708	20905	4090	15230	3820	6844	40332	27284	5219	44158	61791	2251	226170	101998	205862	54214	135456	20433	6924	60551	153280	57562	107663	24665	92176	23827	130143	586287	72517	3734	2262	114700	593	68273	158140	124093	48662	56065	164633	11092	25920	14209	65909	44226	100960	80560	91408	39199	13208	44482	15402	353913	46670	16850	49034	111763	49566	52185	21304	80070	124861	264649	64157	12820	12525	52155	6861	23848	26374	22810	79320	81953	54410	24936	34301	30211	369698	192529	159767	13798	34400	17703	18229	433918	45422	24063	70896	141777	93236	5336	32499
Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deferribacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0
