Sample ID	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00069	ST00070	ST00075	ST00076	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00086	ST00088	ST00091	ST00092	ST00093	ST00094	ST00095	ST00100	ST00101	ST00103	ST00105	ST00109	ST00110	ST00111	ST00112	ST00116	ST00123	ST00124	ST00127	ST00131	ST00132	ST00136	ST00138	ST00139	ST00141	ST00142	ST00143	ST00146	ST00150	ST00151	ST00152	ST00159	ST00161	ST00162	ST00163	ST00166	ST00167	ST00172	ST00178	ST00183	ST00184	ST00193	ST00194	ST00205	ST00207	ST00222	ST00223	ST00226	ST00227	ST00228	ST00231	ST00232	ST00234	ST00243	ST00248	ST00253	ST00259	ST00266	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00411	ST00412	ST00420	ST00425	ST00465	ST00480	SW00001	SW00002	SW00003	SW00004	SW00005	SW00006	SW00007	SW00009	SW00010	SW00011	SW00012	SW00013	SW00014	SW00017	SW00018	SW00019	SW00020	SW00021	SW00022	SW00023	SW00024A	SW00024B	SW00025	SW00026	SW00027	SW00028	SW00029	SW00030	SW00031	SW00032	SW00033	SW00035	SW00036	SW00038	SW00039	SW00040	SW00041	SW00042	SW00043	SW00044	SW00045	SW00046	SW00047	SW00048	SW00049	SW00050	SW00051	SW00052	SW00053	SW00054	SW00055	SW00056	SW00057	SW00060	SW00061	SW00062	SW00063	SW00064	SW00065	SW00066	SW00067	SW00068	SW00069	SW00070	SW00072	SW00073	SW00074	SW00075	SW00076	SW00078	SW00079	SW00082	SW00085	SW00086	SW00087	SW00089	SW00091	SW00093	SW00094	SW00095	SW00097	SW00098	SW00099	SW00101	SW00103	SW00105	SW00108	SW00110	SW00120	SW00123	SW00124	SW00131	SW00133	SW00137	SW00142	SW00144	SW00147	SW00153	SW00155	SW00156	SW00159	SW00168	SW00169	SW00173	SW00174	SW00177	SW00179	SW00240	SW00243	SW00244	SW00247	SW00248	SW00250	SW00259	SW00262	SW00265	SW00268	SW00288	SW00302
Acholeplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidimicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetales	1	0	54	2	0	8	6	8	1	12	0	6	64	22	5	24	11	0	140	0	1	8	30	16	40	56	60	7	1	10	132	39	95	6	11	5	1	6	38	15	180	64	272	76	130	34	28	82	25	16	48	2	122	2	340	186	17	14	7	15	8	0	48	249	12	3	46	20	74	8	11	115	0	10	64	16	60	8	17	304	2	0	39	46	266	190	16	256	9	1	26	3	40	10	128	1252	50	46	48	2	30	14	17	202	10	28	52	12	144	15	35	130	0	664	3	0	84	300	25	31	27	61	5	72	9	20	65	3	52	0	128	32	266	102	6346	7	8	6	645	0	19	2716	1	3	140	6	3267	345	77	0	9	0	321	41	4	54	274	5	25	103	0	2408	36	1919	8	272	0	0	2	104	216	22	34	2	65	282	1306	364	72	234	1964	1	20	174	17	4	246	68	18	380	232	406	7	98	6	4342	0	150	23	668	32	41	2	128	27	60	345	10	130	122	874	6	270	2	344	18	975	7	67	52	249	8	5	153	0	108	122	40	169	0	1	19	592	1	52	11	27	47	189	12
Aeromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alteromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillales	1	2	400	0	2	5	32	6	13	40	10	23	97	57	21	22	25	1	181	1	1	4	38	100	107	88	42	39	4	24	591	49	144	42	8	2	25	16	5	9	296	102	274	328	370	50	78	172	42	10	164	10	170	0	508	228	30	24	17	50	8	16	18	645	94	14	76	76	88	8	17	92	2	28	220	60	44	26	24	416	24	11	23	88	396	558	56	640	89	11	92	13	106	10	190	858	53	72	162	14	20	21	155	90	20	148	177	358	60	70	31	330	2	752	31	13	419	741	40	42	26	1906	23	1015	680	1210	9053	168	414	6	3407	729	996	981	35455	637	337	24895	13884	106	3685	8561	136	76	3621	1	36855	387	91	82	1145	77	5865	8717	220	1750	3650	172	1160	2533	14	53114	9284	158611	844	1812	300	34	3226	284	27100	52	243	2672	222	7628	4640	940	25238	3616	52956	175	1844	6446	1853	780	11488	6175	5392	90513	1341	26583	452	866	1242	10117	298	12046	7537	678	150	11648	8	61868	999	343	5686	3986	7972	23563	4517	62	15586	106	60289	292	34027	1570	707	138	257	62	4588	47615	12	11302	13724	9726	1550	11	304	703	1232	495	1758	87	190	3742	1703	132
Bacteroidales	5831	11600	56603	10531	40899	12563	49709	69213	200	12588	27048	15481	27643	3780	2449	70826	16571	13534	15032	129	34	16522	2749	50473	218868	166913	25008	78018	7612	24314	2786	16174	22813	64996	23175	7157	29918	33284	62258	17979	103927	102260	24353	112167	31232	29929	51140	379878	64101	2919	82364	12790	22769	7106	117128	298989	15356	11332	16447	41808	1358	79085	33610	489625	44871	24510	16873	7290	37970	28728	71113	49089	4001	8974	72281	94940	92676	31469	2227	56114	64869	28269	32848	61686	66428	69456	88151	99835	102812	10722	36329	60892	47980	31067	225382	543828	65985	131938	136925	9478	2737	23629	14353	20392	144025	51499	30623	6492	127750	7576	35096	53622	61	9582	89057	5518	822776	24600	82357	54473	67217	59158	22300	20765	9169	25924	35591	11232	58690	80	55531	36239	49253	92702	99637	38543	79705	13611	13598	9795	23145	70562	14290	6558	46951	7217	14500	16941	97201	4176	6797	1898	11226	1135	4560	13169	18155	7533	67100	20315	2936	153068	83619	292544	35174	241758	5780	5686	15579	148876	29891	38672	20468	93371	21933	67189	631784	54991	1984	1334	58272	188	78230	31408	98347	46532	120175	73008	9210	33452	8541	110631	32971	95151	41933	251759	101962	16848	26719	19299	129453	82844	25464	37978	59579	19559	38714	25954	69287	115703	222456	83987	14242	16034	19265	13620	27194	21299	22196	69755	30689	51625	32154	27185	36028	153310	121743	167825	66664	31014	8963	30635	533054	41016	28328	73809	58710	98253	2950	33766
Bifidobacteriales	0	3	7	0	1	0	0	0	0	0	2	17	10	0	0	13	0	5	5	0	0	0	6	1	2	0	0	4	0	0	39	0	0	0	0	0	0	0	2	2	0	24	22	0	6	8	6	72	0	0	56	0	20	0	2	8	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	4	0	24	8	0	0	2	0	10	8	2	0	5	0	0	38	6	9	4	0	0	6	2	0	4	6	0	40	0	0	1	9	0	0	0	7	0	22	0	0	0	0	12	0	0	127	0	0	3	0	2	5	7	0	0	0	0	0	0	9	0	2	0	31	2	0	0	0	0	0	0	0	0	0	2	0	0	9	0	1	0	2	0	0	0	0	3	0	11	0	30	0	6	0	236	0	0	0	6	10	0	0	0	0	0	2	14	0	0	16	0	0	22	0	0	0	0	0	0	0	0	3	4	8	58	0	0	7	0	0	0	0	0	2	0	0	0	16	0	98	4	0	0	2	2	0	0	0	0	3	0	0	2	0	30	4	8	0	0	0	0	10	0	0	0	0	0	3	4
Burkholderiales	1	107	254	724	4434	1	1277	0	4	447	453	148	721	28	79	1904	140	326	2442	5	0	1	103	6386	9806	9540	556	1587	485	2201	70	229	74	1587	0	159	1116	744	1042	517	3922	2984	778	226	3072	422	2996	6958	2756	130	2602	114	1142	30	4364	596	234	46	1124	11	40	3055	1884	22545	1376	318	326	0	176	608	6033	414	256	268	168	1040	208	644	4	3266	1061	390	1255	1101	5865	414	2842	19882	20	640	7	1263	934	1661	1004	18092	1504	1502	1174	16	101	350	56	950	6072	810	2077	360	10200	22	5	1313	3	612	1812	31	6	344	1010	93	246	1	660	302	752	460	35	654	1430	2	8	521	2855	2	1631	1701	3509	455	325	147	14	2052	1045	1	990	185	63	472	2207	175	318	21	450	123	618	730	749	64	2406	2040	164	1898	6709	1818	648	3558	202	60	1369	8392	1252	708	0	1482	5	14672	38127	150	498	410	2470	9	986	684	1362	1204	70	5920	602	780	89	4496	580	1416	712	1346	1770	2223	1770	424	9105	3405	16	233	9	215	975	542	7562	504	10124	896	4027	7	1774	390	3314	1855	254	1008	286	3	619	1663	12	3108	958	6953	15	3	354	1003	14020	471	418	8	2013	2319	58	279
