Taxa	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00069	ST00070	ST00075	ST00076	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00086	ST00088	ST00091	ST00092	ST00093	ST00094	ST00095	ST00100	ST00101	ST00103	ST00105	ST00109	ST00111	ST00112	ST00116	ST00123	ST00124	ST00127	ST00131	ST00132	ST00136	ST00138	ST00139	ST00141	ST00142	ST00143	ST00146	ST00150	ST00151	ST00152	ST00159	ST00161	ST00162	ST00163	ST00166	ST00167	ST00172	ST00178	ST00183	ST00184	ST00193	ST00194	ST00205	ST00207	ST00222	ST00223	ST00226	ST00227	ST00228	ST00231	ST00232	ST00234	ST00243	ST00248	ST00253	ST00259	ST00266	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00411	ST00412	ST00420	ST00425	ST00465	ST00480	SW00001	SW00002	SW00003	SW00004	SW00005	SW00006	SW00007	SW00009	SW00010	SW00011	SW00012	SW00013	SW00014	SW00017	SW00018	SW00019	SW00020	SW00021	SW00022	SW00023	SW00024A	SW00024B	SW00025	SW00026	SW00027	SW00028	SW00029	SW00030	SW00031	SW00032	SW00033	SW00035	SW00036	SW00038	SW00039	SW00040	SW00041	SW00042	SW00043	SW00044	SW00045	SW00046	SW00047	SW00048	SW00049	SW00050	SW00051	SW00052	SW00053	SW00054	SW00055	SW00056	SW00057	SW00060	SW00061	SW00062	SW00063	SW00064	SW00065	SW00066	SW00067	SW00068	SW00069	SW00070	SW00072	SW00073	SW00074	SW00075	SW00076	SW00078	SW00079	SW00082	SW00085	SW00086	SW00087	SW00089	SW00091	SW00093	SW00094	SW00095	SW00097	SW00098	SW00099	SW00101	SW00103	SW00105	SW00108	SW00110	SW00120	SW00123	SW00124	SW00131	SW00133	SW00137	SW00142	SW00144	SW00147	SW00153	SW00155	SW00156	SW00159	SW00168	SW00169	SW00173	SW00174	SW00177	SW00179	SW00240	SW00243	SW00244	SW00247	SW00248	SW00250	SW00259	SW00262	SW00265	SW00268	SW00288	SW00302
Bacilli	189.0	324.0	4730.0	363.0	77.0	774.0	320.0	137.0	46.0	3948.0	243.0	1133.0	1397.0	367.0	720.0	4037.0	583.0	966.0	4455.0	48.0	2.0	452.0	384.0	254.0	522.0	6094.0	19860.0	4161.0	258.0	1142.0	3350.0	896.0	12522.0	900.0	382.0	67.0	1366.0	1585.0	5417.0	693.0	3296.0	18078.0	38564.0	17690.0	3330.0	1598.0	394.0	5386.0	1458.0	724.0	2328.0	692.0	1240.0	1098.0	43278.0	6118.0	618.0	216.0	221.0	1194.0	146.0	508.0	768.0	1098.0	1580.0	1464.0	3209.0	15956.0	238.0	517.0	1598.0	138.0	1084.0	10164.0	1998.0	138.0	1356.0	663.0	3896.0	8808.0	449.0	8837.0	3288.0	16004.0	16792.0	7278.0	3640.0	440.0	543.0	1823.0	398.0	16419.0	225.0	4966.0	11530.0	5054.0	2254.0	4944.0	40.0	344.0	1258.0	312.0	1812.0	812.0	3186.0	3747.0	522.0	2058.0	1092.0	803.0	1517.0	12.0	5826.0	839.0	325.0	5963.0	7584.0	690.0	1228.0	2079.0	6693.0	703.0	2348.0	2299.0	1489.0	16008.0	811.0	2420.0	17.0	7150.0	2018.0	4822.0	3001.0	37358.0	5272.0	981.0	24744.0	14989.0	479.0	4010.0	11465.0	1351.0	1208.0	4830.0	495.0	88478.0	1312.0	35783.0	100.0	1265.0	450.0	8674.0	9360.0	1812.0	7130.0	4578.0	761.0	3850.0	5174.0	62.0	64988.0	10487.0	163786.0	1746.0	9904.0	620.0	196.0	4211.0	20648.0	28594.0	1580.0	968.0	4068.0	2635.0	22200.0	33094.0	4512.0	26320.0	3760.0	71964.0	181.0	4208.0	10152.0	4271.0	1070.0	15456.0	8236.0	5468.0	90666.0	1593.0	27464.0	1653.0	3682.0	1972.0	19828.0	3041.0	15894.0	8622.0	1448.0	6008.0	12727.0	84.0	62277.0	2136.0	1375.0	6848.0	7690.0	12576.0	26832.0	13256.0	2278.0	17114.0	870.0	64930.0	2708.0	37371.0	2474.0	1003.0	3008.0	2022.0	401.0	9082.0	52346.0	102.0	15908.0	16332.0	13296.0	2050.0	367.0	385.0	920.0	19412.0	1380.0	2457.0	446.0	2207.0	6272.0	1975.0	1134.0
Thermomicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thermotogae	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	2.0	0.0	0.0	0.0	330.0	1.0	1.0	15.0	7.0	0.0	3.0	0.0	4.0	2.0	6.0	24.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	14.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	16.0	0.0	2.0	4.0	1.0	0.0	0.0	26.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	1.0	18.0	4.0	0.0	76.0	0.0	3.0	0.0	2.0	5.0	2.0	0.0	0.0	12.0	0.0	0.0	28.0	0.0	3.0	41.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	10.0	0.0	0.0	7.0	9.0	0.0	3.0	2.0	0.0	0.0	4.0	14.0	0.0	2.0	5.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	121.0	1.0	0.0	0.0	0.0	1.0	16.0	2.0	1.0	4.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	4.0	0.0	2.0	1.0	4.0	4.0	10.0	0.0	4.0	1.0	0.0	8.0	2.0	0.0	0.0	0.0	1.0	14.0	36.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	4.0	0.0	0.0	3.0	0.0	6.0	0.0	0.0	0.0	30.0	1.0	0.0	2.0	0.0	47.0	3.0	0.0	2.0	0.0	108.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	58.0	0.0	1.0	4.0	0.0	174.0	10.0	2.0	0.0	0.0	5.0	0.0	12.0	4.0	0.0	0.0	6.0	0.0	0.0	0.0
Fusobacteriia	0.0	0.0	4.0	0.0	4.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	7.0	1.0	966.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	13573.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	3.0	6.0	1.0	72.0	2.0	0.0	4.0	1310.0	12.0	0.0	0.0	220.0	0.0	0.0	0.0	0.0	0.0	12.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	22149.0	29.0	12.0	0.0	0.0	4.0	11.0	0.0	2.0	0.0	0.0	1.0	0.0	30.0	2407.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	11.0	0.0	76.0	1.0	0.0	2.0	14.0	0.0	0.0	0.0	1.0	7.0	75.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	11.0	32.0	4.0	3.0	2.0	0.0	969.0	2.0	1.0	20.0	2.0	1.0	408.0	4.0	2216.0	5.0	3.0	3.0	2.0	0.0	273.0	24.0	8.0	0.0	113.0	2493.0	44.0	1.0	86.0	2876.0	1.0	126.0	28.0	34.0	0.0	0.0	0.0	128.0	32.0	0.0	2.0	0.0	8.0	220.0	4342.0	2.0	0.0	0.0	8.0	0.0	4.0	136.0	4.0	0.0	40.0	1632.0	2.0	260.0	0.0	6.0	2.0	14.0	0.0	4.0	0.0	100.0	1.0	472.0	6.0	26358.0	0.0	3.0	18.0	7.0	0.0	0.0	310.0	14.0	52.0	0.0	0.0	1.0	8.0	82.0	4.0	0.0	0.0	0.0	12.0	1.0	0.0	28.0	0.0	6.0	56.0	18.0	0.0	0.0	15.0	2.0	1920.0	0.0	0.0	9.0	46.0	18.0	34.0	14.0
Solibacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ignavibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	355.0	0.0	0.0	0.0	305.0	0.0	0.0	0.0	0.0	0.0	2206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	248.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	254.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	245.0	0.0	515.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	473.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	550.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.0	1.0	0.0	33.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deltaproteobacteria	218.0	416.0	1059.0	75.0	229.0	72.0	3.0	14.0	17.0	986.0	74.0	150.0	201.0	49.0	120.0	276.0	879.0	15.0	466.0	1.0	0.0	94.0	93.0	19.0	0.0	1868.0	264.0	139.0	42.0	109.0	165.0	397.0	600.0	736.0	824.0	58.0	170.0	107.0	4660.0	81.0	658.0	1254.0	2014.0	1748.0	1654.0	158.0	638.0	6094.0	538.0	38.0	858.0	68.0	286.0	40.0	1594.0	2404.0	830.0	984.0	136.0	1132.0	8.0	632.0	888.0	456.0	266.0	1912.0	24.0	870.0	200.0	5.0	557.0	28.0	84.0	464.0	104.0	650.0	144.0	9.0	1998.0	110.0	195.0	149.0	145.0	1284.0	340.0	346.0	8678.0	75.0	18.0	280.0	148.0	102.0	170.0	894.0	926.0	453.0	372.0	818.0	22.0	63.0	70.0	27.0	1154.0	58.0	391.0	157.0	110.0	180.0	277.0	391.0	3686.0	2.0	694.0	22.0	185.0	6891.0	3951.0	130.0	239.0	86.0	826.0	131.0	770.0	156.0	294.0	935.0	223.0	525.0	1.0	358.0	226.0	689.0	743.0	984.0	762.0	10.0	125.0	96.0	32.0	43.0	203.0	86.0	44.0	1024.0	45.0	72.0	69.0	862.0	2.0	43.0	0.0	511.0	31.0	58.0	250.0	281.0	29.0	251.0	158.0	10.0	1292.0	1264.0	1192.0	74.0	338.0	12.0	40.0	76.0	2358.0	178.0	534.0	453.0	476.0	143.0	610.0	7260.0	156.0	22.0	8.0	376.0	1.0	352.0	200.0	839.0	304.0	180.0	796.0	138.0	186.0	37.0	2772.0	84.0	154.0	60.0	718.0	84.0	184.0	10.0	70.0	1760.0	241.0	106.0	242.0	104.0	55.0	118.0	16.0	194.0	182.0	1250.0	66.0	456.0	34.0	310.0	84.0	20.0	7.0	100.0	386.0	63.0	104.0	24.0	319.0	250.0	710.0	720.0	206.0	26.0	272.0	114.0	161.0	5044.0	29.0	500.0	563.0	1011.0	730.0	1.0	145.0
Clostridia	10681.0	10253.0	69893.0	9795.0	13152.0	6736.0	15279.0	22276.0	793.0	17915.0	7384.0	26696.0	34257.0	3798.0	9191.0	28013.0	5468.0	7402.0	34033.0	124.0	41.0	5425.0	4336.0	27693.0	32046.0	73780.0	43684.0	37782.0	10436.0	26997.0	14370.0	25673.0	39123.0	25230.0	15396.0	14909.0	57532.0	20920.0	59921.0	16485.0	64812.0	98468.0	76310.0	226008.0	81068.0	27266.0	19624.0	368070.0	83614.0	8530.0	77900.0	7632.0	39312.0	6062.0	205232.0	183146.0	19324.0	27176.0	28684.0	18530.0	2196.0	54314.0	54218.0	53446.0	23835.0	75174.0	4024.0	82090.0	8232.0	16250.0	52079.0	7212.0	22510.0	92676.0	44728.0	12990.0	50184.0	1555.0	73630.0	45744.0	27389.0	16829.0	42493.0	48010.0	98874.0	101482.0	450180.0	53601.0	21514.0	24063.0	19864.0	56879.0	16272.0	193518.0	219734.0	28085.0	80928.0	213652.0	3142.0	4342.0	39616.0	5871.0	82414.0	92737.0	50617.0	61953.0	4254.0	49942.0	28180.0	26222.0	64117.0	82.0	184248.0	35553.0	13573.0	647266.0	46996.0	30976.0	40301.0	53703.0	58179.0	26771.0	36802.0	12864.0	22544.0	110665.0	20533.0	63562.0	60.0	54069.0	34961.0	69674.0	60115.0	138258.0	30410.0	50272.0	12497.0	18109.0	6061.0	24538.0	47389.0	27591.0	9504.0	21742.0	3067.0	32840.0	11442.0	100854.0	2433.0	15162.0	3727.0	11105.0	2689.0	6128.0	28676.0	22028.0	3900.0	41610.0	50116.0	1884.0	171218.0	93931.0	171524.0	50860.0	117008.0	16728.0	4894.0	50828.0	125454.0	46110.0	81696.0	21650.0	68900.0	20695.0	120200.0	488048.0	50152.0	3198.0	2072.0	92654.0	430.0	53400.0	126270.0	115195.0	46272.0	29056.0	131146.0	9561.0	21296.0	12396.0	49458.0	34125.0	86524.0	74311.0	69674.0	34252.0	11708.0	40136.0	9672.0	267556.0	29103.0	12414.0	37839.0	92721.0	38552.0	40167.0	17536.0	72528.0	100446.0	216152.0	55778.0	11508.0	10142.0	40800.0	5282.0	19434.0	25031.0	18480.0	48774.0	69065.0	33040.0	20660.0	28594.0	22808.0	305200.0	130536.0	144342.0	7816.0	25056.0	16501.0	16279.0	378590.0	39377.0	20841.0	55511.0	129587.0	83697.0	3998.0	31306.0
Chloroflexia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deinococci	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	26.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0	16.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	10.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	0.0	6.0	18.0	8.0	8.0	5.0	1.0	0.0	0.0	4.0	0.0	0.0	18.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	1.0	13.0	0.0	10.0	0.0	0.0	7.0	9.0	0.0	0.0	0.0	42.0	0.0	25.0	11.0	25.0	199.0	9.0	5.0	0.0	91.0	12.0	15.0	16.0	825.0	23.0	3.0	673.0	345.0	0.0	80.0	207.0	2.0	3.0	81.0	0.0	987.0	9.0	0.0	0.0	27.0	4.0	170.0	266.0	8.0	36.0	104.0	1.0	19.0	51.0	0.0	1300.0	253.0	3452.0	8.0	60.0	6.0	0.0	61.0	6.0	542.0	0.0	6.0	20.0	3.0	180.0	72.0	12.0	382.0	64.0	956.0	2.0	22.0	122.0	34.0	8.0	170.0	140.0	88.0	1912.0	25.0	394.0	5.0	28.0	12.0	172.0	4.0	204.0	140.0	4.0	0.0	217.0	0.0	1417.0	13.0	3.0	112.0	30.0	178.0	410.0	38.0	0.0	358.0	6.0	1234.0	4.0	768.0	41.0	18.0	4.0	3.0	0.0	84.0	881.0	0.0	246.0	308.0	232.0	22.0	2.0	6.0	12.0	4.0	7.0	22.0	4.0	5.0	54.0	33.0	1.0
