Taxa	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00069	ST00070	ST00075	ST00076	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00086	ST00088	ST00091	ST00092	ST00093	ST00094	ST00095	ST00100	ST00101	ST00103	ST00105	ST00109	ST00111	ST00112	ST00116	ST00123	ST00124	ST00127	ST00131	ST00132	ST00136	ST00138	ST00139	ST00141	ST00142	ST00143	ST00146	ST00150	ST00151	ST00152	ST00159	ST00161	ST00162	ST00163	ST00166	ST00167	ST00172	ST00178	ST00183	ST00184	ST00193	ST00194	ST00205	ST00207	ST00222	ST00223	ST00226	ST00227	ST00228	ST00231	ST00232	ST00234	ST00243	ST00248	ST00253	ST00259	ST00266	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00411	ST00412	ST00420	ST00425	ST00465	ST00480	SW00001	SW00002	SW00003	SW00004	SW00005	SW00006	SW00007	SW00009	SW00010	SW00011	SW00012	SW00013	SW00014	SW00017	SW00018	SW00019	SW00020	SW00021	SW00022	SW00023	SW00024A	SW00024B	SW00025	SW00026	SW00027	SW00028	SW00029	SW00030	SW00031	SW00032	SW00033	SW00035	SW00036	SW00038	SW00039	SW00040	SW00041	SW00042	SW00043	SW00044	SW00045	SW00046	SW00047	SW00048	SW00049	SW00050	SW00051	SW00052	SW00053	SW00054	SW00055	SW00056	SW00057	SW00060	SW00061	SW00062	SW00063	SW00064	SW00065	SW00066	SW00067	SW00068	SW00069	SW00070	SW00072	SW00073	SW00074	SW00075	SW00076	SW00078	SW00079	SW00082	SW00085	SW00086	SW00087	SW00089	SW00091	SW00093	SW00094	SW00095	SW00097	SW00098	SW00099	SW00101	SW00103	SW00105	SW00108	SW00110	SW00120	SW00123	SW00124	SW00131	SW00133	SW00137	SW00142	SW00144	SW00147	SW00153	SW00155	SW00156	SW00159	SW00168	SW00169	SW00173	SW00174	SW00177	SW00179	SW00240	SW00243	SW00244	SW00247	SW00248	SW00250	SW00259	SW00262	SW00265	SW00268	SW00288	SW00302
Proteobacteria	361.0	563.0	1858.0	376.0	5212.0	132.0	1368.0	1545.0	22.0	1270.0	561.0	327.0	1122.0	91.0	297.0	2589.0	1034.0	655.0	3387.0	6.0	0.0	166.0	230.0	18130.0	9547.0	12402.0	934.0	2438.0	546.0	2433.0	241.0	664.0	953.0	2247.0	932.0	459.0	1291.0	837.0	6256.0	897.0	4998.0	4364.0	2904.0	3004.0	5368.0	824.0	3542.0	13176.0	3452.0	338.0	3518.0	222.0	1542.0	66.0	6984.0	3120.0	1118.0	1688.0	1726.0	1250.0	54.0	4542.0	3686.0	1804.0	626.0	2798.0	170.0	1148.0	826.0	6038.0	1235.0	306.0	434.0	804.0	938.0	1554.0	1396.0	45.0	6830.0	1167.0	626.0	4014.0	1728.0	7488.0	1266.0	4410.0	90452.0	2551.0	640.0	364.0	1434.0	1031.0	1881.0	2218.0	156162.0	2385.0	1984.0	2850.0	40.0	271.0	779.0	2345.0	2834.0	6382.0	1254.0	2303.0	560.0	17534.0	349.0	638.0	5370.0	6.0	1476.0	1838.0	261.0	8730.0	4584.0	1236.0	527.0	1290.0	5791.0	938.0	1626.0	513.0	1399.0	3763.0	1461.0	2124.0	2.0	1910.0	946.0	4062.0	3659.0	7233.0	1699.0	3490.0	797.0	695.0	366.0	551.0	7365.0	1278.0	673.0	2878.0	300.0	1888.0	969.0	3682.0	545.0	625.0	124.0	1628.0	375.0	798.0	1326.0	1807.0	238.0	2784.0	3129.0	168.0	13444.0	8122.0	35408.0	3506.0	4234.0	208.0	132.0	1472.0	11026.0	2730.0	1424.0	1508.0	2916.0	814.0	19522.0	60866.0	1186.0	846.0	482.0	4262.0	13.0	2288.0	2662.0	2318.0	2176.0	556.0	7312.0	1768.0	3870.0	181.0	33482.0	745.0	8504.0	795.0	60334.0	2700.0	2888.0	1803.0	2408.0	11066.0	4150.0	386.0	2218.0	1131.0	692.0	2975.0	934.0	13908.0	972.0	43934.0	902.0	17104.0	126.0	3580.0	1392.0	3502.0	1913.0	650.0	2370.0	1223.0	702.0	1277.0	2537.0	280.0	13118.0	30592.0	11826.0	50.0	341.0	609.0	1408.0	20288.0	535.0	1044.0	706.0	3657.0	3564.0	199.0	908.0
Deinococcus-Thermus	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	26.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0	16.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	10.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	0.0	6.0	18.0	8.0	8.0	5.0	1.0	0.0	0.0	4.0	0.0	0.0	18.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	1.0	13.0	0.0	10.0	0.0	0.0	7.0	9.0	0.0	0.0	0.0	42.0	0.0	25.0	11.0	25.0	199.0	9.0	5.0	0.0	91.0	12.0	15.0	16.0	825.0	23.0	3.0	673.0	345.0	0.0	80.0	207.0	2.0	3.0	81.0	0.0	987.0	9.0	0.0	0.0	27.0	4.0	170.0	266.0	8.0	36.0	104.0	1.0	19.0	51.0	0.0	1300.0	253.0	3452.0	8.0	60.0	6.0	0.0	61.0	6.0	542.0	0.0	6.0	20.0	3.0	180.0	72.0	12.0	382.0	64.0	956.0	2.0	22.0	122.0	34.0	8.0	170.0	140.0	88.0	1912.0	25.0	394.0	5.0	28.0	12.0	172.0	4.0	204.0	140.0	4.0	0.0	217.0	0.0	1417.0	13.0	3.0	112.0	30.0	178.0	410.0	38.0	0.0	358.0	6.0	1234.0	4.0	768.0	41.0	18.0	4.0	3.0	0.0	84.0	881.0	0.0	246.0	308.0	232.0	22.0	2.0	6.0	12.0	4.0	7.0	22.0	4.0	5.0	54.0	33.0	1.0
Thermotogae	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	2.0	0.0	0.0	0.0	330.0	1.0	1.0	15.0	7.0	0.0	3.0	0.0	4.0	2.0	6.0	24.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	14.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	16.0	0.0	2.0	4.0	1.0	0.0	0.0	26.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	1.0	18.0	4.0	0.0	76.0	0.0	3.0	0.0	2.0	5.0	2.0	0.0	0.0	12.0	0.0	0.0	28.0	0.0	3.0	41.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	10.0	0.0	0.0	7.0	9.0	0.0	3.0	2.0	0.0	0.0	4.0	14.0	0.0	2.0	5.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	121.0	1.0	0.0	0.0	0.0	1.0	16.0	2.0	1.0	4.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	4.0	0.0	2.0	1.0	4.0	4.0	10.0	0.0	4.0	1.0	0.0	8.0	2.0	0.0	0.0	0.0	1.0	14.0	36.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	4.0	0.0	0.0	3.0	0.0	6.0	0.0	0.0	0.0	30.0	1.0	0.0	2.0	0.0	47.0	3.0	0.0	2.0	0.0	108.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	58.0	0.0	1.0	4.0	0.0	174.0	10.0	2.0	0.0	0.0	5.0	0.0	12.0	4.0	0.0	0.0	6.0	0.0	0.0	0.0
Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	6.0	0.0	14.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	2.0	0.0	0.0	4.0	0.0	4.0	2.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	6.0	2.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	16.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	10.0	0.0	6.0	0.0	2.0	4.0	2.0	0.0	0.0	4.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	4.0	0.0	28.0	0.0	4.0	0.0	6.0	22.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	3.0	4.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0
Bacteroidetes	5795.0	11667.0	56363.0	10531.0	40551.0	12576.0	49716.0	68838.0	210.0	13924.0	26616.0	15730.0	28200.0	3929.0	2539.0	69675.0	16703.0	13431.0	15970.0	129.0	31.0	16472.0	2868.0	50724.0	218536.0	166718.0	24698.0	77079.0	7601.0	24317.0	3178.0	16660.0	23298.0	64938.0	23217.0	7182.0	30156.0	33225.0	63134.0	18237.0	104824.0	102488.0	25018.0	113130.0	32228.0	29996.0	51840.0	377782.0	66698.0	2960.0	82952.0	12818.0	23502.0	7190.0	126502.0	301174.0	15463.0	11316.0	16520.0	41753.0	1448.0	78708.0	33709.0	46826.0	24667.0	16900.0	7175.0	40708.0	28478.0	69286.0	50783.0	4010.0	9206.0	73794.0	94936.0	92226.0	31546.0	2177.0	56922.0	65216.0	28271.0	35131.0	60899.0	65472.0	69506.0	87452.0	103930.0	103566.0	11074.0	37037.0	61309.0	48488.0	30872.0	225508.0	537614.0	67944.0	132458.0	139290.0	9498.0	2842.0	24115.0	14508.0	19922.0	141155.0	52702.0	32301.0	6460.0	126688.0	7705.0	34169.0	54664.0	61.0	10318.0	90149.0	5677.0	822028.0	24982.0	82205.0	55764.0	67173.0	59075.0	22207.0	20978.0	9321.0	25916.0	35515.0	11122.0	59613.0	78.0	55285.0	36274.0	48943.0	92463.0	79314.0	38632.0	79568.0	13618.0	13521.0	9725.0	23134.0	62088.0	14395.0	6454.0	46604.0	7069.0	11484.0	16489.0	97829.0	4173.0	6723.0	1909.0	8438.0	1001.0	4560.0	12540.0	18108.0	7405.0	66938.0	20277.0	2944.0	132646.0	83366.0	291478.0	35154.0	240946.0	5878.0	5624.0	15790.0	148448.0	28968.0	41036.0	20021.0	91300.0	21606.0	67200.0	629406.0	53544.0	1894.0	1306.0	54414.0	181.0	77526.0	31814.0	98036.0	46290.0	116412.0	73994.0	8565.0	33420.0	7949.0	109316.0	32919.0	95374.0	41662.0	249174.0	101735.0	16942.0	26894.0	19058.0	130512.0	84009.0	25440.0	38115.0	59924.0	19384.0	38245.0	25930.0	68784.0	115450.0	221876.0	83520.0	14146.0	15854.0	16788.0	13550.0	27262.0	21125.0	21552.0	68036.0	30917.0	51680.0	32110.0	27228.0	36068.0	153324.0	118274.0	166102.0	66355.0	30713.0	8750.0	30243.0	542404.0	41505.0	28364.0	73206.0	56827.0	96990.0	2975.0	33696.0
Tenericutes	2.0	7.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	10.0	5.0	14.0	10.0	102.0	0.0	1.0	13.0	4.0	0.0	0.0	0.0	2.0	4.0	20.0	4.0	6.0	38.0	123.0	0.0	56.0	978.0	0.0	3.0	234.0	300.0	2.0	28.0	0.0	24.0	10.0	0.0	1080.0	6.0	0.0	14.0	32.0	14.0	156.0	2.0	168.0	20.0	0.0	8.0	12.0	0.0	2.0	1012.0	2.0	8.0	4.0	2.0	4396.0	9.0	18.0	98.0	6.0	0.0	1.0	12.0	262.0	1090.0	20.0	8.0	2.0	110.0	225.0	10.0	6.0	0.0	0.0	15.0	86.0	14.0	3602.0	18.0	5.0	0.0	1.0	2.0	1.0	0.0	86.0	2.0	2.0	2.0	76.0	0.0	0.0	33.0	4.0	40.0	0.0	7.0	3.0	48.0	6.0	206.0	2.0	11.0	0.0	4.0	5.0	171.0	49.0	2.0	5.0	6.0	0.0	5.0	6.0	28.0	0.0	4.0	1.0	29.0	28.0	2.0	0.0	0.0	106.0	4.0	29.0	1.0	0.0	4.0	5.0	1.0	2.0	239.0	43.0	3.0	0.0	1.0	10.0	31.0	1.0	0.0	7.0	0.0	1.0	3.0	2.0	6.0	0.0	0.0	1.0	556.0	2.0	28.0	10.0	32.0	6.0	8.0	0.0	12.0	32.0	6.0	234.0	3794.0	2.0	10.0	277.0	0.0	22.0	10.0	10.0	0.0	22.0	6.0	528.0	90.0	12.0	2.0	20.0	20.0	2.0	8.0	0.0	0.0	2.0	2.0	0.0	248.0	2.0	4.0	0.0	2.0	14224.0	12.0	2.0	5.0	12.0	17.0	4.0	6.0	2.0	12.0	5216.0	6.0	2.0	292.0	0.0	0.0	0.0	3.0	2.0	14.0	46.0	16.0	2.0	14.0	2.0	70.0	10.0	6.0	53.0	1.0	0.0	1.0	28.0	2.0	222.0	4.0	9.0	11.0	1.0	3.0
Firmicutes	11202.0	11683.0	83962.0	10811.0	17665.0	8515.0	19805.0	23279.0	985.0	22648.0	10034.0	29030.0	42323.0	5589.0	12550.0	34886.0	6337.0	9175.0	40588.0	192.0	43.0	6614.0	6020.0	28780.0	40693.0	90220.0	65804.0	52162.0	10817.0	29660.0	21472.0	33145.0	59846.0	28667.0	16157.0	15878.0	60586.0	23789.0	72456.0	19308.0	73878.0	129344.0	129208.0	262826.0	90612.0	32168.0	28092.0	398062.0	94688.0	10100.0	86544.0	8972.0	42350.0	7472.0	276712.0	212144.0	20610.0	29742.0	30476.0	20328.0	3208.0	59236.0	58156.0	58002.0	25652.0	82466.0	7447.0	102472.0	9632.0	21052.0	59230.0	7722.0	26386.0	125152.0	54086.0	17954.0	56084.0	2330.0	82148.0	56640.0	29608.0	27842.0	55583.0	82608.0	122696.0	124044.0	471620.0	65404.0	24804.0	31284.0	23548.0	74317.0	18337.0	256560.0	281596.0	37198.0	106588.0	251228.0	3526.0	6088.0	43752.0	17613.0	93016.0	97428.0	65140.0	80759.0	5166.0	59664.0	31282.0	30822.0	70634.0	100.0	195812.0	39516.0	14471.0	731472.0	55361.0	34156.0	44129.0	60120.0	65807.0	29905.0	42269.0	15932.0	25823.0	127469.0	24037.0	75736.0	79.0	62543.0	38640.0	76844.0	66358.0	183618.0	36919.0	55130.0	38174.0	34426.0	7096.0	29532.0	65320.0	29493.0	10765.0	28033.0	4434.0	121945.0	14236.0	146468.0	2835.0	17666.0	4203.0	21179.0	12459.0	8486.0	37220.0	28321.0	4909.0	47497.0	56756.0	2126.0	245858.0	105169.0	343710.0	53040.0	142372.0	19164.0	6162.0	55491.0	158572.0	79710.0	87052.0	22990.0	76826.0	23934.0	159962.0	579670.0	55958.0	29762.0	5862.0	167148.0	661.0	65884.0	146076.0	121780.0	49458.0	45500.0	152306.0	15608.0	113320.0	14302.0	80600.0	36931.0	96076.0	77604.0	94570.0	41702.0	29014.0	51735.0	13660.0	285692.0	42131.0	13564.0	106431.0	100559.0	43298.0	51716.0	25820.0	89532.0	132124.0	246996.0	64610.0	36734.0	11379.0	108888.0	9372.0	58453.0	28217.0	20485.0	57558.0	75130.0	48479.0	30354.0	83584.0	24162.0	344514.0	148674.0	163500.0	10251.0	28177.0	17327.0	17600.0	436780.0	42154.0	24739.0	59657.0	134134.0	94053.0	6045.0	33444.0
Verrucomicrobia	1.0	53.0	4.0	0.0	7.0	1.0	0.0	0.0	0.0	469.0	5.0	231.0	5.0	37.0	87.0	7.0	1.0	0.0	7.0	0.0	0.0	0.0	8.0	0.0	1.0	20.0	0.0	1.0	26.0	5.0	9560.0	58.0	3.0	3.0	172.0	93.0	0.0	1.0	141.0	28.0	38.0	890.0	6.0	0.0	2144.0	126.0	48.0	332.0	120.0	12.0	52.0	0.0	4.0	4.0	2.0	40.0	0.0	652.0	95.0	827.0	294.0	56.0	674.0	824.0	0.0	768.0	0.0	0.0	4.0	15.0	42.0	14.0	10.0	194.0	96.0	2.0	236.0	1.0	7232.0	8.0	1.0	2811.0	137.0	556.0	1058.0	12.0	64.0	8.0	0.0	290.0	2.0	1.0	6.0	28.0	428.0	865.0	0.0	930.0	2.0	236.0	88.0	0.0	1104.0	2.0	1013.0	1223.0	16.0	896.0	512.0	3285.0	2294.0	0.0	302.0	0.0	2.0	18807.0	6.0	41.0	1.0	11.0	0.0	1.0	215.0	0.0	1.0	1.0	4.0	10.0	0.0	6.0	2.0	2.0	1.0	10.0	187.0	2.0	74.0	0.0	0.0	0.0	1.0	22.0	6.0	0.0	43.0	0.0	0.0	0.0	0.0	119.0	0.0	69.0	6.0	8.0	2.0	44.0	0.0	0.0	0.0	6.0	70.0	3.0	120.0	0.0	960.0	0.0	0.0	1.0	4.0	246.0	524.0	175.0	14.0	0.0	2.0	90088.0	2.0	4.0	0.0	326.0	3.0	6.0	66.0	0.0	16.0	364.0	196.0	1.0	0.0	5.0	4.0	0.0	572.0	39.0	146.0	2.0	8.0	5.0	2.0	1008.0	7816.0	0.0	231.0	1.0	27.0	163.0	6.0	126.0	80.0	564.0	106.0	2.0	0.0	102.0	58.0	56.0	0.0	3.0	30.0	103.0	1.0	0.0	15.0	10.0	606.0	10.0	242.0	791.0	788.0	47.0	42.0	2128.0	0.0	30.0	461.0	3.0	134.0	0.0	113.0
Chlamydiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyanobacteria	0.0	0.0	4.0	0.0	7.0	1.0	0.0	4.0	0.0	2.0	1.0	9.0	6.0	0.0	2.0	2.0	0.0	1.0	13.0	0.0	0.0	0.0	0.0	9.0	1.0	46.0	8.0	21.0	8.0	6.0	0.0	6.0	27.0	3.0	1.0	13.0	30.0	2.0	5.0	8.0	20.0	18.0	0.0	86.0	8.0	4.0	10.0	116.0	12.0	6.0	30.0	8.0	10.0	0.0	60.0	4.0	6.0	38.0	31.0	1.0	0.0	20.0	106.0	78.0	5.0	84.0	2.0	0.0	10.0	5.0	12.0	6.0	40.0	12.0	0.0	0.0	6.0	0.0	340.0	14.0	6.0	7.0	9.0	16.0	6.0	166.0	20.0	10.0	1.0	18.0	14.0	16.0	17.0	70.0	38.0	1.0	16.0	56.0	0.0	0.0	21.0	3.0	26.0	4.0	19.0	2.0	4.0	16.0	5.0	75.0	23.0	0.0	10.0	8.0	0.0	425.0	298.0	5.0	36.0	22.0	1.0	4.0	13.0	3.0	19.0	0.0	14.0	42.0	0.0	1.0	0.0	75.0	4.0	79.0	1.0	0.0	3.0	3.0	4.0	4.0	43.0	28.0	2.0	3.0	0.0	1.0	11.0	7.0	0.0	12.0	0.0	1.0	5.0	0.0	0.0	4.0	6.0	1.0	54.0	0.0	56.0	15.0	44.0	0.0	70.0	0.0	0.0	42.0	36.0	12.0	42.0	3.0	26.0	6.0	32.0	176.0	18.0	0.0	0.0	110.0	0.0	18.0	46.0	16.0	0.0	8.0	40.0	2.0	0.0	1.0	28.0	12.0	16.0	6.0	20.0	9.0	2.0	0.0	8.0	292.0	5.0	0.0	17.0	11.0	46.0	36.0	28.0	6.0	20.0	344.0	8.0	8.0	6.0	58.0	2.0	3.0	3.0	0.0	18.0	31.0	17.0	17.0	11.0	8.0	138.0	646.0	14.0	0.0	40.0	5.0	1.0	214.0	14.0	8.0	78.0	85.0	5.0	2.0	13.0
