Taxa	FT00104	FT00109	FT00114	FT00128	FT00149	FT00174	FT00177	FT00182	FT00189	FT00202	FT00220	FT00231	FT00303	FT00311	FT00385	FT00400	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00070	ST00075	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00088	ST00091	ST00092	ST00094	ST00100	ST00101	ST00112	ST00123	ST00132	ST00142	ST00143	ST00146	ST00162	ST00176	ST00184	ST00190	ST00203	ST00205	ST00207	ST00208	ST00219	ST00223	ST00226	ST00227	ST00234	ST00242	ST00259	ST00263	ST00266	ST00278	ST00281	ST00305	ST00338	ST00348	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00395	ST00411	ST00412	ST00415	ST00420	ST00422	ST00425	ST00465	ST00480	ST00541	SW00001	SW00003	SW00004	SW00006	SW00007	SW00018	SW00021	SW00027	SW00028	SW00032	SW00035	SW00041	SW00106	SW00109	SW00115	SW00116	SW00127	SW00148	SW00172	SW00176	SW00183	SW00197	SW00213	SW00224	SW00295	SW00303	SW00378	SW00395
Eubacteriaceae	0.0	1.0	1.0	3.0	0.0	0.0	26.0	2.0	3.0	1.0	0.0	2.0	30.0	9.0	0.0	1.0	1483.0	534.0	2491.0	2961.0	666.0	2382.0	79.0	2509.0	622.0	4829.0	430.0	3536.0	2627.0	1340.0	236.0	614.0	66.0	701.0	400.0	3836.0	454.0	2154.0	1357.0	1057.0	63.0	2.0	2157.0	600.0	3176.0	8584.0	54.0	419.0	363.0	162.0	655.0	3695.0	7366.0	965.0	2213.0	411.0	1075.0	5158.0	813.0	4086.0	874.0	750.0	727.0	9884.0	2568.0	808.0	4718.0	1931.0	5671.0	2368.0	269.0	5721.0	586.0	1207.0	44.0	632.0	430.0	633.0	444.0	888.0	1150.0	414.0	790.0	200.0	1166.0	15838.0	137.0	756.0	334.0	983.0	1042.0	58.0	561.0	137.0	193.0	3880.0	305.0	46.0	418.0	968.0	1009.0	401.0	42.0	6619.0	919.0	842.0	1647.0	6381.0	7413.0	618.0	4371.0	1759.0	1899.0	1119.0	229.0	422.0	605.0	1563.0	94.0	1433.0	1972.0	25.0	856.0	2.0	309.0	251.0	98.0	717.0	193.0	583.0	121.0	3588.0	654.0	27.0	37.0	4433.0	18.0	765.0	970.0	22894.0	424.0	769.0	17.0
Desulfohalobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spirochaetaceae	6.0	2.0	2.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	6.0	0.0	2.0	2.0	1.0	4.0	5.0	5.0	2.0	3.0	2.0	21.0	12.0	0.0	3.0	6.0	22.0	5.0	1.0	25.0	2.0	0.0	1.0	16.0	3.0	11.0	2.0	5.0	0.0	27.0	0.0	6.0	1.0	3.0	5.0	14.0	5.0	5.0	13.0	7.0	5.0	6.0	3.0	22.0	18.0	10.0	9.0	1.0	23.0	3.0	27.0	10.0	30.0	9.0	2.0	32.0	6.0	7.0	19.0	4.0	2.0	2.0	5.0	1.0	12.0	14.0	5.0	28.0	65.0	22.0	3.0	20.0	14.0	7.0	3.0	10.0	11.0	44.0	2.0	56.0	2.0	5.0	22.0	7.0	2.0	10.0	9.0	15.0	4.0	4.0	12.0	6.0	42.0	7.0	11.0	5.0	8.0	2.0	5.0	1.0	8.0	16.0	6.0	2.0	3.0	0.0	31.0	6.0	1.0	6.0	0.0	10.0	2.0	2.0	19.0	17.0	16.0	5.0	6.0	12.0	3.0	6.0	13.0	6.0	11.0	11.0	21.0	1.0	3.0	4.0
Rubrobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0
Beijerinckiaceae	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
Comamonadaceae	2.0	3.0	4.0	2.0	1.0	1.0	2.0	2.0	3.0	2.0	1.0	2.0	3.0	3.0	2.0	7.0	1.0	4.0	1.0	4.0	4.0	0.0	1.0	2.0	5.0	12.0	0.0	5.0	5.0	3.0	1.0	2.0	4.0	3.0	0.0	5.0	12.0	2.0	7.0	4.0	1.0	0.0	6.0	0.0	6.0	1.0	3.0	1.0	5.0	0.0	3.0	5.0	6.0	4.0	4.0	1.0	7.0	8.0	7.0	5.0	0.0	5.0	0.0	12.0	3.0	6.0	3.0	3.0	16.0	6.0	6.0	10.0	1.0	5.0	2.0	5.0	5.0	11.0	8.0	1.0	20.0	30.0	1.0	1.0	26.0	6.0	1.0	9.0	0.0	7.0	38.0	4.0	34.0	5.0	12.0	11.0	5.0	0.0	10.0	1.0	12.0	0.0	3.0	19.0	9.0	15.0	8.0	5.0	4.0	2.0	4.0	0.0	1.0	0.0	23.0	1.0	4.0	2.0	0.0	4.0	0.0	0.0	3.0	0.0	3.0	0.0	4.0	7.0	13.0	15.0	2.0	3.0	16.0	2.0	3.0	8.0	5.0	11.0	9.0	7.0	6.0	2.0	10.0
Cyclobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	7.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacteriaceae	2.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	159.0	388.0	637.0	33.0	39.0	124.0	27.0	6.0	495.0	73.0	25.0	667.0	1143.0	39.0	131.0	81.0	14.0	303.0	16.0	121.0	24.0	43.0	1696.0	32.0	19.0	0.0	51.0	52.0	70.0	83.0	959.0	8.0	31.0	9.0	8.0	188.0	31.0	16.0	47.0	11.0	27.0	96.0	16.0	591.0	324.0	837.0	11.0	2453.0	826.0	3083.0	38.0	146.0	92.0	175.0	24.0	100.0	31.0	321.0	6.0	329.0	90.0	20.0	22233.0	17.0	50.0	374.0	79.0	91.0	41.0	146.0	23.0	770.0	48.0	30.0	94.0	2.0	432.0	988.0	3007.0	164.0	23.0	4.0	46.0	350.0	52.0	28.0	16.0	1189.0	591.0	63.0	40.0	308.0	49.0	28.0	94.0	22.0	155.0	135.0	33.0	18.0	141.0	18.0	4.0	307.0	16.0	4.0	118.0	5.0	92.0	12.0	206.0	39.0	50.0	628.0	475.0	28.0	42.0	1.0	10.0	73.0	647.0	23.0	45.0	143.0	24.0	13.0	5.0
Xanthomonadaceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	3.0	3.0	0.0	1.0	0.0	5.0	3.0	1.0	2.0	1.0	0.0	0.0	5.0	2.0	0.0	2.0	4.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	4.0	5.0	0.0	0.0	7.0	0.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	4.0	3.0	1.0	1.0	0.0	3.0	3.0	3.0	2.0	1.0	4.0	1.0	7.0	1.0	5.0	1.0	3.0	4.0	1.0	1.0	3.0	1.0	5.0	0.0	3.0	2.0	4.0	4.0	0.0	13.0	23.0	5.0	0.0	19.0	9.0	0.0	1.0	0.0	6.0	15.0	0.0	26.0	0.0	5.0	6.0	2.0	0.0	9.0	1.0	8.0	0.0	0.0	10.0	5.0	14.0	3.0	0.0	11.0	1.0	6.0	2.0	1.0	0.0	17.0	0.0	3.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	3.0	8.0	0.0	3.0	8.0	0.0	1.0	8.0	2.0	5.0	3.0	2.0	2.0	3.0	1.0
Colwelliaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
