Taxa	FT00104	FT00109	FT00114	FT00128	FT00149	FT00174	FT00177	FT00182	FT00189	FT00202	FT00220	FT00231	FT00303	FT00311	FT00385	FT00400	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00070	ST00075	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00088	ST00091	ST00092	ST00094	ST00100	ST00101	ST00112	ST00123	ST00132	ST00142	ST00143	ST00146	ST00162	ST00176	ST00184	ST00190	ST00203	ST00205	ST00207	ST00208	ST00219	ST00223	ST00226	ST00227	ST00234	ST00242	ST00259	ST00263	ST00266	ST00278	ST00281	ST00305	ST00338	ST00348	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00395	ST00411	ST00412	ST00415	ST00420	ST00422	ST00425	ST00465	ST00480	ST00541	SW00001	SW00003	SW00004	SW00006	SW00007	SW00018	SW00021	SW00027	SW00028	SW00032	SW00035	SW00041	SW00106	SW00109	SW00115	SW00116	SW00127	SW00148	SW00172	SW00176	SW00183	SW00197	SW00213	SW00224	SW00295	SW00303	SW00378	SW00395
Eubacteriaceae	0	1	1	3	0	0	26	2	3	1	0	2	30	9	0	1	1483	534	2491	2961	666	2382	79	2509	622	4829	430	3536	2627	1340	236	614	66	701	400	3836	454	2154	1357	1057	63	2	2157	600	3176	8584	54	419	363	162	655	3695	7366	965	2213	411	1075	5158	813	4086	874	750	727	9884	2568	808	4718	1931	5671	2368	269	5721	586	1207	44	632	430	633	444	888	1150	414	790	200	1166	15838	137	756	334	983	1042	58	561	137	193	3880	305	46	418	968	1009	401	42	6619	919	842	1647	6381	7413	618	4371	1759	1899	1119	229	422	605	1563	94	1433	1972	25	856	2	309	251	98	717	193	583	121	3588	654	27	37	4433	18	765	970	22894	424	769	17
Desulfohalobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Spirochaetaceae	6	2	2	2	1	1	1	3	1	1	1	2	1	6	0	2	2	1	4	5	5	2	3	2	21	12	0	3	6	22	5	1	25	2	0	1	16	3	11	2	5	0	27	0	6	1	3	5	14	5	5	13	7	5	6	3	22	18	10	9	1	23	3	27	10	30	9	2	32	6	7	19	4	2	2	5	1	12	14	5	28	65	22	3	20	14	7	3	10	11	44	2	56	2	5	22	7	2	10	9	15	4	4	12	6	42	7	11	5	8	2	5	1	8	16	6	2	3	0	31	6	1	6	0	10	2	2	19	17	16	5	6	12	3	6	13	6	11	11	21	1	3	4
Rubrobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	4	2	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	2	1	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	1	0	3	0	1	0	0
Beijerinckiaceae	0	0	1	0	0	2	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	3	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
Comamonadaceae	2	3	4	2	1	1	2	2	3	2	1	2	3	3	2	7	1	4	1	4	4	0	1	2	5	12	0	5	5	3	1	2	4	3	0	5	12	2	7	4	1	0	6	0	6	1	3	1	5	0	3	5	6	4	4	1	7	8	7	5	0	5	0	12	3	6	3	3	16	6	6	10	1	5	2	5	5	11	8	1	20	30	1	1	26	6	1	9	0	7	38	4	34	5	12	11	5	0	10	1	12	0	3	19	9	15	8	5	4	2	4	0	1	0	23	1	4	2	0	4	0	0	3	0	3	0	4	7	13	15	2	3	16	2	3	8	5	11	9	7	6	2	10
Cyclobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	0	1	0	2	0	0	0	0	0	1	1	0	7	1	2	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacteriaceae	2	1	0	0	0	1	2	0	0	1	1	0	0	1	0	1	159	388	637	33	39	124	27	6	495	73	25	667	1143	39	131	81	14	303	16	121	24	43	1696	32	19	0	51	52	70	83	959	8	31	9	8	188	31	16	47	11	27	96	16	591	324	837	11	2453	826	3083	38	146	92	175	24	100	31	321	6	329	90	20	22233	17	50	374	79	91	41	146	23	770	48	30	94	2	432	988	3007	164	23	4	46	350	52	28	16	1189	591	63	40	308	49	28	94	22	155	135	33	18	141	18	4	307	16	4	118	5	92	12	206	39	50	628	475	28	42	1	10	73	647	23	45	143	24	13	5
Xanthomonadaceae	0	1	0	0	0	0	0	0	1	1	2	0	3	3	0	1	0	5	3	1	2	1	0	0	5	2	0	2	4	3	0	0	1	0	0	0	2	0	4	5	0	0	7	0	1	1	1	1	6	1	1	4	3	1	1	0	3	3	3	2	1	4	1	7	1	5	1	3	4	1	1	3	1	5	0	3	2	4	4	0	13	23	5	0	19	9	0	1	0	6	15	0	26	0	5	6	2	0	9	1	8	0	0	10	5	14	3	0	11	1	6	2	1	0	17	0	3	0	0	5	0	0	2	0	1	1	1	1	3	8	0	3	8	0	1	8	2	5	3	2	2	3	1
Colwelliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
