Taxa	FT00104	FT00109	FT00114	FT00128	FT00149	FT00174	FT00177	FT00182	FT00189	FT00202	FT00220	FT00231	FT00303	FT00311	FT00385	FT00400	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00070	ST00075	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00088	ST00091	ST00092	ST00094	ST00100	ST00101	ST00112	ST00123	ST00132	ST00142	ST00143	ST00146	ST00162	ST00176	ST00184	ST00190	ST00203	ST00205	ST00207	ST00208	ST00219	ST00223	ST00226	ST00227	ST00234	ST00242	ST00259	ST00263	ST00266	ST00278	ST00281	ST00305	ST00338	ST00348	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00395	ST00411	ST00412	ST00415	ST00420	ST00422	ST00425	ST00465	ST00480	ST00541	SW00001	SW00003	SW00004	SW00006	SW00007	SW00018	SW00021	SW00027	SW00028	SW00032	SW00035	SW00041	SW00106	SW00109	SW00115	SW00116	SW00127	SW00148	SW00172	SW00176	SW00183	SW00197	SW00213	SW00224	SW00295	SW00303	SW00378	SW00395
Herpetosiphonales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Burkholderiales	3.0	3.0	4.0	2.0	1.0	3.0	5.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	7.0	4.0	18.0	3.0	20.0	19.0	7.0	6.0	11.0	17.0	29.0	1.0	15.0	23.0	27.0	13.0	5.0	16.0	11.0	0.0	14.0	37.0	10.0	20.0	14.0	18.0	0.0	15.0	6.0	25.0	2.0	10.0	7.0	24.0	6.0	6.0	15.0	20.0	10.0	9.0	5.0	18.0	33.0	24.0	14.0	8.0	27.0	7.0	45.0	12.0	52.0	19.0	14.0	52.0	25.0	18.0	38.0	13.0	16.0	7.0	16.0	16.0	41.0	35.0	5.0	83.0	105.0	18.0	10.0	97.0	36.0	6.0	24.0	3.0	31.0	125.0	5.0	100.0	27.0	64.0	51.0	24.0	7.0	52.0	16.0	28.0	1.0	7.0	48.0	30.0	77.0	16.0	8.0	13.0	6.0	16.0	4.0	6.0	10.0	44.0	2.0	10.0	5.0	1.0	29.0	5.0	0.0	14.0	0.0	12.0	3.0	7.0	31.0	55.0	46.0	4.0	11.0	77.0	4.0	8.0	37.0	11.0	31.0	48.0	19.0	7.0	8.0	16.0
Acidithiobacillales	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	3.0	1.0	0.0	0.0	1.0
Thermotogales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	5.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	9.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
Aquificales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	5.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Bacillales	23.0	8.0	13.0	29.0	4.0	9.0	18.0	15.0	26.0	5.0	5.0	18.0	7.0	16.0	11.0	15.0	4.0	11.0	66.0	9.0	10.0	16.0	12.0	12.0	69.0	111.0	6.0	19.0	63.0	118.0	19.0	13.0	45.0	12.0	11.0	29.0	36.0	20.0	82.0	38.0	23.0	0.0	58.0	10.0	25.0	15.0	212.0	20.0	86.0	10.0	20.0	30.0	26.0	15.0	27.0	1310.0	27.0	171.0	64.0	38.0	41.0	32.0	7.0	66.0	53.0	189.0	32.0	81.0	97.0	21.0	66.0	34.0	70.0	32.0	28.0	25.0	59.0	58.0	82.0	7.0	75.0	102.0	71.0	55.0	65.0	55.0	18.0	20.0	19.0	52.0	96.0	265.0	84.0	15.0	64.0	49.0	27.0	31.0	74.0	71.0	23.0	341.0	747.0	342.0	15.0	57.0	37.0	11.0	25.0	1140.0	20.0	11.0	19.0	56.0	531.0	141.0	213.0	370.0	66.0	332.0	147.0	858.0	23.0	518.0	832.0	1587.0	198.0	213.0	122.0	130.0	95.0	89.0	157.0	114.0	991.0	163.0	370.0	123.0	123.0	104.0	493.0	87.0	855.0
Chlamydiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	1.0	3.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	2.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Nitrospirales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Thermales	1.0	2.0	1.0	4.0	1.0	0.0	4.0	1.0	5.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	6.0	3.0	1.0	5.0	1.0	1.0	8.0	13.0	0.0	1.0	5.0	8.0	3.0	2.0	3.0	1.0	0.0	0.0	6.0	1.0	6.0	3.0	1.0	0.0	3.0	0.0	1.0	2.0	20.0	0.0	7.0	2.0	2.0	1.0	4.0	0.0	3.0	137.0	2.0	17.0	6.0	6.0	4.0	0.0	1.0	7.0	3.0	22.0	0.0	3.0	8.0	2.0	5.0	4.0	2.0	3.0	0.0	2.0	9.0	7.0	2.0	4.0	13.0	14.0	4.0	3.0	16.0	3.0	3.0	3.0	2.0	10.0	18.0	25.0	19.0	2.0	6.0	6.0	2.0	4.0	9.0	7.0	6.0	26.0	77.0	20.0	0.0	16.0	4.0	2.0	0.0	73.0	0.0	0.0	1.0	2.0	24.0	21.0	18.0	36.0	6.0	24.0	18.0	65.0	2.0	45.0	67.0	152.0	14.0	28.0	13.0	10.0	6.0	11.0	12.0	7.0	50.0	11.0	25.0	13.0	12.0	3.0	50.0	6.0	86.0
Vibrionales	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	2.0	2.0	2.0	3.0	3.0	0.0	0.0	1.0	4.0	2.0	0.0	0.0	1.0	1.0	8.0	1.0	0.0	0.0	3.0	9.0	0.0	2.0	0.0	1.0	2.0	0.0	4.0	2.0	2.0	4.0	0.0	4.0	3.0	0.0	4.0	7.0	1.0	4.0	5.0	3.0	4.0	2.0	2.0	5.0	3.0	0.0	4.0	3.0	4.0	2.0	7.0	1.0	3.0	1.0	0.0	3.0	2.0	3.0	1.0	4.0	9.0	4.0	3.0	2.0	3.0	2.0	0.0	1.0	4.0	3.0	0.0	6.0	2.0	8.0	8.0	4.0	0.0	7.0	1.0	0.0	0.0	1.0	2.0	3.0	7.0	3.0	0.0	2.0	0.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	5.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	4.0	3.0	4.0	0.0	5.0	4.0	0.0	6.0	5.0	1.0	0.0	5.0	1.0	0.0	0.0	1.0
Gemmatimonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
Dictyoglomales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Thermoanaerobacterales	12.0	3.0	13.0	16.0	5.0	12.0	9.0	20.0	9.0	13.0	13.0	16.0	22.0	28.0	12.0	24.0	10.0	12.0	1.0	2.0	11.0	4.0	3.0	5.0	12.0	8.0	4.0	4.0	9.0	13.0	8.0	4.0	5.0	3.0	2.0	5.0	18.0	5.0	20.0	3.0	10.0	0.0	19.0	3.0	7.0	5.0	7.0	7.0	11.0	3.0	1.0	17.0	8.0	4.0	8.0	9.0	6.0	16.0	18.0	12.0	11.0	4.0	6.0	9.0	15.0	6.0	7.0	5.0	21.0	17.0	12.0	10.0	8.0	6.0	14.0	6.0	9.0	16.0	8.0	4.0	17.0	41.0	17.0	11.0	11.0	9.0	5.0	8.0	12.0	12.0	43.0	6.0	51.0	4.0	6.0	6.0	3.0	1.0	12.0	3.0	6.0	29.0	14.0	27.0	5.0	30.0	6.0	6.0	3.0	14.0	1.0	4.0	4.0	10.0	16.0	9.0	5.0	9.0	8.0	42.0	13.0	8.0	7.0	18.0	9.0	12.0	12.0	14.0	11.0	21.0	14.0	11.0	15.0	9.0	4.0	17.0	8.0	15.0	11.0	12.0	5.0	3.0	2.0
Chloroflexales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	3.0	0.0	0.0	2.0	1.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0
