Name	FT00104	FT00109	FT00114	FT00128	FT00149	FT00174	FT00177	FT00182	FT00189	FT00202	FT00220	FT00231	FT00303	FT00311	FT00385	FT00400	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00070	ST00075	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00088	ST00091	ST00092	ST00094	ST00100	ST00101	ST00112	ST00123	ST00132	ST00142	ST00143	ST00146	ST00162	ST00176	ST00184	ST00190	ST00203	ST00205	ST00207	ST00208	ST00219	ST00223	ST00226	ST00227	ST00234	ST00242	ST00259	ST00263	ST00266	ST00278	ST00281	ST00305	ST00338	ST00348	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00395	ST00411	ST00412	ST00415	ST00420	ST00422	ST00425	ST00465	ST00480	ST00541	SW00001	SW00003	SW00004	SW00006	SW00007	SW00018	SW00021	SW00027	SW00028	SW00032	SW00035	SW00041	SW00106	SW00109	SW00115	SW00116	SW00127	SW00148	SW00172	SW00176	SW00183	SW00197	SW00213	SW00224	SW00295	SW00303	SW00378	SW00395
Clostridiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.95709	61.4902	17.49248	10.27182	8.12225	11.33917	0.0	10.27661	95.14212	27.78058	0.0	63.19399	9.90158	56.16215	65.40532	0.0	10.91268	14.58272	0.0	24.12293	58.94629	2.54441	100.0	0.23326	0.0	0.0	60.43855	0.0	26.83645	55.40417	0.0	23.30093	79.0304	19.94616	9.70318	59.51113	33.89662	15.90833	23.66427	100.0	19.84348	37.57749	6.36526	25.21681	5.86729	29.02859	30.50055	49.21891	20.21783	49.8816	48.46198	16.98244	44.28457	57.91833	5.5212	61.94697	57.99464	28.03508	6.61875	58.38941	52.61422	77.49049	10.90846	2.73399	33.79812	37.54758	25.51987	2.37176	23.00923	56.59139	12.92973	83.64601	14.22627	74.6211	12.37299	100.0	46.20917	13.82093	6.42986	29.80211	9.52406	15.21198	24.42354	0.0	2.07224	0.0	50.50592	43.05126	7.3611	32.72162	79.03873	28.13017	27.53226	0.0	45.85916	9.88111	21.60245	47.91589	65.07506	42.51932	68.27584	18.99191	0.0	65.94025	20.28468	0.0	6.38954	0.0	48.92725	0.0	33.66581	30.25917	36.82561	6.76597	23.54805	66.74941	24.71794	100.0	10.99685	42.50439	0.0	33.56432	58.10788	66.17178	12.07312	67.81135	51.02339
Verrucomicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.19151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.87076	0.0	0.0	34.59468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.55537	0.0	99.93917	0.0	0.0	0.0	10.5429	6.32179	0.0	0.0	3.77411	0.0	3.62468	0.0	42.44143	0.0	0.0	0.0	0.0	2.50449	0.0	0.0	0.0	0.0	0.0	0.40094	56.53821	0.0	0.0	0.0	0.0	0.0	5.72447	0.0	0.0	0.0	21.28891	45.15505	0.0	0.0	5.99903	0.0	0.0	0.0	0.0	0.0	58.6802	0.0	36.69204	1.64133	0.0	0.0	0.0	6.26146	1.17068	0.0	58.87125	0.0	39.56426	2.12818	0.0	0.0	0.0	28.35746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.11329	0.0	0.0	0.0	0.0	0.0	23.45408	0.0	12.87476	0.0	0.0	0.0	7.31579	9.29302	0.0	0.0	18.53485	0.0	3.29589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.80828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.03791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Selenomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.19786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.92273	0.0	0.0	0.0	12.84227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.36697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.10566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.92713	0.0	1.55765	0.0	20.66163	0.0	0.0	0.0	11.90788	0.0	0.0	3.28747	1.24714	0.0	0.0	0.0	0.48719	0.0	0.0	0.0	0.0	41.90138	2.01701	0.0	0.0	0.0	0.74729	0.0	0.0	2.75337	2.70313	0.0	1.82689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.99691	0.0	4.85849	0.0	0.0	0.0	0.0	0.0	0.0	3.68374	2.24282	0.0	0.0
Pseudomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.96769	0.0	10.15161	0.0	0.0	0.0	0.0	0.0	0.0
Enterobacteriales	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	4.21736	0.0	0.0	0.0	0.0	2.50635	0.0	3.96672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.94776	0.0	0.0	0.0	0.0	0.0	68.97196	0.0	0.0	0.0	16.19817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.06559	0.0	2.32983	0.0	8.83359	0.0	0.0	67.07701	0.0	0.0	0.0	0.0	0.0	6.55964	9.87721	0.0	0.0	39.83165	9.7684	0.0	0.0	0.0	0.0	19.90921	0.0	0.0	0.0	0.0	0.0	38.87905	0.0	0.0	0.0	0.0	0.0	0.0	5.97833	13.7094	13.12692	6.94684	0.0	0.0	0.0	8.42012	0.0	0.0	0.0	0.0	21.57489	0.0	44.53567	0.0	2.95953	44.9902	0.0	0.0	14.00093	0.0	30.61194	14.98883	66.40476	0.0	1.80046	0.0	63.88491	23.30279	0.0
Coriobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34321	0.0	0.0	4.85788	0.0	0.0	0.0	1.33049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.70664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19016	0.0	2.25492	0.0	0.0	0.0	0.0	0.97731	0.0	0.0	0.0	3.61952	2.11923	0.0	3.38304	0.0	1.51337	1.15027	0.0	0.0	5.25444	0.0	0.0	0.0	0.0	54.82055	0.0	0.31955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05539	0.0	0.0	0.92452	0.0	0.0	0.87413	0.0	0.0	0.0	0.0
Bacteroidales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.82555	34.3183	78.30966	89.72818	80.63328	84.81127	100.0	85.75667	0.0	72.21942	100.0	25.93525	88.76793	43.83785	0.0	94.07727	88.17651	77.3448	0.0	30.85218	41.05371	97.45559	0.0	30.79478	100.0	0.0	31.24854	83.80183	59.24121	44.59583	0.0	76.69907	10.16132	80.05384	79.75392	34.16708	59.99772	84.09167	72.56162	0.0	70.99503	43.17563	51.19331	74.78319	94.13271	69.36959	69.49945	45.22026	79.78217	37.28653	48.99104	76.48043	55.71543	41.68072	37.94059	38.05303	42.00536	71.96492	93.38125	41.61059	7.59572	22.50951	34.36346	97.26601	32.08251	16.91001	53.8185	30.55123	70.99175	42.43129	75.16239	16.35399	85.77373	7.87436	15.23277	0.0	13.71576	44.45235	77.13022	68.87205	88.85705	77.26733	65.14992	38.18941	37.0395	100.0	9.92982	0.0	91.8916	28.07978	20.96127	40.75901	69.76461	100.0	52.31395	90.11889	72.41922	38.37472	16.60122	50.53384	22.61087	81.00809	0.0	25.63963	79.71532	0.0	70.15639	0.0	16.6231	100.0	21.79851	69.22264	52.89907	38.09211	64.45504	33.25059	36.83239	0.0	7.12763	41.58226	20.93931	66.43568	39.21753	30.14448	21.79916	8.88586	48.97661
Desulfovibrionales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.68213	0.17557	1.61889	0.0	4.00142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pasteurellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.10404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
