ST00070	SW00012	SW00053	SW00097	ST00069	SW00177	SW00017	SW00049	SW00046	SW00169	SW00099	SW00047	SW00066	SW00144	SW00075	SW00174	SW00062	ST00045	SW00179	SW00105	SW00014	SW00054	SW00093	ST00054	SW00120	SW00091	SW00024A	SW00011	ST00150	ST00172	SW00036	ST00141	ST00193	ST00100	SW00072	ST00065	SW00262	ST00050	ST00060	SW00020	SW00085	ST00067	ST00059	ST00205	SW00055	ST00162	ST00151	SW00001	ST00132	ST00143	ST00051	ST00062	ST00005	SW00124	ST00105	ST00044	SW00030	ST00138	ST00101	ST00183	ST00001	SW00248	ST00234	ST00076	SW00052	ST00030	ST00226	ST00223	ST00383	SW00265	ST00420	SW00035	ST00057	ST00253	SW00042	ST00178	SW00063	SW00123	ST00412	ST00228	ST00028	SW00101	ST00184	ST00023	ST00167	ST00116	ST00082	ST00411	ST00379	ST00092	ST00063	ST00243	SW00247	SW00002	SW00095	ST00163	ST00465	SW00069	ST00112	ST00093	SW00070	ST00046	SW00074	SW00043	ST00053	SW00013	SW00009	SW00243	ST00021	ST00382	ST00248	SW00024B	ST00166	SW00004	SW00003	ST00110	ST00081	ST00085	ST00227	SW00173	SW00086	SW00045	SW00061	SW00250	SW00019	SW00018	ST00387	SW00103	ST00094	ST00124	ST00266	SW00029	ST00003	ST00194	SW00007	ST00142	SW00137	ST00146	ST00386	ST00075	ST00231	SW00156	ST00161	ST00152	ST00480	ST00088	SW00108	SW00082	ST00056	ST00084	SW00022	SW00064	SW00051	SW00005	ST00026	ST00086	ST00019	SW00087	SW00068	ST00027	SW00153	ST00008	SW00038	SW00032	ST00017	SW00067	SW00259	SW00159	ST00083	ST00041	ST00078	ST00077	SW00244	ST00031	ST00139	ST00035	SW00302	SW00073	ST00207	SW00155	SW00240	ST00159	SW00026	ST00064	SW00056	ST00131	SW00094	SW00268	SW00048	ST00425	SW00028	SW00079	ST00259	SW00023	SW00041	SW00288	SW00027	SW00131	SW00044	SW00031	ST00009	SW00033	SW00057	ST00016	SW00147	SW00168	SW00133	SW00060	ST00015	ST00127	SW00089	SW00078	SW00050	ST00222	SW00006	SW00110	ST00109	SW00021	ST00006	ST00111	ST00042	ST00123	ST00136	SW00098	SW00065	ST00047	SW00040	SW00076	SW00025	ST00232	ST00103	SW00039	ST00095	ST00018	SW00142	ST00091	ST00039	SW00010	ST00384	ST00040
[Lentisphaeria]	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	8	0	4	0	0	0	0	0	12	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Saprospirae]	0	0	0	0	0	0	0	0	0	10	1	17	2	2	5	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
4C0d-2	0	0	0	0	8	13	2	3	0	42	0	2	40	0	0	28	1	0	0	0	0	152	0	0	1	0	397	0	454	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	3	81	286	30	0	86	0	0	0	1	206	0	16	0	1	0	0	0	2	0	34	6	77	0	0	66	102	0	0	0	70	0	1	0	105	55	19	4	2	0	0	6	0	0	0	519	0	134	176	0	0	0	0	0	147	75	0	1	0	0	84	0	0	0	121	0	0	260	0	119	0	0	0	150	323	46	0	0	0	0	0	0	79	10	0	0	0	0	0	16	5	2	74	152	560	3	173	0	0	73	0	34	0	104	32	63	0	0	0	0	0	0	2	0	0	0	0	0	0	0	572	0	102	1	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	252	6	0	0	0	0	0	0	0	29	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Actinobacteria	46	32	57	39	94	49	6246	236	31	140	121	828	1005	955	18	64	601	45	24	320	103	118	31	167	60	69	1570	117	159	21	41	7	54	10	2	38	9	8	11	4	37	14	5	61	11	135	10	60	128	3	0	5	39	6	0	17	89	0	15	29	1	296	102	40	2	11	43	22	136	25	300	285	107	61	26	5	184	313	210	31	37	26	3	67	125	29	78	0	30	178	1	13	21	10	15	92	36	105	3	94	16	28	32	96	9	263	48	0	23	32	27	1	27	10	74	44	16	52	1	2	13	1188	144	1	7	8	2	67	16	31	84	327	3	12	1	31	165	17	334	146	23	244	71	2	24	76	4	8	39	8	0	43	0	16	20	1	2	1089	11	7	62	1	2	5	1	1	46	8	9	7	20	70	1	5	34	151	15	89	620	30	161	42	127	6	32	12	335	49	4	26	3181	161	6	16	7	202	8	135	0	1	7	0	1	8	7	4	2	58	9	4	0	231	0	56	62	70	24	638	2	6	36	19	0	1	119	28	274	175	5	31	5	29	6	12	11	1	0	0	0	1
Alphaproteobacteria	5	2	3	20	24	22	11	7	3270	178	93	53	48	36	3	3312	13	4	43	7	0	56	31	36	22	1	111	6	230	1	0	0	3	2	0	418	1	2	1	17	0	0	2	3	1	16	0	0	8	327	0	0	0	2	0	16	2	7	7	10	0	5	0	292	0	4	315	2	1870	2313	454	226	15	4	1	11	0	10	4	0	226	4	3	0	4	38	0	4	3	10	1	0	56	0	0	9	3	737	1223	3	2710	1	1	1160	324	253	3	4	4	2	6	0	0	1	23	35	3	0	0	0	0	16	12	0	3	2	1	179	253	3	7	27	13	0	147	4	109	0	17	5	508	969	72	0	12	17	3	4	7	0	0	11	0	0	8	16	1	3	58	111	2	1	0	500	2	1	0	1	12	1	1	49	493	0	3	14	3	1	25	4	2	1	0	0	1	0	0	889	0	279	24	10	10	79	0	18	60	9	5	0	1	0	2	38	12	8	0	0	0	0	0	2	2	1	19	3	97	10	0	0	0	1	0	0	13	3	542	31	0	20	3	2	22	1	4	0	0	0	0	0
Bacilli	9061	954	9409	12646	876	8031	37551	4797	9620	55076	64739	83723	28607	38079	5955	6838	14625	417	5490	6825	1064	14452	8166	943	13017	7933	10973	3533	618	1516	9587	156	255	125	441	2377	247	3454	52	25215	597	611	766	1442	151	7333	64	4542	1158	361	25	62	3813	79	76	147	35146	104	161	793	23	2967	464	1378	3354	96	1309	457	917	1221	6019	8554	836	410	3330	69	1838	6017	4269	371	2789	2221	101	1300	1749	163	2440	163	858	21190	83	295	785	65	884	1601	157	4545	35	2838	2049	2877	3602	3676	189	1807	634	225	139	714	2030	180	1667	959	1116	237	71	296	11	24	1572	31747	11106	631	593	3564	143	461	97	2813	397	898	8	74	737	38	33302	652	1502	18754	246	452	2155	74	4072	246	3688	703	691	279	336	13680	16	1303	194	60	24	10953	994	669	807	7	904	1264	39	190	2315	330	240	37	706	558	342	840	623	1995	190	7555	4169	1346	1789	8865	4742	1309	270	416	714	4884	536	252	90388	13537	240	3805	653	2021	219	8836	17	85	33	74	1605	85	1951	8638	803	2527	245	58	332	1428	174	4987	11833	5384	146	14881	25	202	356	3223	16	8	1905	6910	3976	46780	128	868	26	2605	56	1403	1369	408	41	12	8	2
Bacteroidia	52354	36152	75464	84787	52264	62480	91366	122574	86076	28315	38668	154043	27526	29741	9894	77787	320723	220599	84803	37324	92930	15677	28506	2758	59285	8720	38921	54968	36233	110930	1079	48748	49692	17032	23776	62335	75698	77963	23391	13834	47745	17735	67124	115348	21329	35938	66669	75997	49158	17154	7525	7455	64764	42496	40357	50787	98600	4151	42182	37780	11376	272452	12103	57362	15738	16675	74457	67645	55150	60499	25770	9178	14697	34598	70155	12097	26614	124121	851250	2695	69866	64657	63287	27897	51652	8581	192095	5396	7172	59805	30243	153897	45507	22494	67790	35332	56318	16377	24968	153713	100151	84628	39011	20008	24274	49139	61342	31775	15462	36443	53358	14454	45101	9605	20059	124865	26231	42223	4975	18811	57341	72785	34270	42813	79636	50221	92181	20635	15728	19533	64690	10392	11420	31904	11359	48200	9396	2258	4806	12287	24794	31305	65591	29126	69446	11611	13322	33662	16876	1497	9966	934	2851	26965	3828	6592	26548	121066	39557	2418	21392	41742	2291	6647	196	174	26849	56536	33868	16372	15138	15927	9244	13436	36663	15840	34857	60869	274092	41863	69038	33907	50056	35496	19481	76745	8382	105229	19357	88326	14053	55631	3101	23320	7495	2419	7057	7207	1484	4075	12407	1884	47447	68914	25022	33439	16266	22146	50044	14415	105451	7674	2970	68368	51606	34659	19485	12983	10886	24393	2767	7341	2092	13049	682	12666	17705	17087	6306	15229	697	6568	5753	13197	6759	3614	120	66	64	25
Betaproteobacteria	1541	518	4245	3546	2015	479	1649	1824	6805	1762	234	925	1266	3485	669	1580	19602	9887	3587	1010	1	637	1839	71	258	1135	2058	6	1661	22	127	535	974	1137	632	1029	8	1576	0	460	730	526	1614	520	356	3057	1094	1	424	329	472	151	0	450	1566	6436	2226	0	11	7	1	7213	485	120	1368	139	601	766	1344	2084	370	449	86	2157	2421	664	86	5219	5	98	1905	6	1295	730	10164	169	3569	32	25	2214	1117	6324	1040	652	4680	203	97	347	324	301	1384	4906	3028	2054	2209	2850	1447	2	146	7	848	1049	1434	761	308	4304	1537	1331	8	6	737	991	7544	486	3521	1753	1896	224	232	90	5231	469	110	1710	663	110	921	4	327	398	365	295	1182	414	257	585	278	585	224	61	147	244	29	467	29	61	460	693	499	74	261	4475	320	317	2	9	434	3	1380	1	221	1570	363	323	81	2466	293	57	9258	525	19	1319	984	743	0	6347	222	2385	334	1038	64	2307	190	13	61	59	186	2067	83	176	1	21	760	2	1922	650	5	5	1268	305	1851	88	105	1559	33	3848	947	343	725	713	111	0	139	10	205	289	753	399	1	56	20	377	28	445	202	16	5	1	3	0
Chloroplast	2	0	1	33	43	64	3	4	5	1	1	9	1	0	1	0	1	4	0	3	0	2	0	15	0	2	0	4	20	0	2	2	3	3	0	4	0	18	1	0	0	0	0	10	3	4	0	4	121	1	0	0	0	0	0	0	32	0	0	94	0	0	0	1766	1	0	24	0	56	1	15	1	0	0	0	8	1	3	101	2	16	0	8	7	0	6	1	0	38	1	7	0	0	0	0	8	1	0	15	43	4	18	1	0	0	0	0	3	2	24	42	0	0	0	1	186	14	8	0	0	0	0	0	0	0	2	0	1	9	6	0	0	12	0	0	5	0	0	1	0	3	1	155	0	0	16	0	0	54	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	65	0	25	0	1	49	0	0	8	1	0	0	19	1	0	0	0	7	0	0	2	1	0	2	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	8	0	1	10	0	0	1	2	0	0	0	4	4	0	6	0	10	0	2	2	15	0	0	0	0	0	0
Clostridia	62622	38311	84034	48374	49969	94272	118845	76073	102787	38242	50699	105055	57867	25765	12696	188240	325548	43862	83455	46787	69993	31244	48588	20206	65664	7344	68697	59759	50301	76524	3999	29068	73552	38323	25711	83081	76017	54313	15832	15601	52387	21720	29456	158981	55626	52851	68506	59901	69820	32304	12031	18781	76836	33802	31828	31525	120415	15080	20144	34016	11167	251131	55794	180027	60958	6215	147203	66090	84422	150487	66842	16274	55232	90602	45193	27981	35153	135750	929447	7230	48962	120745	28165	49260	247395	61456	214127	17139	35185	138441	71863	109018	19307	34099	183636	64218	51611	82016	26458	118840	125373	49915	86902	63597	32143	84609	91544	37963	35338	44081	73910	34798	67572	15038	53369	70294	16619	50381	2331	14865	85255	104303	75233	49930	56514	36261	49930	54613	22173	49549	32396	16506	14875	22246	29955	11055	25409	2400	106665	59677	50547	86654	69165	35054	57619	23433	11264	47150	40420	5389	7876	2024	4205	29705	6709	6201	12207	46115	43102	15454	21541	20100	3684	20828	1271	602	25419	60467	54556	6761	17893	50244	18732	9628	75247	45685	33847	27531	151479	42489	14644	20885	28194	23736	23861	23427	8004	100771	27689	39810	43218	34403	2642	30306	5348	4097	5403	10793	1225	2945	8581	4138	48440	24971	28368	26763	13209	24841	21253	5908	45627	10954	10653	37102	111361	42925	34009	19441	11253	35701	7191	5635	4665	8392	1111	29689	23119	13344	10826	20026	1814	21009	21919	21971	3967	3701	142	72	98	38
