ST00070	SW00012	SW00053	SW00097	ST00069	SW00177	SW00017	SW00049	SW00046	SW00169	SW00099	SW00047	SW00066	SW00144	SW00075	SW00174	SW00062	ST00045	SW00179	SW00105	SW00014	SW00054	SW00093	ST00054	SW00120	SW00091	SW00024A	SW00011	ST00150	ST00172	SW00036	ST00141	ST00193	ST00100	SW00072	ST00065	SW00262	ST00050	ST00060	SW00020	SW00085	ST00067	ST00059	ST00205	SW00055	ST00162	ST00151	SW00001	ST00132	ST00143	ST00051	ST00062	ST00005	SW00124	ST00105	ST00044	SW00030	ST00138	ST00101	ST00183	ST00001	SW00248	ST00234	ST00076	SW00052	ST00030	ST00226	ST00223	ST00383	SW00265	ST00420	SW00035	ST00057	ST00253	SW00042	ST00178	SW00063	SW00123	ST00412	ST00228	ST00028	SW00101	ST00184	ST00023	ST00167	ST00116	ST00082	ST00411	ST00379	ST00092	ST00063	ST00243	SW00247	SW00002	SW00095	ST00163	ST00465	SW00069	ST00112	ST00093	SW00070	ST00046	SW00074	SW00043	ST00053	SW00013	SW00009	SW00243	ST00021	ST00382	ST00248	SW00024B	ST00166	SW00004	SW00003	ST00110	ST00081	ST00085	ST00227	SW00173	SW00086	SW00045	SW00061	SW00250	SW00019	SW00018	ST00387	SW00103	ST00094	ST00124	ST00266	SW00029	ST00003	ST00194	SW00007	ST00142	SW00137	ST00146	ST00386	ST00075	ST00231	SW00156	ST00161	ST00152	ST00480	ST00088	SW00108	SW00082	ST00056	ST00084	SW00022	SW00064	SW00051	SW00005	ST00026	ST00086	ST00019	SW00087	SW00068	ST00027	SW00153	ST00008	SW00038	SW00032	ST00017	SW00067	SW00259	SW00159	ST00083	ST00041	ST00078	ST00077	SW00244	ST00031	ST00139	ST00035	SW00302	SW00073	ST00207	SW00155	SW00240	ST00159	SW00026	ST00064	SW00056	ST00131	SW00094	SW00268	SW00048	ST00425	SW00028	SW00079	ST00259	SW00023	SW00041	SW00288	SW00027	SW00131	SW00044	SW00031	ST00009	SW00033	SW00057	ST00016	SW00147	SW00168	SW00133	SW00060	ST00015	ST00127	SW00089	SW00078	SW00050	ST00222	SW00006	SW00110	ST00109	SW00021	ST00006	ST00111	ST00042	ST00123	ST00136	SW00098	SW00065	ST00047	SW00040	SW00076	SW00025	ST00232	ST00103	SW00039	ST00095	ST00018	SW00142	ST00091	ST00039	SW00010	ST00384	ST00040
[Barnesiellaceae]	17	22	17	14	4113	14	10	36	132	108	24	85	215	18	2	3043	64	50	222	23	3	895	9	3	3505	58	10	1	7	5646	14	14	310	309	438	6	1378	768	0	567	28	280	2811	73	1242	3	212	2	555	640	14	121	160	13	985	12	1632	298	19	6	0	95	10	2910	1	3	6271	33	4907	7603	3052	2	2	13	3489	8	15	7115	18276	20	4	1378	0	3	1921	49	86	354	988	16	0	5278	0	304	7077	3796	1954	653	36	320	58	28	9	981	1181	1520	1319	863	0	2803	25	31	1263	0	3	63	480	790	1	4	1920	152	31	0	33	2	0	640	17	27	1280	0	0	151	1	3	8	194	10	3	728	887	1850	24	403	6	73	161	548	11	52	11	39	357	170	125	134	468	429	0	306	696	13	1	0	3	3562	3317	5	0	49	4	493	77	2894	833	615	5917	871	14	61	3	9663	1651	0	2897	1	15	36	10	49	809	347	9	133	20	0	108	2	3	0	1	3606	16	1109	179	225	386	15	638	9	90	26	2	2	106	7	1	0	1427	1	320	109	1	0	6	4	1	0	624	2	6	18	1	2	0	1	2	1	0
[Cerasicoccaceae]	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	9	26	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Mogibacteriaceae]	53	58	88	0	34	7	8526	148	208	86	436	47	552	43	7	1086	4267	3	51	1605	191	192	33	24	72	40	4631	66	165	267	26	46	38	69	7	309	110	58	14	31	695	8	2	23	79	208	20	11	278	112	47	15	4	60	19	4	71	53	52	62	1	785	174	820	238	4	461	3	720	351	1096	15	174	1014	119	45	348	251	4061	79	75	141	4	180	13	211	147	50	155	396	127	206	34	108	245	283	43	156	59	343	152	208	289	329	11	1822	137	45	123	44	171	45	85	17	242	208	58	141	13	17	59	3935	448	6	2	37	10	139	85	150	22	442	45	23	107	103	517	12	342	68	56	280	207	16	12	49	7	32	110	16	28	9	11	98	24	19	20	32	74	59	523	11	29	76	5	5	23	119	147	10	46	242	50	7	363	80	41	4	51	77	0	2	163	6	201	59	366	304	11	206	65	85	1	78	12	63	3	26	4	0	11	0	50	2	38	22	25	397	0	8	41	405	24	2	6	53	92	117	5	72	25	29	9	9	1	93	792	1	103	106	11	187	110	83	62	20	1	1	0	0
[Odoribacteraceae]	109	0	293	95	1077	66	979	409	804	215	4	130	229	402	980	313	1497	0	1295	285	1	179	172	1	893	39	847	0	372	1026	35	485	283	826	247	1	1346	252	0	55	665	83	2	730	694	986	530	1	243	48	102	183	38	382	472	175	209	6	5	1	0	2638	422	684	1	2	524	767	2297	2959	919	0	1235	944	1	55	481	554	19450	19	2	421	417	147	513	183	1601	40	37	366	0	1502	122	105	2390	550	222	54	209	180	884	796	299	240	212	418	515	612	173	828	120	135	291	126	353	2	363	335	27	86	867	625	563	320	1	427	1044	435	147	10	644	151	163	918	474	195	143	112	28	42	352	409	1413	310	243	34	34	362	66	18	34	6	21	75	11	76	84	90	221	113	147	348	27	160	0	3	415	727	224	0	233	46	299	37	542	67	263	470	2848	617	6	91	0	0	0	2228	44	600	29	415	106	712	38	139	36	16	0	144	6	0	1	3	937	382	244	98	241	498	0	303	893	63	23	321	0	440	369	160	87	967	20	116	46	126	4	177	0	1	0	70	16	56	152	49	90	43	1	1	0	0
[Paraprevotellaceae]	0	0	2	4	0	16	10	6	3071	269	1334	30	2	3	30	4	1	2	11	204	2	12	0	0	2629	454	401	4	5	2	2	0	1	0	0	2840	5	2	1	3	2	2	3721	2	0	1466	0	5	3	1	2	0	0	4	1	1538	2	0	0	899	0	3972	673	4673	1	0	6	2	2	3	3	530	85	0	2661	0	0	4	0	0	3178	2	2	1	1	5	0	1	1	7955	0	0	0	0	9	903	2	16	2901	2671	7569	7082	0	0	0	5	880	1	0	4	873	5	1	0	2	2	0	2	0	2	1	8	1132	0	2	0	0	1310	715	273	1	57	0	2503	1	6	5	35	271	0	1454	1230	4186	1071	1	0	2	1	456	0	1	1	334	197	14	788	0	7	4790	1	5	2	84	0	1	1	1	1	0	0	2	0	0	0	2164	1	0	132	5	173	0	2	59	1622	1	0	5	3	88	1	4	4	0	548	0	0	266	15	2	0	0	23	1	1598	2	1	1088	1054	1	0	0	0	0	0	4	1	4	0	1	1	0	360	0	1	0	0	1	7	0	0	0	0	0	0	26	0	3	3	0	0
[Tissierellaceae]	5	555	498	215	19	1304	4485	7503	842	489	2283	3791	6390	5226	832	2594	33341	3	224	4482	1887	489	111	42	142	610	11728	3963	43	7	1400	4	4	1	81	5	180	2	7	214	1051	0	13	15	35	10	3	1832	6	1	0	4	5	14	0	9	37	3	7	3	3	1256	7	6	990	3	7	9	8	5	6	4424	13	2	643	1	966	885	161	0	0	480	3	5	10	5	12	0	0	8	9	1	93	5	38	4	0	252	2	0	56	0	7663	2814	0	7069	382	10	5	1	5	59	1	78	247	6	3	6	0	3	41	11791	3349	16	25	95	1	134	2	2	2	1646	5	0	76	0	3954	0	35	1	1	435	4	8	5	4	138	171	3	0	36	434	5	977	6	3	2	6221	143	2	1546	0	100	175	8	38	250	182	7	3	15	6	76	0	2	17	115	700	12	28	333	0	2483	1	2366	1	1660	382	85	1	36167	6067	29	630	3	1400	5	1808	2	91	1	15	72	0	42	321	30	2424	4	0	12	1988	25	0	515	4769	3	2523	0	4	0	1	0	5	101	9	5300	664	543	2	0	384	3	1	652	0	3	6	1	1
[Weeksellaceae]	0	0	0	3	0	0	0	0	0	6	1	15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
0319-6G20	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacteraceae	0	0	0	0	0	0	1	0	0	0	2	1	4	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetaceae	30	29	31	0	18	13	5882	2	13	27	69	447	90	2	8	13	193	41	10	176	15	37	2	123	5	50	1251	66	61	10	1	4	46	8	0	11	0	0	10	2	24	9	5	48	2	81	2	51	94	1	0	5	7	0	0	16	59	0	11	26	0	271	80	33	0	11	9	9	114	10	200	51	102	54	16	1	157	216	69	24	12	18	3	53	117	8	30	0	30	75	1	9	5	5	7	69	31	23	3	64	16	13	21	55	8	86	35	0	6	31	27	0	4	4	48	40	9	14	1	2	3	1115	7	0	7	2	2	40	16	24	62	224	0	10	1	10	37	10	293	87	11	37	51	0	19	11	2	5	39	4	0	13	0	13	20	1	0	602	3	7	4	0	0	0	1	1	32	8	8	7	13	59	1	0	23	113	11	8	561	26	157	22	61	4	6	9	194	35	4	26	1225	40	0	2	0	154	3	0	0	1	6	0	1	8	5	2	0	16	9	2	0	0	0	42	43	16	24	626	2	6	29	7	0	1	2	22	109	20	2	19	1	19	5	11	0	1	0	0	0	0
