ST00070	SW00012	SW00053	SW00097	ST00069	SW00177	SW00017	SW00049	SW00046	SW00169	SW00099	SW00047	SW00066	SW00144	SW00075	SW00174	SW00062	ST00045	SW00179	SW00105	SW00014	SW00054	SW00093	ST00054	SW00120	SW00091	SW00024A	SW00011	ST00150	ST00172	SW00036	ST00141	ST00193	ST00100	SW00072	ST00065	SW00262	ST00050	ST00060	SW00020	SW00085	ST00067	ST00059	ST00205	SW00055	ST00162	ST00151	SW00001	ST00132	ST00143	ST00051	ST00062	ST00005	SW00124	ST00105	ST00044	SW00030	ST00138	ST00101	ST00183	ST00001	SW00248	ST00234	ST00076	SW00052	ST00030	ST00226	ST00223	ST00383	SW00265	ST00420	SW00035	ST00057	ST00253	SW00042	ST00178	SW00063	SW00123	ST00412	ST00228	ST00028	SW00101	ST00184	ST00023	ST00167	ST00116	ST00082	ST00411	ST00379	ST00092	ST00063	ST00243	SW00247	SW00002	SW00095	ST00163	ST00465	SW00069	ST00112	ST00093	SW00070	ST00046	SW00074	SW00043	ST00053	SW00013	SW00009	SW00243	ST00021	ST00382	ST00248	SW00024B	ST00166	SW00004	SW00003	ST00110	ST00081	ST00085	SW00173	SW00086	SW00045	SW00061	SW00250	SW00019	SW00018	ST00387	SW00103	ST00094	ST00124	ST00266	SW00029	ST00003	ST00194	SW00007	ST00142	SW00137	ST00386	ST00075	ST00231	SW00156	ST00161	ST00152	ST00480	ST00088	SW00108	SW00082	ST00056	SW00022	SW00064	SW00005	ST00026	ST00086	ST00019	SW00087	SW00068	ST00027	SW00153	ST00008	SW00032	SW00259	SW00159	ST00083	ST00041	ST00078	ST00077	SW00244	ST00031	ST00139	ST00035	SW00302	SW00073	ST00207	SW00155	SW00240	ST00159	SW00026	ST00064	SW00056	ST00131	SW00094	SW00268	SW00048	ST00425	SW00028	SW00079	SW00023	SW00041	SW00288	SW00027	SW00131	ST00009	SW00057	ST00016	SW00147	SW00168	SW00133	SW00060	ST00015	ST00127	SW00089	SW00078	SW00050	ST00222	SW00006	SW00110	ST00109	SW00021	ST00006	ST00111	ST00042	ST00123	SW00098	ST00047	SW00040	SW00076	SW00025	ST00232	SW00039	ST00095	ST00018	SW00142
[Barnesiellaceae]	4	4	1	0	395	0	0	2	7	6	1	1	16	1	0	111	2	3	12	4	0	144	1	0	232	25	0	1	0	264	8	3	12	48	77	1	83	50	0	102	4	65	269	3	160	0	18	0	40	115	6	46	10	1	128	2	57	151	3	0	0	0	1	122	0	2	263	2	310	354	283	1	0	4	281	1	6	232	90	17	2	56	0	1	62	7	2	143	193	2	0	190	0	51	276	371	186	60	9	9	1	2	1	108	170	101	83	104	0	332	2	8	97	0	0	3	104	86	1	137	4	1	0	3	1	0	94	6	5	109	0	0	22	1	0	1	1	1	80	78	140	3	37	2	25	16	85	30	5	70	144	94	34	16	48	0	78	104	0	563	258	0	0	16	0	183	24	240	128	73	548	19	2	4	0	1063	258	0	259	0	0	4	0	1	75	1	72	17	0	26	0	345	1	209	22	67	75	2	292	0	26	19	0	0	12	3	0	0	191	1	191	1	2	2	0	0	177	3	4	0	1
[Cerasicoccaceae]	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Mogibacteriaceae]	3	9	4	0	2	0	224	6	11	6	19	2	43	1	3	35	47	0	3	152	12	26	6	4	4	12	287	4	21	10	14	6	4	8	1	18	6	2	4	6	66	1	0	1	16	25	1	0	18	23	25	10	0	11	2	0	1	24	8	7	0	17	19	35	25	2	23	0	54	14	105	6	19	86	4	8	55	11	21	76	8	7	1	22	1	25	3	17	28	12	11	4	3	13	4	22	6	15	13	11	6	8	21	34	1	113	9	7	25	2	14	7	4	7	22	5	7	10	9	3	186	41	0	0	6	0	13	23	23	1	122	12	3	23	16	62	24	6	5	27	14	0	0	7	3	2	16	16	5	19	19	12	6	1	6	29	115	2	22	3	5	15	6	19	30	17	3	26	11	6	0	1	10	0	0	14	0	42	3	138	10	0	15	5	8	8	7	51	2	7	8	7	0	1	4	10	77	0	0	5	163	12	0	1	4	16	21	3	15	23	19	1	16	127	0	53	30	59	37	17	41
[Odoribacteraceae]	11	0	15	6	90	10	24	18	31	17	0	2	22	48	304	17	20	0	70	30	0	21	18	1	61	17	39	0	35	70	22	55	21	143	40	0	85	19	0	10	61	21	0	30	78	92	41	1	17	11	45	72	3	51	59	13	8	1	2	1	0	58	45	38	0	1	19	62	151	119	95	0	123	72	0	11	71	22	102	17	0	28	50	27	13	26	38	21	7	13	0	53	14	16	80	50	23	8	31	6	33	55	22	30	35	34	37	87	43	84	6	20	21	52	58	0	73	31	16	56	28	32	28	0	51	68	47	28	0	55	39	60	151	93	32	19	6	4	40	26	92	42	22	8	17	51	15	16	2	15	10	54	18	1	29	50	38	57	55	63	61	28	0	65	7	115	14	49	5	34	28	58	79	1	6	0	0	0	218	13	33	8	38	5	55	25	22	15	0	36	0	95	45	45	19	81	92	0	151	57	23	15	25	0	48	69	27	34	166	16	70	41	41	0	0	0	11	17	50	11	61
[Paraprevotellaceae]	0	0	0	0	0	0	0	0	165	20	91	1	0	0	9	0	0	0	1	25	0	0	0	0	166	168	27	1	0	0	2	0	0	0	0	166	1	0	1	1	0	0	386	0	0	127	0	0	0	0	1	0	0	0	0	124	0	0	0	109	0	63	88	187	0	0	0	0	0	0	0	150	2	0	224	0	0	0	0	0	272	1	0	0	0	0	0	1	0	322	0	0	0	0	0	79	0	1	507	105	333	468	0	0	0	0	62	0	0	0	57	0	0	0	0	1	0	0	1	0	0	78	0	0	0	0	159	166	40	1	13	0	456	0	3	0	18	0	179	93	300	169	0	0	0	0	69	1	1	34	13	564	0	2	512	0	1	1	0	0	0	0	0	0	0	0	0	184	0	0	10	0	26	0	1	3	276	0	0	3	0	17	0	1	0	97	0	0	200	4	0	0	172	0	0	345	195	0	0	0	0	0	0	0	0	0	0	1	0	0	214	1	0	0	2	0	0	0	0	0	19
[Tissierellaceae]	0	72	29	12	1	64	107	367	37	43	133	108	482	519	262	85	421	0	14	430	92	75	14	6	14	231	709	331	2	0	889	1	0	0	12	1	7	0	2	39	85	0	1	2	5	1	0	111	0	0	0	3	1	3	0	2	1	2	1	0	1	22	1	0	106	2	0	1	0	0	0	1115	2	0	52	1	150	32	3	0	0	31	0	1	0	2	0	0	0	0	1	0	16	2	1	0	0	21	1	0	4	0	553	311	0	454	27	2	2	0	0	8	0	28	28	0	0	0	2	2	487	252	1	2	11	1	23	1	1	0	411	2	0	24	0	527	3	0	0	40	0	1	0	0	48	20	0	14	235	153	5	2	0	263	24	2	302	0	46	39	8	1	2	4	1	20	0	0	3	14	66	0	3	35	0	266	0	505	1	658	17	18	0	2262	490	117	1	1203	4	501	1	5	0	8	48	10	471	0	0	1	760	17	0	35	488	1	440	0	0	0	0	3	2	846	76	242	2	113	0	0	467
[Weeksellaceae]	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetaceae	7	10	1	0	2	0	146	1	0	3	2	8	7	1	6	0	0	2	1	19	1	4	0	28	1	18	79	0	3	0	1	0	6	1	0	1	0	0	3	0	2	2	3	2	0	7	0	1	4	0	0	4	1	0	0	0	2	0	1	7	0	6	15	1	0	6	0	0	10	0	17	16	10	3	1	0	18	12	0	23	1	0	1	5	0	1	1	0	4	5	0	0	3	1	0	3	1	4	2	2	1	2	5	7	1	8	1	0	0	4	2	0	1	1	4	0	3	2	1	0	40	1	0	2	1	0	6	8	2	2	60	0	2	0	2	6	20	8	1	1	2	0	1	2	0	3	5	0	4	4	18	0	0	23	0	2	2	0	0	5	0	2	4	2	7	1	0	1	16	0	0	7	4	17	3	3	1	0	1	84	0	1	0	84	4	0	0	125	2	0	2	0	1	1	0	0	2	1	2	0	0	0	4	6	1	4	121	0	1	26	5	0	6	18	0	2	4	9	1	4	0
Aerococcaceae	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0
