ST00070	SW00012	SW00053	SW00097	ST00069	SW00177	SW00017	SW00049	SW00046	SW00169	SW00099	SW00047	SW00066	SW00144	SW00075	SW00174	SW00062	ST00045	SW00179	SW00105	SW00014	SW00054	SW00093	ST00054	SW00120	SW00091	SW00024A	SW00011	ST00150	ST00172	SW00036	ST00141	ST00193	ST00100	SW00072	ST00065	SW00262	ST00050	ST00060	SW00020	SW00085	ST00067	ST00059	ST00205	SW00055	ST00162	ST00151	SW00001	ST00132	ST00143	ST00051	ST00062	ST00005	SW00124	ST00105	ST00044	SW00030	ST00138	ST00101	ST00183	ST00001	SW00248	ST00234	ST00076	SW00052	ST00030	ST00226	ST00223	ST00383	SW00265	ST00420	SW00035	ST00057	ST00253	SW00042	ST00178	SW00063	SW00123	ST00412	ST00228	ST00028	SW00101	ST00184	ST00023	ST00167	ST00116	ST00082	ST00411	ST00379	ST00092	ST00063	ST00243	SW00247	SW00002	SW00095	ST00163	ST00465	SW00069	ST00112	ST00093	SW00070	ST00046	SW00074	SW00043	ST00053	SW00013	SW00009	SW00243	ST00021	ST00382	ST00248	SW00024B	ST00166	SW00004	SW00003	ST00110	ST00081	ST00085	ST00227	SW00173	SW00086	SW00045	SW00061	SW00250	SW00019	SW00018	ST00387	SW00103	ST00094	ST00124	ST00266	SW00029	ST00003	ST00194	SW00007	ST00142	SW00137	ST00146	ST00386	ST00075	ST00231	SW00156	ST00161	ST00152	ST00480	ST00088	SW00108	SW00082	ST00056	ST00084	SW00022	SW00064	SW00051	SW00005	ST00026	ST00086	ST00019	SW00087	SW00068	ST00027	SW00153	ST00008	SW00038	SW00032	ST00017	SW00067	SW00259	SW00159	ST00083	ST00041	ST00078	ST00077	SW00244	ST00031	ST00139	ST00035	SW00302	SW00073	ST00207	SW00155	SW00240	ST00159	SW00026	ST00064	SW00056	ST00131	SW00094	SW00268	SW00048	ST00425	SW00028	SW00079	ST00259	SW00023	SW00041	SW00288	SW00027	SW00131	SW00044	SW00031	ST00009	SW00033	SW00057	ST00016	SW00147	SW00168	SW00133	SW00060	ST00015	ST00127	SW00089	SW00078	SW00050	ST00222	SW00006	SW00110	ST00109	SW00021	ST00006	ST00111	ST00042	ST00123	ST00136	SW00098	SW00065	ST00047	SW00040	SW00076	SW00025	ST00232	ST00103	SW00039	ST00095	ST00018	SW00142	ST00091	ST00039	SW00010	ST00384	ST00040
[Eubacterium]	102	443	272	70	2100	230	187	812	3596	110	35	1005	441	25	27	16	2341	24	1820	47	101	171	40	92	254	15	359	531	409	23	39	45	56	23	52	1939	15	46	2775	15	37	21	158	1199	581	172	12	2431	126	3	0	52	698	20	150	28	109	1	2317	20	84	7031	405	6440	30	287	19	674	11	202	56	275	1738	111	241	19	345	49	129	8	468	35	28	56	427	207	4519	5	74	259	37	285	86	32	2397	381	269	7	864	251	3857	34	140	15	3	38	1756	23	16	4	32	3	10	39	112	1427	1	10	1	9	1426	1395	162	44	50	119	43	4	1931	85	952	54	14	10	63	1	280	66	1582	130	0	0	0	39	61	155	71	7	1108	6	17	10	69	528	161	172	30	1642	595	44	50	4	12	17	6	1	182	33	20	4	13	63	24	7	614	18	2811	107	3137	362	347	33	164	89	854	66	24	217	366	182	330	668	17	55	26	11	73	23	5	9	10	0	1144	22	326	218	333	329	34	178	262	29	0	39	3056	1175	297	487	10	712	0	152	87	1	51	1839	288	52	696	9	0	230	7	37	54	8	3	1	2	0
[Prevotella]	0	0	0	0	0	13	7	4	1	0	0	2	0	2	0	0	1	0	0	0	0	12	0	0	0	0	329	0	0	0	1	0	0	0	0	2837	0	1	0	0	2	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3686	0	0	3	0	0	0	0	530	0	0	0	0	0	2	0	0	3178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	22	0	0	0	5	0	26	28	0	0	0	0	0	0	0	1	0	0	0	1	0	321	0	0	499	0	6	4345	0	5	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	5	0	1	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	265	13	0	0	0	0	0	1	0	0	1053	1032	1	0	0	0	0	0	1	0	0	0	1	0	0	316	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
[Ruminococcus]	3666	3385	1882	525	787	174	2109	4111	2479	632	1699	1893	956	1504	148	494	7509	5087	6989	1764	6181	344	460	3713	1884	503	24	1365	510	648	13	940	1177	85	2049	2092	216	565	1024	426	732	551	642	1089	160	2795	1458	6273	2440	57	232	37	4455	1268	1645	170	4567	235	2151	855	305	22820	4612	612	2134	559	707	453	631	4153	1598	97	51	3969	4977	461	5113	1239	14158	102	1321	877	868	1261	9208	1428	9279	777	1449	4182	2836	5384	1520	286	1064	1246	1907	522	313	6214	1458	2075	3890	1667	452	3310	1246	233	390	310	868	3810	187	581	356	461	162	517	138	1029	1277	347	2359	902	11759	892	1097	240	1626	2747	5958	3	71	172	1119	511	386	2	6362	944	179	222	165	501	30805	2445	280	2155	548	48	38	48	10	481	30	31	37	460	205	123	291	25	182	208	18	4	886	1021	1687	301	186	3602	184	141	2650	1952	2306	608	10048	6374	84	1258	489	1308	917	219	205	9531	602	2161	240	517	75	986	77	97	36	534	9	289	387	30	1442	76	821	723	22	4	2741	133	4443	265	194	911	5976	3874	1007	53	208	153	115	3	21	672	211	976	1285	38	14	52	17	869	330	316	120	103	5	2	3	1
02d06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
24838	1	7	71	0	1	65	217	0	7	32	212	8	601	0	96	486	1138	0	0	185	202	75	0	0	0	0	1899	108	7	0	196	0	0	0	0	0	0	1	0	0	281	0	0	0	8	0	0	23	0	0	0	3	0	5	0	0	0	0	2	0	0	125	0	0	0	1	0	0	0	0	0	428	0	0	84	0	100	123	0	0	0	33	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0	21	0	0	0	0	1	41	0	466	101	0	0	0	0	18	0	2	7	0	0	0	0	0	0	2786	58	0	0	3	0	28	0	0	0	51	0	0	34	0	950	0	1	0	0	148	0	0	0	2	8	9	0	0	4	0	4	279	1	0	0	408	42	1	220	0	0	54	2	5	0	6	0	0	4	0	4	0	0	0	0	0	0	0	0	0	591	0	197	0	61	7	11	0	1702	198	0	6	0	94	0	0	0	0	0	0	11	0	0	15	0	1	1	0	0	135	3	0	17	52	0	20	0	1	0	0	0	3	0	0	498	0	60	0	0	107	0	0	15	0	0	0	0	0
5-7N15	0	0	2	0	0	0	1	0	0	16	11	12	3	6	0	1	0	0	0	0	0	2	0	0	5	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter	0	0	0	0	0	0	1	0	0	0	2	1	4	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0	0	0	3	0	0	0	0	0	5	3	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
Acidaminococcus	3	0	0	0	0	2	1	0	0	38	6	1	1	0	144	8	2	0	10	0	0	3	0	40	3	373	0	2	1	0	0	0	0	0	207	0	1	1	0	5	0	0	0	0	11	0	0	0	0	0	61	0	0	5	318	1	0	0	0	0	0	0	0	1466	328	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	3001	2	2	0	0	0	1335	0	0	0	0	0	20	0	0	442	1	8	0	0	0	0	4	0	0	0	0	175	1	0	0	0	0	4	0	0	0	3	0	0	1	0	0	0	0	924	0	0	0	607	0	1	6	1	6	1	0	0	0	779	128	0	0	0	0	0	0	1	55	1	0	81	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	53	0	2	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0	0	4	0	4037	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	1	0	0	2	0	23	0	1	0	0	0	0	45	1	0	0	0	0	1	0	305	0	0	0	0	0
Acinetobacter	0	9	2	43	0	59	160	2	39	205	250	417	157	155	31	22	7	0	13	18	0	57	35	0	42	29	30	9	0	0	54	0	1	0	2	0	0	0	0	137	3	0	0	2	0	2	0	17	0	0	0	0	0	0	0	0	2	0	0	2	0	3	0	1	10	0	0	1	0	3	0	29	0	0	2	0	4	10	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	37	0	0	1	0	9	11	0	4	0	0	0	1	0	0	0	0	2	0	0	1	0	0	8	152	30	0	0	1	0	1	2	0	0	3	0	0	1	0	163	0	0	0	0	0	0	0	0	0	1	0	0	0	0	83	0	3	0	0	0	20	2	0	6	0	0	9	0	1	7	0	2	0	0	0	0	0	0	0	2	44	1	0	7	0	9	0	0	0	0	9	2	0	202	66	5	13	0	4	0	35	0	0	0	1	8	0	6	16	0	2	0	0	0	1	0	0	70	25	0	65	0	0	0	0	0	0	15	0	11	253	0	0	0	2	0	0	0	0	0	0	0	0
