ST00070	SW00012	SW00053	SW00097	ST00069	SW00177	SW00017	SW00049	SW00046	SW00169	SW00099	SW00047	SW00066	SW00144	SW00075	SW00174	SW00062	ST00045	SW00179	SW00105	SW00014	SW00054	SW00093	ST00054	SW00120	SW00091	SW00024A	SW00011	ST00150	ST00172	SW00036	ST00141	ST00193	ST00100	SW00072	ST00065	SW00262	ST00050	ST00060	SW00020	SW00085	ST00067	ST00059	ST00205	SW00055	ST00162	ST00151	SW00001	ST00132	ST00143	ST00051	ST00062	ST00005	SW00124	ST00105	ST00044	SW00030	ST00138	ST00101	ST00183	ST00001	SW00248	ST00234	ST00076	SW00052	ST00030	ST00226	ST00223	ST00383	SW00265	ST00420	SW00035	ST00057	ST00253	SW00042	ST00178	SW00063	SW00123	ST00412	ST00228	ST00028	SW00101	ST00184	ST00023	ST00167	ST00116	ST00082	ST00411	ST00379	ST00092	ST00063	ST00243	SW00247	SW00002	SW00095	ST00163	ST00465	SW00069	ST00112	ST00093	SW00070	ST00046	SW00074	SW00043	ST00053	SW00013	SW00009	SW00243	ST00021	ST00382	ST00248	SW00024B	ST00166	SW00004	SW00003	ST00110	ST00081	ST00085	SW00173	SW00086	SW00045	SW00061	SW00250	SW00019	SW00018	ST00387	SW00103	ST00094	ST00124	ST00266	SW00029	ST00003	ST00194	SW00007	ST00142	SW00137	ST00386	ST00075	ST00231	SW00156	ST00161	ST00152	ST00480	ST00088	SW00108	SW00082	ST00056	SW00022	SW00064	SW00005	ST00026	ST00086	ST00019	SW00087	SW00068	ST00027	SW00153	ST00008	SW00032	SW00259	SW00159	ST00083	ST00041	ST00078	ST00077	SW00244	ST00031	ST00139	ST00035	SW00302	SW00073	ST00207	SW00155	SW00240	ST00159	SW00026	ST00064	SW00056	ST00131	SW00094	SW00268	SW00048	ST00425	SW00028	SW00079	SW00023	SW00041	SW00288	SW00027	SW00131	ST00009	SW00057	ST00016	SW00147	SW00168	SW00133	SW00060	ST00015	ST00127	SW00089	SW00078	SW00050	ST00222	SW00006	SW00110	ST00109	SW00021	ST00006	ST00111	ST00042	ST00123	SW00098	ST00047	SW00040	SW00076	SW00025	ST00232	SW00039	ST00095	ST00018	SW00142	
[Eubacterium]	5	54	12	3	197	18	2	34	159	11	4	26	37	4	8	1	28	1	100	5	8	24	7	31	19	5	21	29	54	2	23	3	3	3	11	130	1	3	633	3	2	5	26	43	72	13	1	144	7	0	0	13	38	2	19	3	8	0	357	0	36	127	58	241	4	134	1	53	3	10	5	65	133	11	26	4	50	2	2	8	30	0	5	4	10	27	117	1	13	11	3	11	19	4	89	35	25	0	168	9	165	2	11	1	0	4	110	4	1	1	1	1	0	13	15	71	0	1	0	97	51	18	5	4	6	2	1	459	15	99	19	5	1	12	0	40	105	10	0	0	0	3	2	35	17	0	177	9	7	90	145	108	7	75	55	27	16	1	7	30	1	0	2	1	9	8	2	64	3	358	9	65	30	40	2	13	12	181	8	5	13	72	10	17	45	6	15	11	44	5	5	131	0	55	30	95	66	4	95	21	12	0	4	181	129	53	88	6	96	0	90	1	331	50	8	334	3	69	4	10	42
[Prevotella]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	1	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	354	0	2	470	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	3	0	0	1	0	0	334	191	0	0	0	0	0	0	0	0	0	0	1	0	0	188	1	0	0	0	0	0	0	0	0	1
[Ruminococcus]	288	436	112	15	75	14	70	192	100	47	115	51	63	140	47	12	96	158	372	155	338	57	49	1012	113	180	0	126	49	26	5	107	76	13	411	143	14	33	258	63	62	122	67	36	18	254	109	411	198	11	113	15	269	161	190	17	179	123	330	121	130	398	617	24	271	216	34	27	39	167	161	22	5	296	406	126	716	52	72	95	78	47	84	164	255	190	220	313	258	194	260	180	213	56	35	119	185	56	45	228	60	141	335	170	71	218	73	34	67	36	61	728	18	207	43	22	38	44	267	76	14	163	85	779	90	81	33	380	354	534	0	24	29	241	65	49	535	110	18	20	23	81	2312	606	96	240	98	24	27	75	28	22	10	20	25	60	64	2	66	164	81	191	128	49	518	47	50	232	253	312	51	221	697	9	128	52	208	162	21	75	435	121	168	14	54	174	46	82	26	159	179	163	9	146	102	7	1	354	72	296	100	138	77	293	436	166	10	81	20	107	1	316	162	231	5	5	14	243	106	75	94
02d06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Tissierellaceae]_24838	0	1	3	0	0	7	2	0	0	2	10	0	48	0	35	15	14	0	0	19	9	11	0	0	0	0	105	7	1	0	122	0	0	0	0	0	0	0	0	0	26	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	116	0	0	5	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	7	0	43	8	0	0	0	0	1	0	2	0	0	0	0	0	0	117	3	0	0	0	0	5	0	0	0	15	0	0	11	0	123	0	0	0	15	0	0	0	0	1	0	0	1	0	42	0	0	0	17	5	1	30	0	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	70	0	34	0	23	2	4	0	115	23	0	0	75	0	0	0	0	0	0	3	0	0	0	0	0	54	1	0	2	4	0	1	0	0	0	0	2	0	87	0	25	0	35	0	0	12
5-7N15	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Acetobacter	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Acidaminococcus	1	0	0	0	0	0	0	0	0	3	0	0	0	0	46	0	0	0	0	0	0	0	0	10	0	146	0	0	1	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	36	0	0	0	0	0	0	0	0	39	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	131	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	33	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	114	0	0	0	98	0	0	1	1	0	0	0	0	121	11	0	0	0	0	0	0	0	0	53	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	4	0	1090	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	4	0	1	0	0	9	0	0	0	0	0	0	222
Acinetobacter	0	0	0	3	0	2	5	0	0	14	17	8	10	14	12	1	0	0	0	2	0	7	4	0	8	10	0	2	0	0	35	0	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	14	6	2	0	3	0	8	0	1	0	0	0	0	0	0	0	0	1	0	0	3	2	0	10	0	0	0	0	0	0	1	32	0	0	0	0	0	0
