ST00070	SW00012	SW00053	SW00097	ST00069	SW00177	SW00017	SW00049	SW00046	SW00169	SW00099	SW00047	SW00066	SW00144	SW00075	SW00174	SW00062	ST00045	SW00179	SW00105	SW00014	SW00054	SW00093	ST00054	SW00120	SW00091	SW00024A	SW00011	ST00150	ST00172	SW00036	ST00141	ST00193	ST00100	SW00072	ST00065	SW00262	ST00050	ST00060	SW00020	SW00085	ST00067	ST00059	ST00205	SW00055	ST00162	ST00151	SW00001	ST00132	ST00143	ST00051	ST00062	ST00005	SW00124	ST00105	ST00044	SW00030	ST00138	ST00101	ST00183	ST00001	SW00248	ST00234	ST00076	SW00052	ST00030	ST00226	ST00223	ST00383	SW00265	ST00420	SW00035	ST00057	ST00253	SW00042	ST00178	SW00063	SW00123	ST00412	ST00228	ST00028	SW00101	ST00184	ST00023	ST00167	ST00116	ST00082	ST00411	ST00379	ST00092	ST00063	ST00243	SW00247	SW00002	SW00095	ST00163	ST00465	SW00069	ST00112	ST00093	SW00070	ST00046	SW00074	SW00043	ST00053	SW00013	SW00009	SW00243	ST00021	ST00382	ST00248	SW00024B	ST00166	SW00004	SW00003	ST00110	ST00081	ST00085	ST00227	SW00173	SW00086	SW00045	SW00061	SW00250	SW00019	SW00018	ST00387	SW00103	ST00094	ST00124	ST00266	SW00029	ST00003	ST00194	SW00007	ST00142	SW00137	ST00146	ST00386	ST00075	ST00231	SW00156	ST00161	ST00152	ST00480	ST00088	SW00108	SW00082	ST00056	ST00084	SW00022	SW00064	SW00051	SW00005	ST00026	ST00086	ST00019	SW00087	SW00068	ST00027	SW00153	ST00008	SW00038	SW00032	ST00017	SW00067	SW00259	SW00159	ST00083	ST00041	ST00078	ST00077	SW00244	ST00031	ST00139	ST00035	SW00302	SW00073	ST00207	SW00155	SW00240	ST00159	SW00026	ST00064	SW00056	ST00131	SW00094	SW00268	SW00048	ST00425	SW00028	SW00079	ST00259	SW00023	SW00041	SW00288	SW00027	SW00131	SW00044	SW00031	ST00009	SW00033	SW00057	ST00016	SW00147	SW00168	SW00133	SW00060	ST00015	ST00127	SW00089	SW00078	SW00050	ST00222	SW00006	SW00110	ST00109	SW00021	ST00006	ST00111	ST00042	ST00123	ST00136	SW00098	SW00065	ST00047	SW00040	SW00076	SW00025	ST00232	ST00103	SW00039	ST00095	ST00018	SW00142	ST00091	ST00039	SW00010	ST00384	ST00040
[Cerasicoccales]	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	9	26	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Saprospirales]	0	0	0	0	0	0	0	0	0	10	1	17	2	2	5	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetales	33	32	55	39	94	49	6215	118	31	138	121	825	997	955	18	49	600	43	20	320	103	112	23	129	60	69	1570	108	154	10	41	7	48	8	2	36	9	4	11	4	34	12	5	61	11	135	2	59	124	2	0	5	39	4	0	16	80	0	15	29	1	292	102	40	2	11	25	22	136	25	300	285	107	54	26	1	176	259	83	31	26	24	3	57	122	29	41	0	30	178	1	12	21	5	15	92	32	94	3	90	16	28	32	86	9	261	48	0	6	32	27	1	8	10	67	44	13	23	1	2	5	1174	144	1	7	6	2	67	16	31	73	327	0	10	1	31	164	17	328	134	22	241	66	0	24	65	4	5	39	8	0	43	0	16	20	1	0	1058	11	7	62	0	2	4	1	1	46	8	9	7	16	67	1	0	30	145	11	89	618	30	161	42	127	6	32	12	335	49	4	26	3181	161	6	16	4	200	6	135	0	1	7	0	1	8	7	4	2	58	9	4	0	231	0	50	62	65	24	638	2	6	30	19	0	1	119	28	274	175	5	20	4	29	6	12	10	1	0	0	0	1
Anaeroplasmatales	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1690	0	0	0	0	0	0	0	0	0	0	0	0	1059	1993	86	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillales	50	740	130	11957	129	6830	35783	937	9471	49890	64261	81100	27545	35221	5802	5800	2038	103	4960	5858	992	13920	7844	553	12122	6083	8067	3438	183	79	8718	28	100	16	394	5	89	30	6	25129	445	10	32	85	24	177	20	1945	89	11	2	2	287	29	8	93	91	13	49	51	1	605	35	158	3249	25	80	43	321	194	664	5790	100	105	1163	11	487	1505	277	21	14	1039	9	82	281	38	85	11	62	228	17	18	713	19	73	233	33	3202	10	105	1850	39	3185	2530	22	993	412	10	23	23	115	129	21	671	1009	79	35	86	7	5	1274	27030	3913	516	346	656	37	340	28	44	28	329	1	10	165	18	30989	12	316	125	18	267	89	11	14	81	2000	474	49	4	103	13025	16	1221	54	4	10	3933	943	22	713	2	118	1146	13	177	1726	62	21	3	17	176	317	1	116	175	135	5883	413	67	1528	20	3681	13	244	15	346	3877	426	36	37489	13460	181	3730	171	1769	1	8002	9	80	2	74	1372	5	1624	4565	105	226	31	4	307	1348	153	56	9088	4051	9	14145	0	45	38	23	1	4	1872	18	3661	46296	85	130	4	898	10	40	154	0	1	5	2	1
Bacteroidales	52354	36152	75464	84787	52264	62480	91366	122574	86076	28315	38668	154043	27526	29741	9894	77787	320723	220599	84803	37324	92930	15677	28506	2758	59285	8720	38921	54968	36233	110930	1079	48748	49692	17032	23776	62335	75698	77963	23391	13834	47745	17735	67124	115348	21329	35938	66669	75997	49158	17154	7525	7455	64764	42496	40357	50787	98600	4151	42182	37780	11376	272452	12103	57362	15738	16675	74457	67645	55150	60499	25770	9178	14697	34598	70155	12097	26614	124121	851250	2695	69866	64657	63287	27897	51652	8581	192095	5396	7172	59805	30243	153897	45507	22494	67790	35332	56318	16377	24968	153713	100151	84628	39011	20008	24274	49139	61342	31775	15462	36443	53358	14454	45101	9605	20059	124865	26231	42223	4975	18811	57341	72785	34270	42813	79636	50221	92181	20635	15728	19533	64690	10392	11420	31904	11359	48200	9396	2258	4806	12287	24794	31305	65591	29126	69446	11611	13322	33662	16876	1497	9966	934	2851	26965	3828	6592	26548	121066	39557	2418	21392	41742	2291	6647	196	174	26849	56536	33868	16372	15138	15927	9244	13436	36663	15840	34857	60869	274092	41863	69038	33907	50056	35496	19481	76745	8382	105229	19357	88326	14053	55631	3101	23320	7495	2419	7057	7207	1484	4075	12407	1884	47447	68914	25022	33439	16266	22146	50044	14415	105451	7674	2970	68368	51606	34659	19485	12983	10886	24393	2767	7341	2092	13049	682	12666	17705	17087	6306	15229	697	6568	5753	13197	6759	3614	120	66	64	25
Bifidobacteriales	13	0	2	0	0	0	31	118	0	2	0	3	8	0	0	15	1	2	4	0	0	6	8	38	0	0	0	9	5	11	0	0	6	2	0	2	0	4	0	0	3	2	0	0	0	0	8	1	4	1	0	0	0	2	0	1	9	0	0	0	0	4	0	0	0	0	18	0	0	0	0	0	0	7	0	4	8	54	127	0	11	2	0	10	3	0	37	0	0	0	0	1	0	5	0	0	4	11	0	4	0	0	0	10	0	2	0	0	17	0	0	0	19	0	7	0	3	29	0	0	8	14	0	0	0	2	0	0	0	0	11	0	3	2	0	0	1	0	6	12	1	3	5	2	0	11	0	3	0	0	0	0	0	0	0	0	2	31	0	0	0	1	0	1	0	0	0	0	0	0	4	3	0	5	4	6	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0	6	0	0	0	0	0	0	0	0	11	1	0	0	0	1	0	0	0	0	0
Burkholderiales	1541	518	4245	3546	2015	477	1649	1824	6805	1762	234	925	1266	3485	669	1580	19602	9887	3587	1010	1	637	1839	71	258	1135	2058	6	1661	22	127	535	974	1137	632	1029	8	1576	0	460	730	526	1610	520	356	3057	1094	1	424	329	472	151	0	450	1566	6436	2226	0	11	7	1	7213	485	120	1368	139	601	766	1344	2084	369	449	82	2157	2421	664	86	5219	5	98	1905	6	1295	730	10164	169	3569	32	25	2214	1117	6324	1040	652	4678	203	97	343	324	301	1384	4906	3028	2054	2209	2850	1447	2	146	7	848	1049	1434	761	308	4304	1537	1331	8	6	737	991	7544	486	3521	1753	1896	223	232	88	5231	469	110	1710	663	110	921	4	327	398	365	295	1166	414	257	585	278	585	224	61	147	244	29	467	29	61	460	693	499	74	261	4475	320	317	2	9	434	3	1380	1	221	1570	363	323	81	2466	293	36	9258	525	19	1319	984	740	0	6347	222	2385	334	1038	64	2307	190	13	61	59	186	2067	83	176	1	21	760	0	1922	650	5	5	1268	305	1851	88	105	1559	33	3848	947	343	725	710	111	0	139	10	205	289	753	399	1	56	20	377	26	445	202	16	5	1	3	0
Campylobacterales	0	163	26	0	4	43	3726	0	1	61	277	61	450	0	8	1473	841	0	7	453	126	109	0	0	5	4	3860	201	7	0	0	5	0	0	6	0	6	1	2	4	3643	0	2	19	1	4	0	16	1	0	0	1	0	74	0	4	35	0	0	2	2	70	4	0	0	0	0	0	0	3	11	378	1	0	114	0	421	148	30	0	2	0	0	1	0	5	0	0	0	8	0	0	1	13	4	5	0	25	3	0	4	0	1	126	0	193	158	0	1	0	0	122	0	3	62	1	0	0	0	0	0	2968	2	1	9	9	0	285	0	0	0	118	0	0	0	3	330	0	0	1	2	418	14	0	0	0	1	7	0	0	116	19	8	94	0	3	0	530	372	0	0	0	0	0	0	0	0	0	0	0	8	1	55	0	0	0	5	0	0	8	0	0	826	3	598	1	962	14	1	1	196	416	2	331	0	87	0	27	2	4	0	2	8	0	0	2	7	54	1	0	0	2	1	0	48	4	2	123	0	0	0	4	1	0	0	4	708	21	121	0	1	133	0	0	305	0	0	0	0	0
Cardiobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
