ST00070	SW00012	SW00053	SW00097	ST00069	SW00177	SW00017	SW00049	SW00046	SW00169	SW00099	SW00047	SW00066	SW00144	SW00075	SW00174	SW00062	ST00045	SW00179	SW00105	SW00014	SW00054	SW00093	ST00054	SW00120	SW00091	SW00024A	SW00011	ST00150	ST00172	SW00036	ST00141	ST00193	ST00100	SW00072	ST00065	SW00262	ST00050	ST00060	SW00020	SW00085	ST00067	ST00059	ST00205	SW00055	ST00162	ST00151	SW00001	ST00132	ST00143	ST00051	ST00062	ST00005	SW00124	ST00105	ST00044	SW00030	ST00138	ST00101	ST00183	ST00001	SW00248	ST00234	ST00076	SW00052	ST00030	ST00226	ST00223	ST00383	SW00265	ST00420	SW00035	ST00057	ST00253	SW00042	ST00178	SW00063	SW00123	ST00412	ST00228	ST00028	SW00101	ST00184	ST00023	ST00167	ST00116	ST00082	ST00411	ST00379	ST00092	ST00063	ST00243	SW00247	SW00002	SW00095	ST00163	ST00465	SW00069	ST00112	ST00093	SW00070	ST00046	SW00074	SW00043	ST00053	SW00013	SW00009	SW00243	ST00021	ST00382	ST00248	SW00024B	ST00166	SW00004	SW00003	ST00110	ST00081	ST00085	SW00173	SW00086	SW00045	SW00061	SW00250	SW00019	SW00018	ST00387	SW00103	ST00094	ST00124	ST00266	SW00029	ST00003	ST00194	SW00007	ST00142	SW00137	ST00386	ST00075	ST00231	SW00156	ST00161	ST00152	ST00480	ST00088	SW00108	SW00082	ST00056	SW00022	SW00064	SW00005	ST00026	ST00086	ST00019	SW00087	SW00068	ST00027	SW00153	ST00008	SW00032	SW00259	SW00159	ST00083	ST00041	ST00078	ST00077	SW00244	ST00031	ST00139	ST00035	SW00302	SW00073	ST00207	SW00155	SW00240	ST00159	SW00026	ST00064	SW00056	ST00131	SW00094	SW00268	SW00048	ST00425	SW00028	SW00079	SW00023	SW00041	SW00288	SW00027	SW00131	ST00009	SW00057	ST00016	SW00147	SW00168	SW00133	SW00060	ST00015	ST00127	SW00089	SW00078	SW00050	ST00222	SW00006	SW00110	ST00109	SW00021	ST00006	ST00111	ST00042	ST00123	SW00098	ST00047	SW00040	SW00076	SW00025	ST00232	SW00039	ST00095	ST00018	SW00142
[Cerasicoccales]	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Saprospirales]	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetales	7	10	1	3	8	4	152	6	1	14	2	19	75	88	10	1	6	2	1	31	5	11	1	30	7	29	97	3	13	0	25	1	6	1	1	2	0	0	3	2	3	3	3	2	0	15	0	1	6	0	0	4	3	1	0	0	2	0	1	7	0	6	20	1	0	6	2	1	13	0	25	75	10	3	1	0	23	13	0	28	1	0	1	6	0	3	1	0	4	9	0	0	3	1	0	3	1	10	2	4	1	2	5	12	1	17	2	0	0	4	2	0	1	3	4	0	4	3	1	0	44	13	0	2	1	0	8	8	2	2	86	0	2	0	4	21	23	13	1	16	2	0	2	12	0	3	5	0	27	5	18	0	0	45	1	2	15	0	2	7	0	2	4	2	8	1	0	4	16	0	9	9	6	17	5	10	2	3	1	138	0	1	0	219	11	1	2	164	4	30	3	0	1	1	0	2	15	1	3	0	80	0	6	6	9	4	121	0	1	27	12	0	6	52	16	5	5	10	1	5	7
Anaeroplasmatales	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	121	173	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillales	5	90	14	611	10	398	1020	55	432	3860	3931	2201	1986	3354	1913	203	25	2	276	574	54	2092	864	148	899	2236	471	248	20	6	5547	2	6	5	76	0	3	3	1	4326	49	3	3	1	1	12	2	128	7	1	2	1	20	6	1	6	4	8	7	8	1	12	4	7	386	9	1	5	20	10	52	1444	8	4	98	2	74	57	1	18	3	67	1	7	9	5	1	8	15	10	2	0	93	4	3	19	3	301	0	5	82	4	215	297	4	58	24	1	4	2	8	23	2	208	136	6	7	13	1	78	1147	291	57	25	60	5	44	7	6	2	85	0	1	38	3	4063	31	19	1	19	5	3	3	21	699	76	8	44	7424	197	48	4	3	167	116	6	142	0	374	278	3	1	0	2	24	109	0	7	25	24	565	4	10	153	3	413	2	41	0	141	172	89	0	2339	1132	634	100	1470	1	2192	2	140	1	288	660	45	46	4	1	23	528	107	8	533	455	2	2560	0	5	36	13	2	4	594	5699	43	40	257	6	4	111
Bacteroidales	4049	4593	4328	4011	4648	3628	2701	5867	4063	2216	2384	4137	2040	2973	3196	2712	4281	8066	4549	3497	5324	2464	3192	743	4139	3269	2258	4293	3698	5787	691	6119	3531	2879	4637	3834	4987	5031	5425	2514	4257	4220	6570	4084	2583	3323	4520	5008	4032	3293	3535	2707	4369	5407	5275	4855	3804	2063	6174	4875	4733	4781	1608	2177	1895	6647	3195	4949	3635	2752	2437	2327	1442	2611	5646	2901	3916	4135	4715	2428	5540	3342	6796	3414	1476	1170	4476	2273	1460	2601	2910	5686	6626	3852	2527	3248	5125	1563	4580	5482	4193	5869	2858	2060	4003	3342	3860	4431	2959	4314	3932	2639	3620	3375	2543	6163	5832	4433	5313	3882	2975	2530	4496	5580	5208	6284	2524	3792	2405	5826	2695	3974	5555	2446	7467	1203	368	1320	3045	2423	4654	4482	5143	3025	4513	3976	2784	5319	522	4445	3367	4769	6693	5216	4435	1153	4402	6159	2109	4529	4831	3693	6800	4400	2132	3114	5132	3044	2240	4641	5540	5185	4749	7976	3432	5533	5690	3823	7016	3331	4767	3869	6583	860	4425	3995	4529	2042	5233	1857	5423	4700	7189	4186	4689	5188	4377	6813	6747	6543	2977	2092	5714	2794	3642	3334	2283	4571	3482	2513	4368	5829	2216	2944	2073	2943	3882	1985	1933	3180	4884
Bifidobacteriales	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	3	0	0	0	2	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	1
Burkholderiales	110	64	236	174	198	30	40	86	318	133	10	23	101	327	209	51	274	348	223	106	0	110	205	16	18	431	94	0	178	0	68	64	62	208	127	61	1	99	0	82	64	128	175	18	37	280	73	0	35	51	218	63	0	60	203	593	85	0	1	2	0	142	72	3	163	50	30	69	89	117	38	114	5	134	179	170	14	169	0	90	150	0	149	83	311	22	83	15	5	96	99	217	163	112	153	20	10	24	46	9	60	349	231	228	368	196	93	0	27	0	68	207	125	275	39	226	390	130	3	46	44	554	41	274	189	121	31	57	16	484	118	39	299	147	20	117	28	44	39	19	80	56	16	145	97	84	35	89	134	81	23	37	106	37	64	29	65	687	97	65	0	178	1	65	172	115	121	9	332	37	4	181	65	2	121	107	113	0	563	74	106	66	72	5	207	2	36	43	134	575	0	83	0	296	89	1	0	178	135	106	40	69	118	2	436	164	63	313	112	100	0	3	55	126	50	1	15	118	8	112	141
Campylobacterales	0	19	2	0	1	2	114	0	0	5	17	5	34	0	1	61	10	0	1	28	3	15	0	0	0	2	250	14	0	0	0	0	0	0	2	0	0	0	0	0	324	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	97	0	0	9	0	58	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	1	0	1	1	0	0	0	0	11	0	7	9	0	0	0	0	23	0	0	4	0	0	0	0	0	105	0	0	0	0	0	41	0	0	0	32	0	0	0	1	39	0	0	0	45	0	0	0	0	1	0	0	53	13	24	0	2	0	21	45	0	0	0	0	0	0	0	0	3	0	21	0	0	0	1	0	0	1	0	0	82	0	111	0	359	1	1	0	14	29	44	0	82	0	3	0	0	0	0	0	1	9	0	0	0	1	1	0	2	0	0	20	0	0	0	3	0	0	114	4	58	0	48	0	0	220
Cardiobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
