ST00070	SW00012	SW00053	SW00097	ST00069	SW00177	SW00017	SW00049	SW00046	SW00169	SW00099	SW00047	SW00066	SW00144	SW00075	SW00174	SW00062	ST00045	SW00179	SW00105	SW00014	SW00054	SW00093	ST00054	SW00120	SW00091	SW00024A	SW00011	ST00150	ST00172	SW00036	ST00141	ST00193	ST00100	SW00072	ST00065	SW00262	ST00050	ST00060	SW00020	SW00085	ST00067	ST00059	ST00205	SW00055	ST00162	ST00151	SW00001	ST00132	ST00143	ST00051	ST00062	ST00005	SW00124	ST00105	ST00044	SW00030	ST00138	ST00101	ST00183	ST00001	SW00248	ST00234	ST00076	SW00052	ST00030	ST00226	ST00223	ST00383	SW00265	ST00420	SW00035	ST00057	ST00253	SW00042	ST00178	SW00063	SW00123	ST00412	ST00228	ST00028	SW00101	ST00184	ST00023	ST00167	ST00116	ST00082	ST00411	ST00379	ST00092	ST00063	ST00243	SW00247	SW00002	SW00095	ST00163	ST00465	SW00069	ST00112	ST00093	SW00070	ST00046	SW00074	SW00043	ST00053	SW00013	SW00009	SW00243	ST00021	ST00382	ST00248	SW00024B	ST00166	SW00004	SW00003	ST00110	ST00081	ST00085	ST00227	SW00173	SW00086	SW00045	SW00061	SW00250	SW00019	SW00018	ST00387	SW00103	ST00094	ST00124	ST00266	SW00029	ST00003	ST00194	SW00007	ST00142	SW00137	ST00146	ST00386	ST00075	ST00231	SW00156	ST00161	ST00152	ST00480	ST00088	SW00108	SW00082	ST00056	ST00084	SW00022	SW00064	SW00051	SW00005	ST00026	ST00086	ST00019	SW00087	SW00068	ST00027	SW00153	ST00008	SW00038	SW00032	ST00017	SW00067	SW00259	SW00159	ST00083	ST00041	ST00078	ST00077	SW00244	ST00031	ST00139	ST00035	SW00302	SW00073	ST00207	SW00155	SW00240	ST00159	SW00026	ST00064	SW00056	ST00131	SW00094	SW00268	SW00048	ST00425	SW00028	SW00079	ST00259	SW00023	SW00041	SW00288	SW00027	SW00131	SW00044	SW00031	ST00009	SW00033	SW00057	ST00016	SW00147	SW00168	SW00133	SW00060	ST00015	ST00127	SW00089	SW00078	SW00050	ST00222	SW00006	SW00110	ST00109	SW00021	ST00006	ST00111	ST00042	ST00123	ST00136	SW00098	SW00065	ST00047	SW00040	SW00076	SW00025	ST00232	ST00103	SW00039	ST00095	ST00018	SW00142	ST00091	ST00039	SW00010	ST00384	ST00040
[Thermi]	0	13	3	231	0	153	839	32	265	932	1485	1795	505	793	99	124	36	2	126	118	17	276	144	25	223	109	200	91	3	2	269	0	4	0	4	0	4	1	0	687	12	0	0	0	0	0	0	45	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	64	0	5	0	13	3	9	175	2	1	18	0	10	19	7	0	0	13	0	0	4	1	0	0	2	0	0	0	12	0	0	7	0	53	0	0	42	0	76	52	0	11	4	2	0	0	0	2	2	11	24	2	0	1	0	0	16	668	96	7	4	23	0	5	0	1	0	10	0	0	9	0	641	0	5	5	0	3	0	0	0	1	17	5	3	0	0	201	0	25	0	0	0	87	11	0	18	0	4	26	0	2	22	0	0	0	1	0	6	0	4	2	1	88	9	1	23	0	82	0	6	0	3	55	4	0	1000	206	0	84	1	32	0	192	0	0	1	4	11	2	42	88	6	4	0	0	5	27	0	0	207	92	0	349	0	0	4	0	0	0	32	0	104	1005	3	3	0	20	0	1	2	0	0	0	0	0
Actinobacteria	754	121	611	507	562	264	7254	433	423	407	579	1373	1264	2014	85	338	2589	696	565	754	1014	284	182	837	110	304	1849	557	542	963	91	315	278	150	36	851	74	367	140	372	332	154	61	232	1128	754	97	730	1128	133	105	59	39	213	123	89	1197	0	232	540	43	4767	1836	3083	133	37	424	293	1105	389	4053	359	7661	1589	219	146	257	1317	5941	49	978	741	522	1013	715	617	787	162	5321	3727	636	173	42	171	1211	257	742	270	107	1605	212	820	561	684	507	791	334	90	727	116	1861	299	702	267	493	437	45	162	47	244	321	1985	969	180	1107	556	413	198	374	1321	258	372	226	155	125	2458	298	63	3975	2125	570	608	539	112	185	236	72	75	268	108	85	48	27	216	132	44	106	2213	140	539	100	38	56	92	86	2	430	483	542	86	280	839	27	131	451	1553	335	118	1104	138	181	1059	370	30	119	198	411	172	15	181	3452	514	37	124	157	252	83	200	17	96	650	0	279	107	158	101	53	179	139	85	510	252	8	814	510	176	117	727	91	2647	152	92	24	72	128	689	337	236	36	466	42	122	89	299	49	52	3	1	0	1
Bacteroidetes	52354	36152	75464	84800	52264	62480	91366	122574	86076	28429	38819	154076	27528	29799	9906	77787	320723	220599	84803	37331	92930	15677	28547	2758	59288	8723	38921	54968	36233	110942	1079	48748	49704	17032	23776	62335	75700	77963	23391	13835	47745	17735	67124	115348	21329	35938	66669	75997	49158	17154	7525	7455	64766	42496	40357	50787	98609	4151	42182	37793	11376	272452	12103	57362	15740	16675	74457	67645	55233	60514	25886	9178	14697	34610	70155	12101	26614	124121	851252	2695	69866	64667	63287	27897	51655	8581	192095	5396	7185	59805	30243	153897	45508	22494	67790	35332	56321	16387	24968	153713	100151	84628	39013	20009	24274	49139	61342	31777	15462	36446	53364	14454	45101	9605	20059	124872	26231	42223	4975	18811	57341	72791	34270	42813	79636	50221	92182	20635	15728	19533	64690	10392	11420	31904	11359	48200	9399	2258	4806	12287	24797	31307	65643	29127	69446	11611	13322	33662	16876	1497	9966	937	2851	26965	3828	6592	26548	121066	39557	2418	21392	41742	2291	6647	196	174	26852	56539	33868	16372	15138	15928	9245	13436	36666	15840	34857	60869	274092	41863	69039	33907	50056	35496	19481	76745	8382	105237	19357	88326	14063	55635	3101	23320	7495	2443	7057	7210	1484	4075	12407	1884	47449	68914	25027	33453	16266	22146	50044	14415	105451	7674	2970	68380	51606	34659	19485	12985	10886	24393	2767	7341	2092	13049	682	12666	17705	17093	6306	15281	697	6568	5753	13197	6759	3614	120	66	64	25
Cyanobacteria	2	0	1	33	51	77	5	7	5	43	1	11	41	0	1	28	2	4	0	3	0	154	0	15	1	2	397	4	474	0	2	2	4	3	0	4	0	19	2	0	0	0	0	10	3	7	0	4	121	41	0	0	0	0	0	0	32	0	0	94	0	0	2	1768	1	0	25	3	137	287	45	1	86	0	0	8	2	209	101	18	16	1	8	7	0	8	1	34	44	78	7	0	66	102	0	8	1	70	15	44	4	123	56	19	4	2	0	3	8	24	42	0	519	0	135	362	14	8	0	0	0	147	75	0	1	2	0	85	9	6	0	121	12	0	260	5	119	0	1	0	153	324	201	0	0	16	0	0	54	83	10	0	0	0	1	0	16	5	3	74	152	560	3	173	0	0	138	0	59	0	105	81	63	0	8	1	0	0	19	3	0	0	0	7	0	0	2	573	0	104	1	14	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	8	0	1	262	6	0	1	2	0	0	0	4	33	0	7	0	10	0	3	2	15	0	0	0	0	0	0
Deferribacteres	0	0	0	0	5	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euryarchaeota	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	28	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Firmicutes	71976	40732	94582	81366	53659	103442	157487	83130	117298	93905	116255	193622	96271	64802	18839	196730	349516	44394	93820	54047	73216	46213	57726	23681	80165	15535	81585	67193	52627	78140	13650	30136	91373	38605	26327	90563	76501	58478	18973	40927	54330	22433	30492	162581	57101	61181	77855	67841	71604	33001	12309	18965	81350	34981	32199	31762	156316	15185	23524	36028	11447	271659	57372	196174	65289	7083	149908	67879	85734	153076	73597	25515	68269	94810	49297	28554	38025	143785	935876	7665	53346	123163	28633	50953	249718	62363	222076	17482	36448	160557	73095	110051	20703	34884	188762	73406	52595	87474	28997	122041	133713	53012	91336	69054	33441	89610	95741	38319	36565	44870	77416	36475	71334	17397	56232	72274	16862	52443	2635	15364	88542	137829	86728	51397	57495	41880	50849	55768	24811	57847	34729	17805	15432	22502	30838	11506	59438	3128	113403	79162	51608	88571	71947	35559	63674	24280	15328	48886	42420	5715	8386	15840	4373	31752	7108	6764	12480	59412	45989	16273	22619	20196	4627	22193	1321	801	28710	61002	55341	7232	18681	52055	19158	10598	81130	50424	38402	45143	161650	44406	17059	29813	33241	25458	27002	23985	8844	108286	28946	42157	134054	49122	2991	34468	6092	6158	5976	19698	1264	3043	9393	4593	51620	25173	32211	36359	14426	27767	21584	6172	50268	12622	11030	42219	130588	50593	34589	35571	11621	37132	7613	9028	4806	8510	3131	41568	27997	60891	12625	20924	1893	24945	22030	26031	5402	4273	191	88	111	40
Fusobacteria	1	0	70	29277	39	28	4	17	5	33	6	64	0	5	4	0	2241	0	9	1	1486	16	1	0	7	50	18	80	0	8	26	0	0	0	0	6	12	13675	0	3	9	1	0	1	0	10	0	1	0	0	0	1	0	0	0	4	3	0	0	2	0	8387	2	3	0	1	0	0	10	41	15	280	2	0	51	0	0	25	6	0	7	21	0	3	3	8	0	0	7	7	4	0	0	7	0	0	0	63	0	2	10	1	850	1	3	15	0	0	1	0	0	4	0	1	76	7	0	0	0	2	0	1480	110	0	2	1	1	7	0	0	0	5	0	2	0	0	4	0	470	3	0	14	28	4	0	0	0	0	0	0	2	2	0	0	2	66	0	4	376	0	0	4	4	2	0	0	0	0	114	0	8	680	17	976	0	1	16	19	16	0	0	26140	410	3	2	0	240	23	14	0	2262	5	0	1	2487	33	4	0	41	3	0	0	0	0	0	2	1	13	0	0	0	0	4	4972	3	158	0	1002	0	0	0	0	0	0	1	0	5086	132	2	0	0	1	0	2	157	0	0	0	0	1
Lentisphaerae	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	8	0	4	0	0	0	0	0	12	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	1991	857	4915	4340	2776	1233	6816	2085	10690	2637	2069	17569	2040	3788	1931	6505	30487	10071	5958	2725	3599	1169	1932	237	382	1415	6484	1841	2380	2376	361	540	986	1255	1105	1519	404	2318	61	761	4377	867	2204	550	438	3202	1094	4889	742	676	574	169	30	528	2355	21716	3120	16	127	178	140	9117	737	1926	1418	312	996	813	6902	4987	1854	1209	436	2181	3481	676	514	21962	3268	194	2254	977	1299	944	46788	607	3824	57	65	2898	1239	6355	1329	745	4803	419	280	1179	1625	367	4353	5645	3480	3489	2645	3733	1750	253	205	293	902	1480	1568	846	632	4676	1828	1578	8	13	1045	6682	10197	495	3664	1931	1904	817	568	112	9094	701	432	1868	1478	714	1660	76	373	512	1343	1971	1900	497	1305	694	477	680	344	68	338	414	61	1286	54	244	520	30643	1317	329	445	4728	410	989	9	12	853	527	1646	140	282	2376	1011	640	168	3155	861	216	79211	988	46	3996	2986	1277	1131	6833	1221	3775	1779	1565	1865	17104	254	595	227	212	250	8829	94	538	102	140	1490	1551	1955	1303	121	769	1419	410	2727	141	110	2299	2811	7139	1359	691	768	777	146	157	143	173	236	302	2260	1977	657	2408	24	523	145	464	723	16	5	3	4	0
