ST00070	SW00012	SW00053	SW00097	ST00069	SW00177	SW00017	SW00049	SW00046	SW00169	SW00099	SW00047	SW00066	SW00144	SW00075	SW00174	SW00062	ST00045	SW00179	SW00105	SW00014	SW00054	SW00093	ST00054	SW00120	SW00091	SW00024A	SW00011	ST00150	ST00172	SW00036	ST00141	ST00193	ST00100	SW00072	ST00065	SW00262	ST00050	ST00060	SW00020	SW00085	ST00067	ST00059	ST00205	SW00055	ST00162	ST00151	SW00001	ST00132	ST00143	ST00051	ST00062	ST00005	SW00124	ST00105	ST00044	SW00030	ST00138	ST00101	ST00183	ST00001	SW00248	ST00234	ST00076	SW00052	ST00030	ST00226	ST00223	ST00383	SW00265	ST00420	SW00035	ST00057	ST00253	SW00042	ST00178	SW00063	SW00123	ST00412	ST00228	ST00028	SW00101	ST00184	ST00023	ST00167	ST00116	ST00082	ST00411	ST00379	ST00092	ST00063	ST00243	SW00247	SW00002	SW00095	ST00163	ST00465	SW00069	ST00112	ST00093	SW00070	ST00046	SW00074	SW00043	ST00053	SW00013	SW00009	SW00243	ST00021	ST00382	ST00248	SW00024B	ST00166	SW00004	SW00003	ST00110	ST00081	ST00085	SW00173	SW00086	SW00045	SW00061	SW00250	SW00019	SW00018	ST00387	SW00103	ST00094	ST00124	ST00266	SW00029	ST00003	ST00194	SW00007	ST00142	SW00137	ST00386	ST00075	ST00231	SW00156	ST00161	ST00152	ST00480	ST00088	SW00108	SW00082	ST00056	SW00022	SW00064	SW00005	ST00026	ST00086	ST00019	SW00087	SW00068	ST00027	SW00153	ST00008	SW00032	SW00259	SW00159	ST00083	ST00041	ST00078	ST00077	SW00244	ST00031	ST00139	ST00035	SW00302	SW00073	ST00207	SW00155	SW00240	ST00159	SW00026	ST00064	SW00056	ST00131	SW00094	SW00268	SW00048	ST00425	SW00028	SW00079	SW00023	SW00041	SW00288	SW00027	SW00131	ST00009	SW00057	ST00016	SW00147	SW00168	SW00133	SW00060	ST00015	ST00127	SW00089	SW00078	SW00050	ST00222	SW00006	SW00110	ST00109	SW00021	ST00006	ST00111	ST00042	ST00123	SW00098	ST00047	SW00040	SW00076	SW00025	ST00232	SW00039	ST00095	ST00018	SW00142
[Thermi]	0	2	0	12	0	4	24	1	12	91	87	59	36	82	36	5	0	0	4	12	1	41	17	9	17	40	15	9	1	0	166	0	0	0	1	0	0	0	0	149	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	53	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	6	0	0	1	0	7	8	0	1	0	0	0	0	0	0	0	4	2	0	0	0	0	1	34	5	1	0	5	0	1	0	0	0	0	0	0	3	0	75	0	1	0	0	0	0	0	0	5	0	1	0	108	2	0	0	0	1	2	0	2	0	7	5	0	0	0	1	0	3	0	2	0	0	7	0	0	1	0	13	0	1	0	1	4	1	0	64	25	15	1	28	0	52	0	0	0	10	13	1	1	0	0	2	9	0	0	12	11	0	53	0	0	4	0	0	0	20	129	1	1	8	0	1	2
Actinobacteria	56	21	31	27	46	19	179	20	15	36	27	33	99	190	37	11	41	21	32	70	58	38	22	224	11	116	116	47	57	48	51	38	15	24	5	49	3	20	26	71	27	35	14	9	124	83	5	43	85	23	49	20	3	21	17	7	56	0	42	77	22	72	240	116	19	17	22	17	70	10	377	96	721	116	17	32	29	50	30	43	68	35	57	121	15	93	15	76	1004	179	66	7	6	32	45	15	63	28	11	61	13	41	31	73	96	53	22	11	128	15	154	49	54	92	63	21	11	14	72	18	77	65	24	83	75	24	22	92	158	25	98	92	21	29	401	41	318	231	58	47	41	19	19	61	23	13	46	43	30	41	118	36	25	85	12	242	25	4	28	68	36	60	37	70	114	14	52	37	197	42	10	22	18	17	114	33	6	23	18	170	5	4	12	236	32	23	92	209	64	50	299	41	9	23	8	17	39	20	43	34	90	7	72	31	19	16	138	33	396	143	56	31	131	61	26	21	120	42	25	69	35
Bacteroidetes	4049	4593	4328	4012	4648	3628	2701	5867	4063	2221	2393	4138	2040	2976	3200	2712	4281	8066	4549	3498	5324	2464	3192	743	4139	3271	2258	4293	3698	5787	691	6119	3532	2879	4637	3834	4987	5031	5425	2514	4257	4220	6570	4084	2583	3323	4520	5008	4032	3293	3535	2707	4369	5407	5275	4855	3807	2063	6174	4878	4733	4781	1608	2177	1896	6647	3195	4949	3639	2752	2448	2327	1442	2611	5646	2902	3916	4135	4715	2428	5540	3343	6796	3414	1476	1170	4476	2273	1461	2601	2910	5686	6626	3852	2527	3248	5125	1564	4580	5482	4193	5869	2858	2060	4003	3342	3860	4431	2959	4314	3932	2639	3620	3375	2543	6164	5832	4433	5313	3882	2975	2530	4496	5580	5208	6284	2524	3792	2405	5826	2695	3974	5555	2446	7467	1203	368	1320	3045	2423	4655	4482	5143	3025	4513	3976	2784	5319	525	4445	3367	4769	6693	5216	4435	1153	4402	6159	2109	4529	4831	3693	6800	4400	2132	3114	5132	3044	2240	4641	5540	5185	4749	7976	3432	5533	5690	3823	7016	3331	4767	3869	6583	860	4425	3995	4529	2063	5233	1858	5423	4700	7189	4187	4691	5188	4377	6813	6747	6543	2977	2092	5714	2794	3642	3334	2283	4571	3482	2513	4368	5829	2216	2944	2073	2943	3893	1985	1933	3180	4884
Cyanobacteria	0	0	0	0	3	6	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	25	0	4	0	0	18	0	60	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	17	0	0	2	63	0	0	1	0	8	14	1	0	10	0	0	0	0	2	0	15	2	0	1	2	0	1	0	15	4	2	0	0	8	16	0	0	0	14	1	0	0	6	1	2	1	0	0	0	1	4	3	0	44	0	16	24	3	1	0	0	7	6	0	0	0	0	11	3	1	0	26	5	0	56	0	15	0	0	14	29	11	0	0	4	0	0	9	6	0	0	1	0	3	0	1	41	29	91	53	13	0	7	0	25	14	19	0	0	0	0	0	1	0	0	0	0	0	0	0	1	30	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	46	1	0	0	2	0	0	5	0	0	0	3	0	0	9	0
Deferribacteres	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	5661	5179	5320	3962	4782	6094	4454	3934	5389	7333	7132	5212	7073	6238	6070	6747	4530	1554	4989	4992	4139	7131	6491	6254	5701	5863	4707	5217	5376	4014	8657	3717	6372	6549	5092	5507	4923	3848	4358	7099	4926	5497	3049	5736	6766	5848	5365	4396	5735	6409	5865	6964	5286	4457	4352	3010	5957	7585	3553	4839	4798	4745	7540	7370	7804	2874	6648	4910	5546	6907	6702	6400	6386	7002	3951	6868	5410	4801	5068	6919	4174	6543	2975	6181	7128	8333	5321	7425	7211	7035	6833	3917	3101	5939	6844	6573	4688	8157	5093	4309	5569	3602	6718	7344	5447	5924	5961	5389	6758	5183	5647	6850	5892	5928	6893	3527	3655	5340	4340	5966	5719	6559	5417	4046	4353	3560	6958	5871	7189	3211	4639	5516	3961	6722	1797	7815	9176	8291	6455	6890	5098	5409	4719	6122	5245	5873	7036	4405	9014	5197	6166	4920	3128	2585	5304	7641	4717	3001	7042	4797	5057	5995	3049	5351	7165	6346	4149	6686	7059	5146	4275	3130	4935	1867	3054	3708	4085	5406	2272	3514	4964	5732	3254	8359	3904	5787	3701	5230	4426	5398	4146	5033	2617	5357	5084	4667	5414	2959	2947	3244	4845	7801	3514	6869	5361	6078	6485	4859	5178	6942	5444	3764	7511	4643	7456	5893	5378	7456	7357	6133	3868
Fusobacteria	0	0	1	1379	3	2	0	0	1	4	1	3	0	0	2	0	30	0	1	0	103	3	0	0	0	17	1	5	0	2	14	0	0	0	0	0	0	912	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	1	0	1	0	0	0	1	0	72	0	0	4	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	6	0	1	0	0	57	0	1	2	0	0	1	0	0	1	0	1	7	2	0	0	0	0	56	16	0	0	0	0	0	0	0	0	3	0	0	0	0	1	42	1	0	2	2	0	0	0	0	0	0	1	1	0	2	55	0	0	44	0	0	2	1	0	0	18	0	2	82	7	405	0	0	0	1	0	0	0	2646	40	0	1	0	98	1	1	0	142	0	0	1500	29	3	0	0	0	0	0	1	0	2	0	0	0	0	2	419	1	12	0	173	0	0	0	0	0	0	856	16	1	0	0	0	1	111
Lentisphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	149	108	273	218	267	71	206	99	485	201	130	474	153	353	607	226	423	353	363	250	211	182	217	72	35	546	377	135	249	122	211	64	62	233	219	101	18	148	14	124	388	222	237	18	49	294	73	336	63	119	263	69	1	70	307	2110	131	10	21	28	54	165	101	80	169	116	45	75	487	253	179	315	39	136	252	175	75	707	22	179	184	60	149	105	1365	74	86	23	10	140	111	217	213	131	156	46	26	127	275	11	191	429	257	387	438	241	112	36	39	37	73	291	136	311	82	252	459	148	5	72	264	756	43	282	206	123	102	130	20	851	176	167	332	329	129	212	33	53	156	153	134	69	102	175	173	97	54	180	229	202	46	173	126	1377	155	150	89	719	296	144	43	197	62	84	278	359	238	17	428	117	21	1619	114	3	398	295	187	212	605	451	170	364	121	113	1408	84	146	179	180	2471	43	153	176	299	181	48	116	198	176	162	59	72	176	144	809	241	126	329	118	132	96	77	56	349	268	318	574	170	46	118	521
