Sample ID	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00069	ST00070	ST00075	ST00076	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00086	ST00088	ST00091	ST00092	ST00093	ST00094	ST00095	ST00100	ST00101	ST00103	ST00105	ST00109	ST00110	ST00111	ST00112	ST00116	ST00123	ST00124	ST00127	ST00131	ST00132	ST00136	ST00138	ST00139	ST00141	ST00142	ST00143	ST00146	ST00150	ST00151	ST00152	ST00159	ST00161	ST00162	ST00163	ST00166	ST00167	ST00172	ST00178	ST00183	ST00184	ST00193	ST00194	ST00205	ST00207	ST00222	ST00223	ST00226	ST00227	ST00228	ST00231	ST00232	ST00234	ST00243	ST00248	ST00253	ST00259	ST00266	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00411	ST00412	ST00420	ST00425	ST00465	ST00480	SW00001	SW00002	SW00003	SW00004	SW00005	SW00006	SW00007	SW00009	SW00010	SW00011	SW00012	SW00013	SW00014	SW00017	SW00018	SW00019	SW00020	SW00021	SW00022	SW00023	SW00024A	SW00024B	SW00025	SW00026	SW00027	SW00028	SW00029	SW00030	SW00031	SW00032	SW00033	SW00035	SW00036	SW00038	SW00039	SW00040	SW00041	SW00042	SW00043	SW00044	SW00045	SW00046	SW00047	SW00048	SW00049	SW00050	SW00051	SW00052	SW00053	SW00054	SW00055	SW00056	SW00057	SW00060	SW00061	SW00062	SW00063	SW00064	SW00065	SW00066	SW00067	SW00068	SW00069	SW00070	SW00072	SW00073	SW00074	SW00075	SW00076	SW00078	SW00079	SW00082	SW00085	SW00086	SW00087	SW00089	SW00091	SW00093	SW00094	SW00095	SW00097	SW00098	SW00099	SW00101	SW00103	SW00105	SW00108	SW00110	SW00120	SW00123	SW00124	SW00131	SW00133	SW00137	SW00142	SW00144	SW00147	SW00153	SW00155	SW00156	SW00159	SW00168	SW00169	SW00173	SW00174	SW00177	SW00179	SW00240	SW00243	SW00244	SW00247	SW00248	SW00250	SW00259	SW00262	SW00265	SW00268	SW00288	SW00302
Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	45	487	731	92	56	938	140	107	134	294	139	1313	2172	180	1060	991	44	127	2276	7	1	105	276	87	681	1600	1364	369	116	711	882	368	8500	61	158	142	636	33	860	161	1704	2146	7468	5988	1652	750	150	1576	1066	408	554	82	462	128	7260	3164	417	696	381	235	84	262	552	2269	5900	119	2190	130	2646	192	285	1107	54	640	898	644	4768	558	98	2494	780	107	1004	826	1472	498	1566	1446	1490	149	601	515	1799	147	478	2226	801	566	2714	100	48	1045	501	3590	460	2048	1556	81	512	5166	342	1364	2	22614	410	166	11296	5420	204	903	212	721	228	1090	276	425	505	289	657	0	843	123	1053	1575	8684	575	1101	363	790	106	129	3486	312	44	397	82	3547	516	1195	94	186	0	397	125	110	360	342	161	227	918	34	4218	422	3224	30	892	18	56	161	2127	950	2636	128	818	280	1920	6508	622	84	254	4994	17	280	1066	224	76	314	1104	80	500	254	2222	499	704	541	6744	510	620	170	830	2530	496	164	719	929	308	851	434	356	246	3121	424	426	109	974	302	2016	185	105	270	966	526	506	617	486	1542	590	1082	190	413	57	41	35023	174	435	253	710	180	253	357
Bacteroidetes	5846	11658	56671	10546	40991	12581	49726	69279	200	12595	27201	15531	27655	3792	2469	71004	16575	13585	15047	129	34	16527	2749	50502	218937	167139	25096	78279	7640	24333	2794	16180	23035	65046	23180	7180	29957	33293	62409	17995	107032	102310	24384	112734	31338	30010	51226	380658	64236	2926	82478	12816	22861	7126	117251	299356	15450	11392	16474	41822	1358	79155	33787	490023	47446	24565	16938	7333	38056	28810	71184	49183	4006	9036	72393	95016	92989	31562	2240	56524	64917	28289	32908	62670	66696	69570	88296	99917	102973	10743	36481	60908	48006	31116	225434	544702	66111	132025	137300	9488	2752	23870	14434	20420	144178	51918	30668	6500	127888	7613	35172	53943	62	9610	89132	5522	824020	24820	82416	54676	67255	59215	22361	20861	9179	25932	35621	11238	58741	80	55563	36253	49303	92735	99759	38554	79728	13625	13613	9804	23151	70812	14300	6565	46997	7240	14541	16995	97239	4177	6814	1899	11247	1137	4568	13182	18197	7567	67118	20338	2942	153296	83818	292810	35196	242542	5780	5718	15597	149077	29976	41388	20492	93616	22011	67271	632073	55151	1996	1336	58334	189	78701	31530	98491	46562	120280	73138	9245	33486	8561	110768	33003	95360	41969	252186	102039	16896	26793	19629	130092	82978	25488	38235	59613	19846	38879	25966	69360	115807	222641	84098	14270	16084	19500	13628	27286	21324	22233	69818	31079	51746	32183	27373	36064	153538	126147	168022	66861	31100	8994	30688	533649	41052	28376	73942	58950	98311	2975	33800
Chloroflexi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Cyanobacteria/Chloroplast	0	12	7	0	0	0	3	0	0	15	0	2	7	1	0	16	0	0	1	0	0	0	2	0	4	34	10	18	0	0	15	53	0	0	0	0	7	10	4	0	88	4	0	3408	94	2	24	2	48	8	14	0	30	0	2	86	8	4	3	0	0	0	22	1265	2	15	14	0	12	0	2	121	0	26	18	4	10	2	0	38	0	0	0	148	10	18	0	0	1	8	91	7	3	0	22	38	8	0	44	0	2	3	10	0	0	41	0	0	0	40	23	52	0	2	0	0	104	16	2	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	1	2	0	4	0	0	0	0	0	2	3	22	0	8	0	0	1	2	4	4	0	0	0	0	2	2	0	8	0	0	2	0	4	0	0	2	1	10	0	26	0	0	0	0	0	4	0	4	0	31	0	1	0	0	3	0	4	6	6	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	128	0	0	4	0	0	0	0	61	0	1	1	0	0
Deferribacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus-Thermus	0	0	11	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	4	0	2	0	0	0	0	0	25	3	2	0	0	0	0	0	0	0	0	0	10	6	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	0	0	2	0	2	0	0	1	0	0	8	0	0	0	0	8	0	0	0	0	0	14	4	8	2	0	0	0	4	0	0	18	0	0	6	0	0	0	2	0	0	0	1	0	0	2	0	13	0	10	0	0	7	9	0	0	0	42	0	24	11	25	199	9	4	0	90	12	11	16	824	23	3	673	345	0	80	204	2	3	81	0	987	9	0	0	27	4	170	266	8	36	103	1	19	51	0	1300	252	3448	8	60	0	0	61	6	542	0	6	20	3	180	72	12	382	64	954	2	22	102	34	8	164	138	88	1914	25	394	5	28	12	172	4	204	140	4	0	215	0	1417	13	3	112	30	178	410	38	0	358	6	1234	4	768	41	18	2	3	0	84	881	0	246	308	232	21	2	6	12	4	7	22	4	3	55	33	1
Fibrobacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	12453	15220	89530	12171	19728	9426	21476	25108	1275	27260	12427	35659	49984	7214	16532	53966	7766	10652	49133	209	49	7341	7568	31558	44297	106279	81578	58814	12879	33196	23924	42044	72028	31541	19320	19179	72398	25450	98315	22726	105730	141807	155525	378257	102223	36664	32891	444685	110146	11268	101142	13152	51773	8474	316216	248185	25236	43802	38920	23963	3702	63838	68411	358505	77957	28807	123084	8983	118313	12420	23150	71679	9838	33742	163483	59398	24576	65458	3221	103338	74529	34377	29251	67823	122647	145326	145761	490267	73961	27505	35379	27532	86436	22270	324429	319620	41041	133927	293112	5442	7858	50080	19797	115046	105298	75202	91822	5999	69113	35442	41881	82561	112	207553	48496	17094	908296	69903	41175	51524	62130	70646	34378	56795	18420	31856	132041	31778	95500	102	69744	41115	92260	74172	228207	42563	57631	40731	38223	8228	34517	90777	36562	13897	35295	6065	134073	19467	155365	3132	22673	4593	25714	13586	9199	49423	33737	6187	50443	68735	2502	301117	116631	382259	57203	165136	21523	8355	65900	187316	90321	116203	28360	101230	27878	170052	694471	79763	30694	6202	192062	798	90105	171722	133141	52166	91176	178562	17496	119453	16472	99002	46930	110268	85290	126695	48494	30992	55719	20940	384298	79291	18193	114150	117103	53205	61229	29720	100235	158308	295071	69636	39193	14359	120918	11325	62668	31081	25132	88123	86972	58465	34764	90320	32488	396011	212505	185864	16392	36894	18649	20333	514538	48835	28133	74339	147455	105504	7773	37492
