sample	counts	otuCounts	otuPercent	genus counts	genus percents	family counts	family percent	order counts	order percent	class counts	class percent	phylum counts	phylum percent
ST00001	18522	17246	0.931108952	12469	0.723008234	16133	0.935463296	17246	1	17246	1	17246	1
ST00003	28145	24577	0.873227927	13461	0.547707206	23307	0.94832567	24574	0.999877935	24577	1	24577	1
ST00005	148095	140334	0.94759445	106150	0.756409708	133320	0.95001924	140320	0.999900238	140334	1	140334	1
ST00006	23681	22751	0.96072801	16245	0.714034548	21860	0.960836886	22751	1	22751	1	22751	1
ST00008	66322	64257	0.968864027	49131	0.764601522	62017	0.965139985	64254	0.999953312	64257	1	64257	1
ST00009	23112	22283	0.964131187	16531	0.741865996	21636	0.970964412	22282	0.999955123	22283	1	22283	1
ST00015	72830	71625	0.98345462	63245	0.883001745	70411	0.983050611	71618	0.999902269	71625	1	71625	1
ST00016	96166	94120	0.978724289	76329	0.810975351	91108	0.9679983	94111	0.999904377	94120	1	94120	1
ST00017	1653	1582	0.957047792	753	0.475979772	1476	0.932996207	1582	1	1582	1	1582	1
ST00018	41230	39895	0.967620665	28083	0.703922797	37370	0.936708861	39875	0.999498684	39895	1	39895	1
ST00019	40467	39589	0.978303309	31354	0.791987673	38629	0.97575084	39587	0.999949481	39589	1	39589	1
ST00021	53418	50856	0.952038639	25767	0.50666588	48501	0.95369278	50855	0.999980337	50856	1	50856	1
ST00023	81169	79418	0.978427725	49638	0.625022035	74065	0.932597144	79392	0.999672618	79418	1	79418	1
ST00026	11344	10929	0.963416784	6521	0.596669412	9513	0.870436453	10928	0.9999085	10929	1	10929	1
ST00027	21435	20174	0.941170982	8265	0.409685734	16909	0.838158025	20170	0.999801725	20174	1	20174	1
ST00028	128652	124553	0.968138855	99190	0.796367811	119870	0.962401548	124549	0.999967885	124553	1	124553	1
ST00030	24738	23652	0.956099927	20450	0.864620328	22715	0.9603839	23651	0.99995772	23652	1	23652	1
ST00031	26049	25201	0.967445967	18864	0.748541725	23711	0.940875362	25201	1	25201	1	25201	1
ST00035	70086	69064	0.985417915	35196	0.509614271	62049	0.898427545	69052	0.999826248	69064	1	69064	1
ST00039	355	330	0.929577465	268	0.812121212	317	0.960606061	330	1	330	1	330	1
ST00040	85	80	0.941176471	55	0.6875	76	0.95	80	1	80	1	80	1
ST00041	24147	23077	0.955688077	18916	0.819690601	22665	0.982146726	23074	0.99987	23077	1	23077	1
ST00042	10852	10602	0.976962772	5901	0.556593096	9408	0.88737974	10579	0.997830598	10602	1	10602	1
ST00044	103953	102277	0.983877329	75788	0.741007265	98240	0.96052876	102276	0.999990223	102277	1	102277	1
ST00045	274030	269570	0.98372441	250317	0.928578848	265986	0.986704752	269556	0.999948065	269570	1	269570	1
ST00046	286802	279384	0.974135466	219888	0.787045786	264496	0.946711336	279362	0.999921255	279384	1	279384	1
ST00047	109502	101862	0.930229585	66042	0.648347765	93668	0.919557833	101842	0.999803656	101862	1	101862	1
ST00050	154016	144761	0.939908841	104962	0.725070979	136993	0.946339138	144759	0.999986184	144761	1	144761	1
ST00051	21522	20225	0.939736084	11571	0.572113721	18235	0.901606922	20225	1	20225	1	20225	1
ST00053	61120	59692	0.976636126	40581	0.679839845	55296	0.92635529	59690	0.999966495	59692	1	59692	1
ST00054	37646	36741	0.975960261	22054	0.600255845	33558	0.913366539	36688	0.99855747	36741	1	36741	1
ST00056	59429	58460	0.983694829	34694	0.593465618	47239	0.808056791	58457	0.999948683	58460	1	58460	1
ST00057	105755	81328	0.769022741	30488	0.374877041	69959	0.860208046	81283	0.999446685	81328	1	81328	1
ST00059	98927	96667	0.977154872	78198	0.808942038	92470	0.956582908	96665	0.99997931	96667	1	96667	1
ST00060	42967	40655	0.946191263	34353	0.844988316	38313	0.94239331	40653	0.999950806	40655	1	40655	1
ST00062	27462	25834	0.940718083	13370	0.517535031	22081	0.85472633	25831	0.999883874	25834	1	25834	1
ST00063	105519	102529	0.971663871	56199	0.548127847	93819	0.915048425	102529	1	102529	1	102529	1
ST00064	60145	58816	0.9779034	46036	0.782712187	55591	0.945167982	58813	0.999948993	58816	1	58816	1
ST00065	163811	152758	0.932525899	106250	0.695544587	142766	0.93458935	152744	0.999908352	152758	1	152758	1
ST00067	41935	41012	0.977989746	28563	0.696454696	38749	0.944821028	41012	1	41012	1	41012	1
ST00069	222092	207496	0.934279488	118946	0.573244785	188644	0.909145237	207482	0.999932529	207496	1	207496	1
ST00070	251396	241374	0.960134608	198318	0.821621219	231600	0.959506823	241366	0.999966856	241374	1	241374	1
ST00075	189054	185296	0.980122082	141470	0.763481133	177880	0.959977549	185244	0.999719368	185296	1	185296	1
ST00076	521162	478358	0.917868148	285674	0.597197078	426224	0.891014679	478348	0.999979095	478358	1	478358	1
ST00077	144318	140038	0.97034327	86556	0.618089376	129470	0.924534769	139980	0.999585827	140038	1	140038	1
ST00078	68796	67320	0.978545264	42648	0.633511586	62946	0.935026738	67294	0.999613785	67320	1	67320	1
ST00081	88428	87056	0.984484552	66804	0.767368131	84396	0.969444955	87034	0.999747289	87056	1	87056	1
ST00082	837208	814668	0.97307718	549148	0.67407582	757820	0.930219427	814652	0.99998036	814668	1	814668	1
ST00083	180240	173348	0.961762095	107210	0.618466899	158308	0.913238111	173336	0.999930775	173348	1	173348	1
ST00084	15038	14744	0.980449528	7856	0.532826913	13380	0.907487792	14740	0.999728703	14744	1	14744	1
ST00085	190064	185970	0.978459887	123394	0.663515621	177818	0.956164973	185954	0.999913965	185970	1	185970	1
ST00086	26852	26144	0.973633249	19474	0.744874541	25076	0.959149327	26144	1	26144	1	26144	1
ST00088	76840	70656	0.919521083	36024	0.509850543	63416	0.897531703	70638	0.999745245	70656	1	70656	1
ST00091	15830	14968	0.945546431	10992	0.734366649	14082	0.940807055	14968	1	14968	1	14968	1
ST00092	447770	439058	0.980543583	291236	0.663320108	406460	0.925754684	438962	0.99978135	439058	1	439058	1
ST00093	552338	542488	0.982166717	397654	0.733018979	526078	0.969750483	542436	0.999904145	542488	1	542488	1
ST00094	42011	39767	0.946585418	23583	0.593029396	37413	0.94080519	39766	0.999974854	39767	1	39767	1
ST00095	59300	55322	0.932917369	22460	0.405986768	43246	0.781714327	55322	1	55322	1	55322	1
ST00100	58017	53619	0.924194633	27988	0.521979149	48770	0.909565639	53614	0.999906749	53619	1	53619	1
ST00101	67066	64488	0.961560254	56117	0.870192904	61314	0.950781541	64487	0.999984493	64488	1	64488	1
ST00103	5544	5426	0.978715729	3452	0.636196093	4940	0.910431257	5426	1	5426	1	5426	1
ST00105	147984	145844	0.985538977	118438	0.812086887	142580	0.977619923	145842	0.999986287	145844	1	145844	1
ST00109	108652	103942	0.956650591	57282	0.551095803	96034	0.923919109	103940	0.999980758	103942	1	103942	1
ST00111	139806	127038	0.908673447	69768	0.549190006	113296	0.891827642	127016	0.999826823	127038	1	127038	1
ST00112	55324	52562	0.950075916	33598	0.639207032	48629	0.92517408	52562	1	52562	1	52562	1
ST00116	147308	136340	0.925543759	52620	0.385946897	115886	0.849977996	136302	0.999721285	136340	1	136340	1
ST00123	16684	16384	0.982018701	11639	0.710388184	15721	0.959533691	16382	0.99987793	16384	1	16384	1
ST00124	159924	153710	0.961144043	94474	0.614624943	147042	0.956619608	153662	0.999687724	153710	1	153710	1
ST00127	42396	41070	0.968723464	30394	0.740053567	39472	0.961090821	41070	1	41070	1	41070	1
ST00131	101324	98014	0.967332517	83772	0.854694227	95320	0.972514131	98009	0.999948987	98014	1	98014	1
ST00132	123269	120374	0.976514777	80951	0.672495722	113002	0.938757539	120374	1	120374	1	120374	1
ST00136	14890	13822	0.928274009	7378	0.533786717	12426	0.899001592	13818	0.999710606	13822	1	13822	1
ST00138	44208	41570	0.940327543	20542	0.494154438	38754	0.932258841	41570	1	41570	1	41570	1
ST00139	238788	229272	0.960148751	134114	0.58495586	214872	0.937192505	229224	0.999790642	229272	1	229272	1
ST00141	156622	148508	0.94819374	108424	0.730088615	137260	0.924259973	148508	1	148508	1	148508	1
