OTUID	Domain	Phylum	Class	Order	Family	Genus	Species
New.CleanUp.ReferenceOTU14941	Bacteria	Firmicutes	Clostridia	Clostridiales	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU13267	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU14944	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU59971	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned
New.CleanUp.ReferenceOTU28729	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU39296	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU40381	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU59796	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU37159	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU28720	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Unassigned
New.CleanUp.ReferenceOTU28723	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Unassigned
New.CleanUp.ReferenceOTU40388	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU26824	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	Unassigned
291195	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned
New.CleanUp.ReferenceOTU39572	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Unassigned
New.CleanUp.ReferenceOTU26829	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Unassigned
New.CleanUp.ReferenceOTU55725	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU40742	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unassigned	Unassigned
264572	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU51467	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU13084	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned
New.CleanUp.ReferenceOTU3164	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Unassigned
New.CleanUp.ReferenceOTU61373	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned
New.CleanUp.ReferenceOTU13080	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU13081	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU27323	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned
New.CleanUp.ReferenceOTU47197	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned
New.ReferenceOTU1332	Bacteria	Tenericutes	Mollicutes	RF39	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU27444	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.ReferenceOTU1330	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned
New.ReferenceOTU1331	Bacteria	Firmicutes	Clostridia	Clostridiales	Unassigned	Unassigned	Unassigned
New.ReferenceOTU1336	Bacteria	Firmicutes	Clostridia	Clostridiales	Unassigned	Unassigned	Unassigned
New.ReferenceOTU1337	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
New.ReferenceOTU1334	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.ReferenceOTU1335	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU52375	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Unassigned
New.ReferenceOTU1338	Bacteria	Firmicutes	Clostridia	Clostridiales	Unassigned	Unassigned	Unassigned
New.ReferenceOTU1339	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii
New.CleanUp.ReferenceOTU13883	Bacteria	Firmicutes	Clostridia	Clostridiales	Unassigned	Unassigned	Unassigned
184285	Bacteria	Firmicutes	Clostridia	Clostridiales	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU58877	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU58874	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
528596	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
24546	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Unassigned
New.ReferenceOTU2839	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unassigned	Unassigned
New.ReferenceOTU2528	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.ReferenceOTU2529	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.ReferenceOTU2834	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	Unassigned
New.ReferenceOTU2527	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Unassigned
New.ReferenceOTU2524	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	caccae
New.ReferenceOTU2525	Bacteria	Firmicutes	Clostridia	Clostridiales	[Mogibacteriaceae]	Unassigned	Unassigned
192936	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii
New.ReferenceOTU2523	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Unassigned	Unassigned
New.ReferenceOTU2520	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned
New.ReferenceOTU2521	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU61308	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU12137	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned
New.CleanUp.ReferenceOTU63586	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unassigned	Unassigned
4308496	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Unassigned
New.CleanUp.ReferenceOTU61653	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU12681	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU509	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU17419	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU12685	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Unassigned
New.CleanUp.ReferenceOTU61307	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
175754	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
524841	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU26975	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU55939	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	caccae
179472	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU41389	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU25623	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Unassigned
524848	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU41383	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU26973	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU49580	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU49581	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	Unassigned
New.CleanUp.ReferenceOTU15301	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU27665	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
New.CleanUp.ReferenceOTU15306	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Unassigned	Unassigned
New.CleanUp.ReferenceOTU15305	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned
