"shannonDiversity"	"simpsonDiversity"	"invSimpsonDiversity"	"richness"	"evenness"
"ST00070"	1.6612412668797	0.7233804	3.61507282925722	25	0.516093616922212
"SW00012"	1.66170671743817	0.728211755573759	3.67933499887404	25	0.516238217268356
"SW00053"	1.66824922998492	0.72195754	3.5965729838529	27	0.506168629640762
"SW00097"	1.94036525902324	0.78965334	4.75405694580556	27	0.588732190915631
"ST00069"	2.13267121877236	0.83847694	6.19106646444167	37	0.590617474660519
"SW00177"	1.85007402064371	0.77277498	4.40092380671812	35	0.520363685537069
"SW00017"	2.18464094549715	0.83563336	6.08395961613622	34	0.619517184997682
"SW00049"	2.06637599858296	0.81679542	5.45837882437219	33	0.590982848530232
"SW00046"	1.89142698838482	0.78590632	4.67085249784113	28	0.567620319403916
"SW00169"	1.92525247098355	0.77476104	4.4397292546547	46	0.50285526159463
"SW00099"	1.88792548076128	0.77081322	4.36325341278411	39	0.515325157079251
"SW00047"	1.80290625146231	0.76028574	4.17163334379857	47	0.468269385480582
"SW00066"	2.28072996460912	0.86553524	7.43689275911399	39	0.622544448520086
"SW00144"	1.99750597633857	0.79128984	4.79133358912666	32	0.576358393241945
"SW00075"	2.3291787035604	0.86444376	7.37701193246434	39	0.635768939775054
"SW00174"	1.94021502966012	0.80112318	5.02823808224608	30	0.57045058311551
"SW00062"	2.01929778808566	0.77219888	4.38979404491075	30	0.593702029459647
"ST00045"	0.861541319732032	0.36791854	1.58207456361716	17	0.304086284761949
"SW00179"	1.81346549092365	0.7563755	4.10467748522829	31	0.528093258051479
"SW00105"	2.15711926443917	0.8288523	5.84290644864056	34	0.611712628184542
"SW00014"	1.54731848421873	0.66805798	3.01257430439207	26	0.474914867058652
"SW00054"	2.19451022681784	0.84351046	6.39020346024405	49	0.563877583937576
"SW00093"	1.74547839095616	0.77409824	4.42670300576675	30	0.513195264810874
"ST00054"	2.05451148886822	0.83090908	5.91397811307668	31	0.59828746192904
"SW00120"	1.978859720423	0.80200682	5.0506790183379	40	0.536439248025881
"SW00091"	2.42956375762432	0.87127354	7.76841062824224	36	0.677982675506956
"SW00024A"	2.51553621135033	0.86388402	7.34667597441535	30	0.739603124744556
"SW00011"	1.69113267442018	0.7363394	3.79275477640573	30	0.497216857668438
"ST00150"	2.19054278289976	0.85244814	6.77727817189156	37	0.606644303718235
"ST00172"	1.71180959237076	0.7332479	3.74879897852725	24	0.538634549240264
"SW00036"	1.80583711466489	0.67026938	3.03277869674342	39	0.492918446335593
"ST00141"	1.76473072419234	0.74388636	3.90451676060674	24	0.555286605702058
"ST00193"	1.63317980787238	0.765486629671068	4.26414919796421	20	0.545168813077829
"ST00100"	1.84881524850977	0.78699962	4.69482730500293	28	0.554832466874179
"SW00072"	1.47512167773448	0.68057102	3.13058633565433	29	0.438073086599109
"ST00065"	1.9809862729518	0.82854886	5.83256547608841	26	0.608019513797088
"SW00262"	1.61720996915078	0.7272192	3.66594716343672	22	0.523192416006365
"ST00050"	1.95341738144489	0.80112882	5.02838068341526	28	0.586223737312626
"ST00060"	1.42209059122217	0.6559642	2.9066742472731	22	0.460068282037705
"SW00020"	1.71818582218715	0.73411496	3.76102393726251	31	0.500347182407382
"SW00085"	2.0203343637161	0.80912182	5.2389434978896	26	0.620096531867338
"ST00067"	1.70294706147315	0.74728858	3.95708274679474	29	0.505731348670958
"ST00059"	1.64813393467112	0.66800742	3.01211551173824	23	0.525637689362704
"ST00205"	1.4876626566793	0.72415904	3.62527740622712	22	0.481281858507962
"SW00055"	1.87148065961264	0.780488	4.55555960494187	28	0.56163439365678
"ST00162"	2.21066243891539	0.84308212	6.37276007042665	38	0.607727856288544
"ST00151"	1.5672601447559	0.72717962	3.6654153183131	17	0.553174065780766
"SW00001"	1.60621132872391	0.69619192	3.29155169276604	22	0.519634185864646
"ST00132"	1.6874032294315	0.74776996	3.96463482303694	32	0.48688165421617
"ST00143"	1.92699247325726	0.81134902	5.30079409075956	27	0.584674712857809
"ST00051"	1.74218401859682	0.77395818	4.42396013268695	23	0.555632987535446
"ST00062"	1.79644531231984	0.7775776	4.49595004819659	29	0.533497917326454
"ST00005"	1.47108894867394	0.70568048	3.39766794944488	20	0.49106155501964
"SW00124"	1.7660101954402	0.75810438	4.13401449765812	26	0.542037405838389
"ST00105"	1.50222802348925	0.6764433	3.09064840876421	22	0.485993979751761
"ST00044"	1.54061242276426	0.70959612	3.44348016286835	20	0.514269060811817
"SW00030"	1.73540605082456	0.77031596	4.35380708211158	23	0.553471297127016
"ST00138"	1.72705531892809	0.7695989	4.3402570560644	21	0.56726641181187
"ST00101"	1.27420822642594	0.58169626	2.390607361053	24	0.400939787192477
"ST00183"	1.80617822006608	0.75449204	4.07318768808962	28	0.542037025203808
"ST00001"	1.37818393362163	0.68422996	3.16686155532678	17	0.48643845918378
"SW00248"	1.96418015969558	0.77475832	4.43967564084942	30	0.577496669345221
"ST00234"	2.06791922853551	0.8078826	5.20515060062233	38	0.568486666083822
"ST00076"	2.17220594920692	0.85191388	6.75282734127952	29	0.645089133500827
