Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	ttest p-value	wilcoxon p-value	Ttest (adj p-value)	Wilcoxon (adj p-value)
Actinobacteria	0.583738273559691	0.403	0.799108395187409	0.799	0.002698702	0.02860103	0.00479769244444444	0.045761648
Alphaproteobacteria	0.410881337568906	0.568	0.468137867477396	0.468	0.4933054	0.9445216	0.5637776	0.9445216
Bacilli	1.7631709781133	0.626	2.46363416231511	2.464	1.666445e-13	2.727341e-12	8.88770666666667e-13	1.45458186666667e-11
Bacteroidia	3.57177115737531	0.222	3.53494651550665	3.535	0.1906588	0.05374846	0.234656984615385	0.0781795781818182
Betaproteobacteria	1.67383027255065	0.742	1.71086369528158	1.711	0.7065559	0.6441041	0.7065559	0.68916416
Clostridia	3.67381600644468	0.148	3.63416079578665	3.634	0.04829646	0.01918284	0.0702493963636364	0.0341028266666667
Coriobacteriia	1.60987633247588	0.525	1.35459229032053	1.355	4.278436e-05	9.059139e-05	0.000136909952	0.000207066034285714
Deinococci	0.0448198277067111	0.152	0.716797246985344	0.717	3.018933e-19	3.862717e-23	4.8302928e-18	6.1803472e-22
Deltaproteobacteria	0.995235142419047	0.653	0.955775203351161	0.956	0.6387805	0.6460914	0.681365866666667	0.68916416
Epsilonproteobacteria	0.0407492084476954	0.128	0.719845417168283	0.72	1.318894e-15	5.042016e-17	1.0551152e-14	4.0336128e-16
Erysipelotrichi	1.92701888151852	0.575	2.01804487585235	2.018	0.1717842	0.2804157	0.2290456	0.345127015384615
Fusobacteriia	0.222418412502192	0.627	0.510851636176358	0.511	0.00220896	1.502517e-06	0.00441792	4.8080544e-06
Gammaproteobacteria	0.805338910508832	0.789	1.2537343714077	1.254	5.684716e-05	3.434101e-05	0.000151592426666667	9.15760266666667e-05
TM7_3	0.234313093236535	0.342	0.0484452506715686	0.048	1.125154e-06	5.089463e-08	4.500616e-06	2.0357852e-07
Unassigned	1.8705651729103	0.458	2.11921195974193	2.119	0.0003490315	0.002365208	0.000797786285714286	0.004730416
Verrucomicrobiae	0.771176897361026	0.854	0.552222538930243	0.552	0.03342307	0.09963654	0.053476912	0.13284872
