Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	ttest p-value	wilcoxon p-value	Ttest (adj p-value)	Wilcoxon (adj p-value)
.Barnesiellaceae.	1.12334497747981	0.912	1.02344007578221	1.023	0.4112864	0.3185385	0.585292184615385	0.436515722222222
.Mogibacteriaceae.	0.898828127022298	0.523	1.04471043631281	1.045	0.05361187	0.2407704	0.116684658235294	0.3711877
.Odoribacteraceae.	1.3010086941278	0.632	1.26229577104885	1.262	0.6473677	0.5597691	0.745415118181818	0.668111506451613
.Paraprevotellaceae.	0.589375902575821	0.966	0.516730824699669	0.517	0.5474118	0.6746313	0.698421951724138	0.693371058333333
.Tissierellaceae.	0.172577687900113	0.226	1.72524476674648	1.725	3.243515e-40	1.291143e-34	1.20010055e-38	4.7772291e-33
Actinomycetaceae	0.468702859963144	0.386	0.491970598026471	0.492	0.7215386	0.3719964	0.785203770588235	0.491566671428571
Alcaligenaceae	1.55703035109386	0.847	1.63419944671469	1.634	0.4827111	0.5087665	0.661492988888889	0.649115879310345
Bacillaceae	0.72199026578468	0.432	2.17741900611076	2.177	1.462593e-34	4.8776e-27	2.70579705e-33	9.02356e-26
Bacteroidaceae	3.42660168456205	0.292	3.3708289790566	3.371	0.1560763	0.1026218	0.274991576190476	0.18985033
Campylobacteraceae	0.0407492084476954	0.128	0.719845417168283	0.72	1.318894e-15	5.042016e-17	1.21997695e-14	4.6638648e-16
Carnobacteriaceae	0.204663235063488	0.281	0.0357165987935057	0.036	3.423351e-08	7.203114e-09	1.5832998375e-07	3.80736025714286e-08
Christensenellaceae	0.754654679115872	0.648	0.594149900961746	0.594	0.05223535	0.07033859	0.116684658235294	0.153089872352941
Clostridiaceae	1.52244632435643	0.593	1.48846240594408	1.488	0.6584657	0.6283037	0.745415118181818	0.689344145714286
Comamonadaceae	0.296100160315209	0.515	0.310984623219191	0.311	0.8286356	0.6486322	0.868523405555555	0.689344145714286
Coriobacteriaceae	1.60987633247588	0.525	1.35459229032053	1.355	4.278436e-05	9.059139e-05	0.000158302132	0.000257837033076923
Corynebacteriaceae	0.00552348615897213	0.041	0.426580574278192	0.427	9.787571e-13	3.147653e-16	7.24280254e-12	2.32926322e-15
Desulfovibrionaceae	0.995235142419047	0.653	0.955775203351161	0.956	0.6387805	0.6460914	0.745415118181818	0.689344145714286
Enterobacteriaceae	0.534491714440033	0.645	1.09988285551568	1.1	1.429632e-07	7.02882e-07	5.877376e-07	2.889626e-06
Erysipelotrichaceae	1.92701888151852	0.575	2.01804487585235	2.018	0.1717842	0.2804157	0.288909790909091	0.407796923076923
Fusobacteriaceae	0.215279410205094	0.627	0.505424836072274	0.505	0.00210855	7.862893e-07	0.00600125769230769	2.90927041e-06
Gemellaceae	0.171061069991392	0.279	0.169309737858633	0.169	0.9706063	0.0284396	0.9706063	0.0751618
Lachnospiraceae	3.28107080129485	0.195	3.2241044654985	3.224	0.05996218	0.1412177	0.123255592222222	0.248812138095238
Lactobacillaceae	0.279651053561297	0.435	0.30535614483973	0.305	0.6648297	0.6520823	0.745415118181818	0.689344145714286
Pasteurellaceae	0.211866528108409	0.418	0.158142329067745	0.158	0.3032029	0.2227224	0.448740292	0.358292556521739
Peptococcaceae	0.423566388508083	0.478	0.410820078560839	0.411	0.8450498	0.760965	0.868523405555555	0.760965
Peptostreptococcaceae	0.0633124422803489	0.153	0.476757771300077	0.477	4.030495e-09	3.330632e-08	2.1304045e-08	1.5404173e-07
Porphyromonadaceae	1.58757655674884	0.83	1.75938726778099	1.759	0.1129153	0.1613033	0.219887689473684	0.271282822727273
Prevotellaceae	0.747828786557197	1.053	1.67050447674366	1.671	6.132921e-10	1.230765e-10	3.78196795e-09	7.5897175e-10
Rikenellaceae	2.18046833820833	0.612	1.8477377668406	1.848	0.0001140923	7.55129e-06	0.000351784591666667	2.32831441666667e-05
Ruminococcaceae	3.17534809452466	0.294	3.1149928247742	3.115	0.1375883	0.05753814	0.254538355	0.13305694875
S24_7	0.312760202137925	0.668	0.434381843523051	0.434	0.2026335	0.03401384	0.325975630434783	0.0839008053333333
Streptococcaceae	1.57714196424258	0.687	1.68200048474	1.682	0.2532542	0.28656	0.390433558333333	0.407796923076923
Thermaceae	0.0448198277067111	0.152	0.716797246985344	0.717	3.018933e-19	3.862717e-23	3.7233507e-18	4.76401763333333e-22
Turicibacteraceae	0.316450529049256	0.548	0.136811875535975	0.137	0.002321484	0.08181614	0.00613535057142857	0.168177621111111
Unassigned	2.83862162144704	0.293	2.86511485205507	2.865	0.5045334	0.5559049	0.66670485	0.668111506451613
Veillonellaceae	2.36218062543131	0.505	2.09358855054152	2.094	0.0001011036	1.401043e-06	0.000340075745454545	4.71259918181818e-06
Verrucomicrobiaceae	0.771176897361026	0.854	0.552222538930243	0.552	0.03342307	0.09963654	0.0824435726666667	0.18985033
