Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	ttest p-value	wilcoxon p-value	Ttest (adj p-value)	Wilcoxon (adj p-value)
.Eubacterium.	1.08238251733116	0.743	1.16087097920535	1.161	0.4026949	0.3546555	0.743436738461539	0.725119779310345
.Ruminococcus.	1.91263239513652	0.549	1.93089451820718	1.931	0.8064257	0.7248611	0.942348626086956	0.852494751219512
.Tissierellaceae._24838	0.306121266550326	0.552	0.327128416641264	0.327	0.7856626	0.9463154	0.942348626086956	0.9463154
Actinomyces	0.355721830256714	0.427	0.439363202523595	0.439	0.1480507	0.07005393	0.629633353846154	0.37362096
Adlercreutzia	0.51532694204225	0.566	0.446646627320768	0.447	0.3403857	0.5114982	0.713807424	0.728629835294118
Akkermansia	0.759800826466637	0.795	0.543847526572051	0.544	0.03589277	0.05016562	0.28714216	0.37362096
Anaerococcus	0.487615051040823	0.693	0.576181861669878	0.576	0.3717747	0.6909238	0.713807424	0.852494751219512
Anaerostipes	0.788506466777539	0.522	0.715424521751301	0.715	0.322705	0.2712158	0.713807424	0.725119779310345
Anoxybacillus	0.933461885592285	0.826	1.23344366205658	1.233	0.01884965	0.06260479	0.2261958	0.37362096
Bacteroides	3.39444913611317	0.285	3.40806649099985	3.408	0.7314103	0.5084495	0.942348626086956	0.728629835294118
Bilophila	0.815576889311338	0.588	0.681740976966047	0.682	0.1084044	0.1223885	0.52034112	0.489554
Blautia	2.31785473932412	0.433	2.27507264779047	2.275	0.454219	0.4305924	0.778661142857143	0.725119779310345
Butyricimonas	0.656762219308902	0.675	0.530841484267413	0.531	0.165373	0.149919	0.629633353846154	0.553547076923077
Campylobacter	0.349633393196227	0.618	0.392258885434816	0.392	0.6190221	0.4136499	0.885129733333333	0.725119779310345
cc	0.239584466686749	0.414	0.12836195125768	0.128	0.02684565	0.02510354	0.25771824	0.30124248
Clostridium	1.11858662171974	0.634	1.02677764569519	1.027	0.298595	0.2329561	0.713807424	0.725119779310345
Collinsella	0.847469101648706	0.725	0.940737538153401	0.941	0.3429713	0.2949836	0.713807424	0.725119779310345
Coprobacillus	0.784212736134959	0.734	0.719298745971851	0.719	0.4925759	0.6980721	0.81529804137931	0.852494751219512
Coprococcus	2.10627190657108	0.481	1.98781697517171	1.988	0.07151882	0.03705698	0.417877333333333	0.355747008
Corynebacterium	0.155002653293961	0.354	0.274180774144827	0.274	0.04542578	0.08642272	0.311491062857143	0.414829056
Desulfovibrio	0.380448204998563	0.563	0.347074992427782	0.347	0.6638473	0.4345062	0.885129733333333	0.725119779310345
Dialister	0.936059194513715	0.934	0.931596960913786	0.932	0.9722976	0.8690487	0.9722976	0.910367080851064
Dorea	1.64608635988024	0.426	1.65346270915169	1.653	0.9002382	0.8914011	0.942348626086956	0.910367080851064
Faecalibacterium	2.02393582603444	0.737	2.04166079288124	2.042	0.8525653	0.7676523	0.942348626086956	0.856914195348837
Finegoldia	0.503197960427443	0.67	0.611078121038942	0.611	0.2772739	0.8595158	0.713807424	0.910367080851064
Fusobacterium	0.355779234757277	0.674	0.348308811206847	0.348	0.9369724	0.7074081	0.956907982978723	0.852494751219512
Geobacillus	1.11891430992138	0.85	1.42729665948059	1.427	0.01830103	0.06302726	0.2261958	0.37362096
Granulicatella	0.101978344537894	0.204	0.133171645253938	0.133	0.3114594	0.393566	0.713807424	0.725119779310345
Haemophilus	0.183873337677177	0.398	0.177565300677059	0.178	0.9030841	0.5161128	0.942348626086956	0.728629835294118
Lachnospira	1.40645979259236	0.784	1.3466155063846	1.347	0.568687	0.4258076	0.8824224	0.725119779310345
Lactobacillus	0.264157689311485	0.432	0.318651758693976	0.319	0.3599161	0.24493	0.713807424	0.725119779310345
Lactococcus	0.277310198564828	0.465	0.28628321917592	0.286	0.8852627	0.6335983	0.942348626086956	0.852494751219512
Odoribacter	1.05805912533444	0.642	1.09890062120776	1.099	0.6372044	0.7489153	0.885129733333333	0.8559032
Oscillospira	1.93509252580097	0.281	1.95853441090275	1.959	0.5698978	0.4380932	0.8824224	0.725119779310345
Parabacteroides	1.58203474985037	0.825	1.63196863707496	1.632	0.6617617	0.5013598	0.885129733333333	0.728629835294118
Paraprevotella	0.489805264623493	0.849	0.432867738452685	0.433	0.6079951	0.6747715	0.885129733333333	0.852494751219512
Peptoniphilus	0.640064295331171	0.827	0.791661545351921	0.792	0.1961426	0.2815316	0.672488914285714	0.725119779310345
Phascolarctobacterium	1.53991609474622	0.958	1.66956315733038	1.67	0.3059603	0.3939997	0.713807424	0.725119779310345
Prevotella	1.13482873686875	1.098	1.25591424344581	1.256	0.4349611	0.5086988	0.773264177777778	0.728629835294118
rc4_4	0.263256621463958	0.417	0.277974337150602	0.278	0.7943524	0.7281726	0.942348626086956	0.852494751219512
Roseburia	1.29761993437937	0.756	1.28370009095553	1.284	0.8908314	0.8778401	0.942348626086956	0.910367080851064
Ruminococcus	2.10673415232198	0.588	1.97272093532422	1.973	0.078352	0.01779371	0.417877333333333	0.28469936
Streptococcus	1.53484441790674	0.659	1.65024880355049	1.65	0.2103189	0.1803173	0.67302048	0.618230742857143
Sutterella	1.5164533724266	0.833	1.66861086236071	1.669	0.1705257	0.1047129	0.629633353846154	0.456929018181818
Thermus	0.272049644340119	0.48	0.487515779614707	0.488	0.005489985	0.0157289	0.13175964	0.28469936
Turicibacter	0.262999415995645	0.48	0.191669269579571	0.192	0.2291504	0.4341429	0.6874512	0.725119779310345
Unassigned	3.57835326601646	0.173	3.49266195623818	3.493	0.0006728856	0.0003617742	0.0322985088	0.0173651616
Veillonella	0.47381951147889	0.649	0.457903066825737	0.458	0.8384193	0.3337086	0.942348626086956	0.725119779310345
