Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	ttest p-value	wilcoxon p-value	Ttest (adj p-value)	Wilcoxon (adj p-value)
Actinomycetales	0.539946681718472	0.416	0.78197875376158	0.782	0.0009477351	0.01113747	0.00270781457142857	0.0247499333333333
Bacillales	0.724726220081286	0.432	2.17821279893456	2.178	1.782358e-34	5.607055e-27	3.564716e-33	1.121411e-25
Bacteroidales	3.57177115737531	0.222	3.53494651550665	3.535	0.1906588	0.05374846	0.272369714285714	0.0895807666666667
Burkholderiales	1.67274739994793	0.744	1.70954722649168	1.71	0.7088596	0.6448643	0.746168	0.6460914
Campylobacterales	0.0407492084476954	0.128	0.719845417168283	0.72	1.318894e-15	5.042016e-17	8.79262666666667e-15	3.361344e-16
Clostridiales	3.67371497426084	0.148	3.63412515414466	3.634	0.04861685	0.01929203	0.0810280833333333	0.03858406
Coriobacteriales	1.60987633247588	0.525	1.35459229032053	1.355	4.278436e-05	9.059139e-05	0.00017113744	0.000258832542857143
Desulfovibrionales	0.995235142419047	0.653	0.955775203351161	0.956	0.6387805	0.6460914	0.709756111111111	0.6460914
Enterobacteriales	0.534491714440033	0.645	1.09988285551568	1.1	1.429632e-07	7.02882e-07	7.14816e-07	3.51441e-06
Erysipelotrichales	1.92701888151852	0.575	2.01804487585235	2.018	0.1717842	0.2804157	0.264283384615385	0.337690235294118
Fusobacteriales	0.222418412502192	0.627	0.510851636176358	0.511	0.00220896	1.502517e-06	0.00515885333333333	6.010068e-06
Gemellales	0.171061069991392	0.279	0.169309737858633	0.169	0.9706063	0.0284396	0.9706063	0.0517083636363636
Lactobacillales	1.63249276939586	0.676	1.73289658852952	1.733	0.2656629	0.2870367	0.332078625	0.337690235294118
Pasteurellales	0.211866528108409	0.418	0.158142329067745	0.158	0.3032029	0.2227224	0.356709294117647	0.2969632
Pseudomonadales	0.25451446000848	0.655	0.430665838902462	0.431	0.03228312	3.807864e-05	0.0607692181818182	0.0001269288
RF32	0.272599034641152	0.571	0.369008170661734	0.369	0.2551885	0.3387249	0.332078625	0.376361
Thermales	0.0448198277067111	0.152	0.716797246985344	0.717	3.018933e-19	3.862717e-23	3.018933e-18	3.862717e-22
Turicibacterales	0.316450529049256	0.548	0.136811875535975	0.137	0.002321484	0.08181614	0.00515885333333333	0.125870984615385
Unassigned	1.88258706861621	0.452	2.12035697341592	2.12	0.0005682903	0.003817281	0.001894301	0.0095432025
Verrucomicrobiales	0.771176897361026	0.854	0.552222538930243	0.552	0.03342307	0.09963654	0.0607692181818182	0.142337914285714
