Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	ttest p-value	wilcoxon p-value	Ttest (adj p-value)	Wilcoxon (adj p-value)
OTU187248	0.478257354784842	0.529	0.730705520535051	0.731	0.002272332	0.006098432	0.0152177385454545	0.0449251157333333
OTU195512	0.354849697385298	0.623	0.271085085674815	0.271	0.2996132	0.2004124	0.588573486222222	0.537045804848485
OTU521996	0.269748208509278	0.396	0.128098294575581	0.128	0.002987344	0.001326289	0.019417736	0.01465549345
OTU362389	0.116466994930901	0.202	0.110943164015825	0.111	0.8343902	0.9574497	0.936041797969543	0.984169226511628
OTU186352	0.186241501763752	0.237	0.139853298316807	0.14	0.12459	0.1496377	0.36764740397351	0.469077045390071
OTU644946	0.387830730389368	0.38	1.75992637669321	1.76	1.037607e-33	1.613182e-27	3.63344995e-31	3.56513222e-25
OTU523934	0.149382155722535	0.319	0.154395536207561	0.154	0.9018358	0.456927	0.961854721904762	0.8100313
OTU195207	0.311483560889018	0.564	0.226319344620614	0.226	0.2172308	0.5500269	0.50534744	0.856343095070422
OTU199543	0.175809630989728	0.267	0.120665517583822	0.121	0.09751465	0.1189615	0.325186545112782	0.414023488188976
OTU521515	0.199740688326415	0.343	0.230589728461349	0.231	0.5187712	0.4401778	0.793414776470588	0.807297043983403
OTU176469	0.219740376008292	0.337	0.311724973543691	0.312	0.0928081	0.3440071	0.3225726359375	0.714622902347418
OTU364179	1.09704912836671	1.077	0.926007411156342	0.926	0.2025151	0.3561038	0.492075928571429	0.715444907272727
OTU198011	0.860255611238562	0.602	0.848375524507816	0.848	0.8811933	0.8200857	0.959347609359606	0.945309358208955
OTU198542	0.276298044324469	0.372	0.21144322076932	0.211	0.1851626	0.1368088	0.475824820930233	0.440767204347826
OTU335577	1.44869442515672	0.515	1.39790271963256	1.398	0.488917	0.7266344	0.78014914801444	0.917700570140845
OTU197675	0.407414244177178	0.519	0.37679309047027	0.377	0.6468583	0.7333131	0.89506664	0.917700570140845
OTU288810	0.408247951150337	0.644	0.449436844920062	0.449	0.6545359	0.9654084	0.89506664	0.985474625404157
OTU365717	0.0881681299957235	0.17	0.104327594109517	0.104	0.5096331	0.6312293	0.787614790909091	0.876947259561129
OTU189960	0.22834537072718	0.458	0.221657956505429	0.222	0.9130009	0.7708865	0.961854721904762	0.930961292349727
OTU192952	0.392860400503854	0.476	0.32422523338509	0.324	0.253697	0.493885	0.536526669856459	0.82688321969697
OTU178852	0.282363050035314	0.382	0.184534717608033	0.185	0.02746644	0.1366198	0.120239054257426	0.440767204347826
OTU193174	0.306764017840291	0.398	0.385283288399237	0.385	0.1570855	0.1530964	0.428591302469136	0.469374028767123
OTU725048	0.223220391677721	0.386	0.555366045735189	0.555	1.774232e-05	0.0003881088	0.000270417428965517	0.00519830574545455
OTU291510	0.308609835555267	0.479	0.187815027021349	0.188	0.03951868	0.01937292	0.164785439245283	0.115713927567568
OTU351357	0.333848678308858	0.459	0.20622805248096	0.206	0.01721306	0.1066784	0.0849090742857143	0.380256877419355
OTU4331760	0.304820164017392	0.481	0.103410342417975	0.103	0.0001126712	0.001817167	0.0014647256	0.0187808369767442
OTU193364	0.360754795126293	0.407	0.574679686166177	0.575	0.0007429671	0.001103737	0.0068414887125	0.0125090193333333
OTU192228	0.208697449578074	0.433	0.253769486208589	0.254	0.4920608	0.931351	0.780684151601424	0.969396267605634
OTU193367	0.348553108887086	0.373	0.326516944311489	0.327	0.6678001	0.4896921	0.89506664	0.826025229657795
OTU194863	0.507215859827154	0.522	0.457661127698829	0.458	0.466453	0.5146815	0.760783121771218	0.8363574375
OTU181239	0.425831944901147	0.816	0.289896531554346	0.29	0.1619426	0.5968054	0.434881656969697	0.874312255555556
OTU191218	0.190814979847266	0.319	0.0996344027085881	0.1	0.01237449	0.0627384	0.0675249948148148	0.2718664
OTU367417	0.171897571119056	0.292	0.201990963082086	0.202	0.4751146	0.6615493	0.766425741605839	0.897962996932515
OTU204099	0.439807171400386	0.547	0.408793328549214	0.409	0.6763583	0.4771292	0.89506664	0.82375098
OTU183886	0.381596216211564	0.495	0.303619201791264	0.304	0.1982972	0.4581625	0.491595116201117	0.8100313
OTU204093	0.349984521008279	0.337	0.387429415063662	0.387	0.4028927	0.330262	0.706661005555556	0.71258305
OTU199228	0.715296131748934	0.776	0.557330131722637	0.557	0.100151	0.1544744	0.330348820895522	0.469374028767123
OTU210542	0.410669036829771	0.578	0.326491498553665	0.326	0.2632154	0.2861112	0.546202848826291	0.658651825
OTU199555	0.60707201412438	0.66	0.684050062207406	0.684	0.4111688	0.5900899	0.70990863125	0.874312255555556
OTU192437	0.441879822732183	0.662	0.547486772165373	0.547	0.2673677	0.3038892	0.548614901851852	0.679609824242424
OTU188725	1.14039746820067	0.669	0.719217453394525	0.719	6.594953e-07	6.976245e-07	1.21457051083333e-05	1.2847917875e-05
OTU294022	0.827613404206914	0.766	0.787094427855597	0.787	0.6861254	0.6538191	0.89506664	0.894699821052632
OTU332185	0.953917783753323	0.692	0.72896537136991	0.729	0.01740643	0.01137926	0.0849090742857143	0.0765226563636364
OTU321005	0.709984075263811	0.702	0.659354031713838	0.659	0.580801	0.7309522	0.841685383606557	0.917700570140845
OTU365634	1.02128336502861	0.656	0.52745286036848	0.527	6.569452e-09	5.565475e-08	1.38271323047619e-07	1.11815452272727e-06
OTU14274	0.0082852292384582	0.049	0.542231691739854	0.542	1.703521e-15	1.394528e-19	7.52956282e-14	6.84868195555556e-18
OTU197069	0.251673077410588	0.469	0.171224482092517	0.171	0.1377758	0.5017709	0.390364766666667	0.833769690977444
OTU194654	0.293905054502617	0.535	0.379564971268125	0.38	0.2832334	0.5688122	0.561386380269058	0.86739848
OTU338621	0.274750836800507	0.538	0.304572667620454	0.305	0.665463	0.2025587	0.89506664	0.539343044578313
OTU192308	0.328743021733754	0.501	0.271905353417371	0.272	0.379356	0.3547213	0.679797789473684	0.715444907272727
OTU192302	0.175971369414533	0.281	0.206295934032239	0.206	0.460905	0.6498678	0.760149291044776	0.894699821052632
OTU197505	0.302155463993309	0.364	0.282432275275793	0.282	0.6693021	0.9439631	0.89506664	0.974840397663551
OTU196252	0.280743212729097	0.482	0.245773790415783	0.246	0.5727813	0.7150703	0.837780512211221	0.917700570140845
OTU187262	0.301020540624123	0.562	0.204981667618533	0.205	0.1604156	0.2077155	0.434881656969697	0.546489589285714
OTU355307	1.18713590368584	0.944	1.07869034206518	1.079	0.3787356	0.3184799	0.679797789473684	0.69343899408867
OTU575844	0.753794622389508	0.559	0.694356887816901	0.694	0.4071877	0.4246049	0.707933893333333	0.791879180590717
OTU189559	0.376379454574553	0.624	0.425490850682004	0.425	0.5832943	0.8436126	0.842536211111111	0.945309358208955
