Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	ttest p-value	wilcoxon p-value	Ttest (adj p-value)	Wilcoxon (adj p-value)
.Thermi.	0.0448198277067111	0.152	0.716797246985344	0.717	3.018933e-19	3.862717e-23	3.3208263e-18	4.2489887e-22
Actinobacteria	1.65927461695374	0.496	1.54863059184418	1.549	0.05925924	0.08988468	0.0931216628571429	0.109859053333333
Bacteroidetes	3.57181327924702	0.222	3.53506025049806	3.535	0.1913302	0.0536172	0.21046322	0.0842556
Cyanobacteria	0.3878162980331	0.514	0.276203984141032	0.276	0.1030776	0.0168416	0.125983733333333	0.0308762666666667
Firmicutes	3.70272926227158	0.148	3.73269971724913	3.733	0.09066587	0.3938367	0.12466557125	0.3938367
Fusobacteria	0.222418412502192	0.627	0.510851636176358	0.511	0.00220896	1.502517e-06	0.00607464	5.509229e-06
Proteobacteria	2.06379418550732	0.482	2.24051078938703	2.241	0.003729497	0.001067837	0.0082048934	0.00293655175
Tenericutes	0.445105012397228	0.733	0.337264721939446	0.337	0.2477971	0.2516108	0.2477971	0.27677188
TM7	0.234313093236535	0.342	0.0484452506715686	0.048	1.125154e-06	5.089463e-08	6.188347e-06	2.79920465e-07
Unassigned	1.86904328642755	0.459	2.11893623384107	2.119	0.0003276655	0.002227656	0.00120144016666667	0.0049008432
Verrucomicrobia	0.774337408273366	0.852	0.553760342778612	0.554	0.03194428	0.08797445	0.0585645133333333	0.109859053333333
