MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	17.0333375049345	-0.034	0.046	0.034	0.068	2.7e-19	7.53e-07
MDS2	12.5559854339941	0.018	0.07	-0.018	0.06	3.12e-12	4.11e-27
MDS3	7.1087565863688	-0.005	0.071	0.003	0.062	0.124833333333333	3.2325e-22
MDS4	6.30866045851142	-0.015	0.072	0.015	0.059	0.000211125	5.18571428571429e-13
MDS5	5.51563352519739	0.007	0.069	-0.006	0.065	0.1168125	5.9625e-16
MDS6	4.64631660579021	0.007	0.066	-0.006	0.068	0.0917142857142857	7.25e-19
MDS7	4.25144848174368	-0.024	0.067	0.024	0.059	2.285e-09	3.96818181818182e-06
MDS8	4.02315660062849	0	0.068	0	0.067	0.913	1.845e-15
MDS9	3.11251701173198	-0.004	0.078	0.004	0.056	0.283636363636364	4.44375e-11
MDS10	3.08116744967843	-0.002	0.069	0.002	0.066	0.707307692307692	1.182e-15
MDS11	2.43402807962915	-0.006	0.057	0.006	0.076	0.1476	0.000238928571428571
MDS12	2.29267765860971	0.014	0.069	-0.014	0.063	0.00321	5.5e-06
MDS13	2.07930462025065	0.003	0.063	-0.003	0.072	0.4675	1.10833333333333e-09
MDS14	1.77646765737705	-0.011	0.062	0.012	0.071	0.007725	0.000894
MDS15	1.74165366721303	-0.001	0.069	0.001	0.066	0.880714285714286	1.89230769230769e-05
