MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	16.2218702183851	-0.016	0.065	0.016	0.061	3.7275e-08	5.8125e-21
MDS2	15.1400416284765	-0.042	0.041	0.042	0.057	1.725e-34	8.89e-08
MDS3	8.9084069856003	0.002	0.066	-0.002	0.064	0.67125	4.74e-22
MDS4	7.34244930500906	0.007	0.064	-0.007	0.065	0.0315	2.535e-29
MDS5	6.00540870375568	0.004	0.061	-0.004	0.068	0.3	7.45714285714286e-17
MDS6	5.83665532230808	0.002	0.059	-0.002	0.07	0.703928571428571	1.12125e-11
MDS7	5.21769257905639	0.01	0.057	-0.01	0.07	0.01365	2.31428571428571e-10
MDS8	4.51355261946957	-0.003	0.072	0.003	0.057	0.426	5.8125e-21
MDS9	3.95172487344697	-0.004	0.064	0.004	0.065	0.291428571428571	2.802e-20
MDS10	3.76782710143951	0.004	0.066	-0.004	0.063	0.308333333333333	6.58125e-15
MDS11	3.63685122913362	0.002	0.064	-0.002	0.066	0.546818181818182	1.68333333333333e-14
MDS12	2.85205492201429	0.005	0.067	-0.005	0.063	0.229	1.17e-18
MDS13	2.58294399073878	0.001	0.07	-0.001	0.06	0.703928571428571	7.90909090909091e-14
MDS14	2.31948634781501	0	0.068	0	0.061	0.894	7.725e-14
MDS15	2.01396961221887	0.009	0.068	-0.009	0.061	0.0238125	3.24230769230769e-11
