MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	34.1482732438211	-0.021	0.065	-0.091	0.093	0.001725	0.01485
MDS2	17.9596655367437	0.011	0.086	0.057	0.062	0.224625	0.0189375
MDS3	9.00585994738403	0.032	0.066	-0.103	0.066	1.236e-06	0.121772727272727
MDS4	6.19665434118436	-0.01	0.077	-0.009	0.083	0.894545454545455	0.0565
MDS5	3.80533960353677	0.009	0.083	-0.013	0.082	0.894545454545455	1.65e-06
MDS6	3.17553253047368	0.013	0.084	-0.042	0.081	0.1375	0.01119
MDS7	2.53591311295244	-0.01	0.082	0.012	0.118	0.4825	0.2825
MDS8	2.40259622596956	-0.007	0.091	0.001	0.076	0.505714285714286	0.003195
MDS9	1.87971210876091	0.002	0.079	0.007	0.089	0.987	0.364615384615385
MDS10	1.84207137653664	-0.011	0.072	0.011	0.058	0.894545454545455	0.01119
MDS11	1.58874647182038	0.006	0.096	0.002	0.071	0.987	0.01119
MDS12	1.48946504016238	-0.013	0.084	-0.014	0.069	0.987	1
MDS13	1.30587829599216	0.002	0.081	-0.03	0.075	0.4825	0.121772727272727
MDS14	1.13644655646149	0.002	0.077	0.002	0.083	0.987	1
MDS15	1.07089323382054	-0.003	0.09	0.008	0.073	0.894545454545455	0.0189375
