MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	16.8615324290586	-0.033	0.051	0.033	0.061	6.09e-21	9.2625e-08
MDS2	12.3812797689696	0.028	0.062	-0.029	0.055	7.725e-21	1.446e-17
MDS3	6.18488198009957	0.018	0.067	-0.018	0.058	2.245e-07	2.55e-10
MDS4	5.59330823076731	-0.002	0.066	0.002	0.063	0.743076923076923	6e-16
MDS5	4.90151855279448	0.01	0.063	-0.011	0.065	0.0010525	3.57e-14
MDS6	4.59546075447783	0.015	0.06	-0.015	0.067	2.35875e-06	9.75e-17
MDS7	4.29933693198284	0.001	0.072	-0.001	0.056	0.908	4.38e-13
MDS8	3.76033499701123	-0.007	0.062	0.007	0.067	0.1209375	1.995e-07
MDS9	3.39895952965268	-0.002	0.068	0.002	0.062	0.743076923076923	4.975e-13
MDS10	2.75452377817862	-0.005	0.068	0.005	0.062	0.301666666666667	1.995e-07
MDS11	2.70163344492578	-0.002	0.065	0.002	0.065	0.743076923076923	1.52307692307692e-05
MDS12	2.56076329906282	0.016	0.058	-0.016	0.067	1.074e-05	6.28636363636364e-07
MDS13	2.1185617291851	-0.001	0.07	0.001	0.059	0.793928571428571	0.00012
MDS14	1.94863143117626	-0.007	0.06	0.007	0.069	0.1209375	6.3375e-06
MDS15	1.85447932552457	-0.002	0.067	0.002	0.063	0.743076923076923	0.000134
