MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	16.1039450762635	-0.043	0.041	0.043	0.055	6.165e-35	1.45166666666667e-05
MDS2	11.3151914810828	0.012	0.073	-0.012	0.053	0.0001065	6.8925e-19
MDS3	6.790923916769	0.01	0.064	-0.01	0.064	0.00309	2.0325e-15
MDS4	6.18610625590336	0.007	0.06	-0.007	0.069	0.0675	2.133e-15
MDS5	5.66911838858928	-0.001	0.061	0.002	0.069	0.634615384615385	1.2585e-19
MDS6	5.52420542076649	0.008	0.072	-0.009	0.054	0.02875	3.20625e-07
MDS7	4.81857016001196	0.002	0.072	-0.002	0.057	0.590454545454545	6.95e-17
MDS8	4.13975811953108	0.014	0.066	-0.014	0.061	0.000915	0.000915
MDS9	3.84743996606254	0.006	0.064	-0.005	0.065	0.171666666666667	6.02142857142857e-09
MDS10	3.19893642627395	0.016	0.06	-0.016	0.066	7.725e-06	1.44e-11
MDS11	2.53858858960507	0.004	0.059	-0.004	0.07	0.4365	0.00385
MDS12	2.4416533892561	0.006	0.061	-0.006	0.068	0.171666666666667	0.00013625
MDS13	2.17118355774516	0.001	0.07	-0.001	0.059	0.712	1.96363636363636e-05
MDS14	1.87373795319276	0.002	0.068	-0.002	0.062	0.707142857142857	1.89e-05
MDS15	1.55897367062817	0.002	0.073	-0.002	0.056	0.634615384615385	0.000498461538461538
