MDS Axis	% variation explained	stoolMeans	stoolSDs		swabMeans	swabSDs		Origin adj p-value	Participant adj p-value
MDS1	18.17161607	-0.048	0.025	-0.048 ± 0.025	0.048	0.061	0.048 ± 0.061	8.16E-36	0.00287
MDS2	10.19684738	-0.01	0.071	-0.01 ± 0.071	0.009	0.062	0.009 ± 0.062	1.51E-05	9.98E-33
MDS3	5.340271387	0.001	0.074	0.001 ± 0.074	-0.001	0.061	-0.001 ± 0.061	0.589615385	3.28E-25
MDS4	4.983449841	0.008	0.077	0.008 ± 0.077	-0.008	0.056	-0.008 ± 0.056	0.00627	3.98E-27
MDS5	4.706175279	-0.024	0.068	-0.024 ± 0.068	0.024	0.059	0.024 ± 0.059	3.87E-14	4.37E-23
MDS6	3.714893435	-0.007	0.069	-0.007 ± 0.069	0.007	0.065	0.007 ± 0.065	0.00955	8.75E-32
MDS7	3.544985576	-0.006	0.074	-0.006 ± 0.074	0.007	0.061	0.007 ± 0.061	0.00627	6.71E-36
MDS8	3.394572158	0	0.071	0 ± 0.071	-0.001	0.065	-0.001 ± 0.065	0.847	8.28E-12
MDS9	2.887890802	-0.005	0.061	-0.005 ± 0.061	0.004	0.073	0.004 ± 0.073	0.2655	7.23E-14
MDS10	2.850693807	-0.005	0.066	-0.005 ± 0.066	0.004	0.069	0.004 ± 0.069	0.08775	1.26E-25
MDS11	2.613945007	0.009	0.063	0.009 ± 0.063	-0.01	0.07	-0.01 ± 0.07	0.018257143	1.14E-14
MDS12	2.241919387	-0.002	0.072	-0.002 ± 0.072	0.002	0.064	0.002 ± 0.064	0.287727273	1.85E-19
MDS13	2.030029541	-0.002	0.063	-0.002 ± 0.063	0.002	0.072	0.002 ± 0.072	0.799285714	1.32E-15
MDS14	1.916927309	0.002	0.069	0.002 ± 0.069	-0.002	0.067	-0.002 ± 0.067	0.3675	3.05E-11
MDS15	1.742316008	-0.007	0.069	-0.007 ± 0.069	0.008	0.065	0.008 ± 0.065	0.1195	8.39E-07
