MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	14.6254939325427	-0.042	0.028	0.043	0.063	1.845e-31	0.00283
MDS2	10.1431654239427	-0.017	0.066	0.017	0.059	2.7825e-08	8.07e-19
MDS3	5.56835959187202	-0.001	0.066	0.001	0.064	0.771428571428571	1.4625e-36
MDS4	4.98897545534736	0.001	0.067	-0.001	0.063	0.76375	2.3625e-36
MDS5	4.79820288907682	-0.015	0.061	0.015	0.066	6.8e-08	6.9e-27
MDS6	4.21302134097025	0	0.061	0	0.068	0.927	1.4925e-24
MDS7	3.44702634604305	-0.005	0.063	0.005	0.066	0.109285714285714	3.19615384615385e-15
MDS8	3.28169540791204	-0.002	0.057	0.002	0.072	0.713181818181818	8.59090909090909e-17
MDS9	3.09480144138659	0.003	0.065	-0.003	0.065	0.345	3.33e-23
MDS10	2.72606903357869	-0.001	0.066	0.001	0.064	0.771428571428571	1.1725e-22
MDS11	2.3632623290172	0.005	0.068	-0.005	0.061	0.19	1.081875e-21
MDS12	2.28857633496638	0.007	0.065	-0.007	0.064	0.02646	2.89285714285714e-22
MDS13	2.16979076865846	0.006	0.065	-0.006	0.064	0.109285714285714	1.52e-20
MDS14	2.07689754960603	-0.005	0.061	0.005	0.069	0.1314375	2.125e-16
MDS15	1.95379087703774	-0.01	0.062	0.01	0.066	0.00357375	4.14642857142857e-13
