MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	30.1913988655545	-0.028	0.054	-0.098	0.071	0.000501	0.158571428571429
MDS2	9.60011215301409	-0.037	0.058	0.102	0.069	1.083e-08	0.358
MDS3	7.32863610193675	-0.012	0.081	-0.002	0.068	0.971	0.00026175
MDS4	5.37931758832252	0.004	0.083	0.032	0.085	0.968076923076923	0.0005025
MDS5	4.01522109937726	0.008	0.09	-0.032	0.061	0.099	0.000699375
MDS6	3.18186386061597	0.001	0.083	-0.039	0.066	0.593571428571429	1.0575e-08
MDS7	2.4870062094838	-0.011	0.084	0.022	0.105	0.375	0.0001635
MDS8	2.33474622071035	-0.007	0.07	0.022	0.055	0.6675	0.0002904
MDS9	1.91381972732917	-0.003	0.076	-0.013	0.059	0.43	0.0038
MDS10	1.84152032892012	-0.008	0.07	-0.019	0.039	0.6675	0.000677142857142857
MDS11	1.69828512950218	-0.007	0.087	0.031	0.076	0.6675	0.01179
MDS12	1.47610996580884	0.002	0.081	0.009	0.054	0.968076923076923	0.0320454545454545
MDS13	1.31439806575772	-0.002	0.069	-0.023	0.066	0.971	0.034
MDS14	1.22420563423948	-0.005	0.076	0.021	0.097	0.211875	0.0001365
MDS15	1.13251513342005	-0.005	0.085	-0.016	0.09	0.968076923076923	0.0822692307692308
