MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	17.723699706928	-0.044	0.032	0.045	0.058	3.615e-37	7.08e-05
MDS2	8.97299528422519	0.022	0.068	-0.023	0.053	1.2e-11	3.915e-12
MDS3	5.56179852860043	-0.012	0.062	0.012	0.066	6e-05	3.93e-23
MDS4	4.84696047494346	-0.005	0.068	0.005	0.061	0.0196285714285714	5.625e-47
MDS5	4.3367021932866	-0.008	0.067	0.008	0.061	0.0013875	1.58e-30
MDS6	3.61349230203606	0.009	0.066	-0.009	0.063	0.00369	1.42875e-23
MDS7	3.2430971002756	-0.002	0.072	0.002	0.057	0.557307692307692	1.400625e-14
MDS8	2.98504666073709	0.001	0.069	-0.001	0.061	0.640714285714286	1.455e-33
MDS9	2.75270914373525	0.002	0.065	-0.001	0.065	0.809	2.05e-14
MDS10	2.55794509041101	-0.007	0.069	0.006	0.059	0.10875	5.91923076923077e-08
MDS11	2.45264317442259	0.006	0.067	-0.006	0.062	0.10875	2.34545454545455e-11
MDS12	2.16417373475414	-0.009	0.071	0.009	0.056	0.007125	6.975e-16
MDS13	2.03105584861024	0.002	0.063	-0.002	0.067	0.557307692307692	8.6375e-09
MDS14	1.87416108850424	0.009	0.061	-0.008	0.067	0.0309375	2.175e-06
MDS15	1.6986039097859	0.003	0.069	-0.003	0.061	0.437727272727273	1.335e-14
