MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	20.1708600586	-0.05	0.02	0.05	0.06	4.935e-39	0.00924
MDS2	7.17958476785018	-0.004	0.071	0.003	0.064	0.0231428571428571	7.275e-51
MDS3	6.2772293073054	0	0.073	0	0.062	0.941	3.9975e-43
MDS4	5.0365086684031	0.007	0.073	-0.006	0.06	0.00100875	3.81e-36
MDS5	4.02513084475405	0.019	0.072	-0.019	0.058	2.6175e-11	1.38e-25
MDS6	3.51756495476061	-0.008	0.068	0.008	0.066	0.0615	1.77e-16
MDS7	3.32220411411643	0.002	0.074	-0.001	0.06	0.702692307692308	9.525e-36
MDS8	3.01272146797831	0.008	0.069	-0.007	0.065	0.0495	2.03181818181818e-15
MDS9	2.64419907537796	0.008	0.075	-0.008	0.059	0.0615	7.025e-12
MDS10	2.48675334353681	0	0.071	0	0.064	0.882857142857143	9.78e-31
MDS11	2.39569832929277	0.004	0.04	-0.004	0.087	0.33625	6.65357142857143e-06
MDS12	2.28929827502161	-0.006	0.07	0.005	0.065	0.159545454545455	3.58333333333333e-22
MDS13	1.95470655807662	-0.007	0.075	0.007	0.058	0.0078	4.575e-23
MDS14	1.87242651077967	0.012	0.07	-0.013	0.063	0.0004115	4.575e-23
MDS15	1.83218598791252	0.009	0.065	-0.009	0.069	0.0078	5.63076923076923e-10
