MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	14.1626832277549	-0.046	0.024	0.046	0.06	2.43e-37	0.0229
MDS2	10.6163227558179	0.008	0.069	-0.008	0.06	0.00567	3.95e-24
MDS3	5.56570485274601	-0.012	0.066	0.012	0.061	6.945e-07	1.995e-38
MDS4	4.91796709826054	-0.01	0.065	0.01	0.063	0.000104	3.42e-33
MDS5	4.44228823574932	0.007	0.069	-0.007	0.06	0.00567	3.42e-33
MDS6	3.72566511402557	-0.002	0.063	0.002	0.067	0.471428571428571	3.03e-27
MDS7	3.45676953646252	0.004	0.058	-0.004	0.071	0.225	9.35e-21
MDS8	3.1351678244163	0.003	0.064	-0.003	0.065	0.225	7.8e-31
MDS9	2.68582844369168	0.004	0.064	-0.004	0.065	0.157875	2.15e-18
MDS10	2.44005808003488	0.004	0.06	-0.004	0.069	0.225	1.725e-22
MDS11	2.34833873938492	-0.006	0.066	0.006	0.064	0.130071428571429	2.37857142857143e-12
MDS12	2.24304393868466	0.006	0.062	-0.006	0.068	0.0465	1.61357142857143e-22
MDS13	2.03801020979845	0.003	0.064	-0.003	0.066	0.3325	6.51923076923077e-18
MDS14	1.98316355962854	-0.001	0.067	0.001	0.063	0.67	1.39090909090909e-18
MDS15	1.92852141656646	-0.003	0.061	0.003	0.068	0.413076923076923	3.63e-19
