MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	25.6766359506319	-0.027	0.054	-0.102	0.074	0.00030525	0.293571428571429
MDS2	10.1430748919809	-0.035	0.058	0.083	0.071	1.002e-07	0.0123461538461538
MDS3	6.04554100739291	-0.008	0.081	0.041	0.062	0.047625	0.00315
MDS4	4.67284514480165	-0.009	0.082	0.065	0.054	0.100071428571429	0.000228333333333333
MDS5	3.87238791327842	0.012	0.077	-0.005	0.081	0.047625	9.15e-06
MDS6	2.96726907664991	-0.003	0.08	-0.011	0.05	0.100071428571429	3.4425e-07
MDS7	2.57858339749478	-0.012	0.076	0.042	0.094	0.15825	0.000101
MDS8	2.35062675256574	0.01	0.093	-0.039	0.063	0.454615384615385	0.00122454545454545
MDS9	2.16980774199999	-0.004	0.066	0.005	0.06	0.454615384615385	3.4425e-07
MDS10	2.00139117235534	-0.01	0.082	-0.024	0.097	0.454615384615385	0.000136125
MDS11	1.74439824533088	-0.007	0.074	0.004	0.043	0.313333333333333	1.93125e-05
MDS12	1.55811740934107	0.005	0.072	-0.006	0.048	0.634	1
MDS13	1.49168126480571	0.008	0.087	-0.029	0.089	0.627857142857143	0.000104357142857143
MDS14	1.32154242620242	-0.01	0.083	0.028	0.067	0.100071428571429	0.000101
MDS15	1.26099647851244	0.005	0.066	0.021	0.055	0.4305	0.000831
