MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	18.9411434495524	-0.05	0.023	0.051	0.053	9.495e-49	0.00178
MDS2	6.4140437586192	0.008	0.064	-0.008	0.065	0.00479	4.11e-30
MDS3	5.17933755938393	0.009	0.075	-0.01	0.052	0.0091125	2.1e-14
MDS4	4.22073334320132	0.005	0.069	-0.005	0.06	0.1065	1.8225e-32
MDS5	3.79209689841205	0.008	0.059	-0.008	0.069	0.01155	3.8e-21
MDS6	3.17240828800592	-0.006	0.066	0.006	0.063	0.0193928571428571	9.615e-42
MDS7	2.84421221659217	-0.011	0.065	0.011	0.063	0.00011925	3.66e-29
MDS8	2.50139828884115	-0.002	0.062	0.002	0.068	0.643846153846154	8.7e-17
MDS9	2.4383300379734	0	0.072	0	0.057	0.853	7.26428571428571e-12
MDS10	2.28956585025845	-0.007	0.057	0.007	0.071	0.02325	3.6375e-18
MDS11	2.19464127991375	0.003	0.064	-0.003	0.066	0.3825	2.52692307692308e-14
MDS12	1.96091955883955	0.001	0.058	-0.001	0.072	0.702857142857143	4.73571428571429e-19
MDS13	1.92015861782116	-0.007	0.07	0.007	0.059	0.0193928571428571	5.94e-22
MDS14	1.8481160185843	-0.007	0.065	0.007	0.064	0.04695	9.88636363636364e-15
MDS15	1.75169273997061	0.008	0.069	-0.008	0.059	0.0243333333333333	2.01e-16
