MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	16.2088050033156	-0.048	0.023	0.049	0.056	6.225e-45	0.00131
MDS2	8.28497757749775	0.004	0.072	-0.004	0.056	0.1443	5.28e-24
MDS3	5.45805507698325	-0.009	0.07	0.01	0.057	0.00395	1.62e-18
MDS4	3.91625264671663	-0.009	0.062	0.01	0.066	0.002127	1.08214285714286e-21
MDS5	3.59090560048666	0	0.066	0	0.063	0.993	1.875e-39
MDS6	3.21371121006927	0.009	0.066	-0.009	0.062	1.2225e-05	5.715e-50
MDS7	2.6796588147365	-0.001	0.064	0	0.065	0.881538461538461	8.625e-44
MDS8	2.59240344007363	-0.01	0.062	0.01	0.067	0.00048	5.35e-24
MDS9	2.32567978536708	-0.002	0.062	0.002	0.067	0.77875	4.48846153846154e-17
MDS10	2.2703873346411	-0.012	0.062	0.012	0.065	0.00048	4.55357142857143e-13
MDS11	2.16259996216177	-0.006	0.064	0.006	0.065	0.07125	1.11166666666667e-18
MDS12	2.05679950287579	0.001	0.07	-0.001	0.06	0.909642857142857	5.34375e-19
MDS13	1.81100217535625	0.005	0.07	-0.005	0.059	0.111666666666667	1.56818181818182e-17
MDS14	1.71236871007192	0.006	0.068	-0.006	0.061	0.0280714285714286	1.185e-26
MDS15	1.66665730202129	0.004	0.06	-0.004	0.069	0.231818181818182	1.6875e-17
