MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	17.6692241291581	-0.042	0.038	0.042	0.064	1.2465e-26	0.000317142857142857
MDS2	10.7135401603009	-0.015	0.071	0.014	0.061	1.07e-09	6.03e-31
MDS3	6.2890590469268	0.019	0.069	-0.018	0.06	1.07e-09	4.765e-21
MDS4	5.80280612353618	-0.017	0.07	0.017	0.06	4.0125e-06	3.98571428571429e-14
MDS5	5.04470466757891	0.008	0.063	-0.007	0.071	0.0441666666666667	9.35e-16
MDS6	4.65948508498024	-0.007	0.072	0.007	0.063	0.0183	5.07e-17
MDS7	4.20285617672187	0.009	0.069	-0.009	0.065	0.01365	2.62875e-17
MDS8	3.65651076010413	-0.004	0.07	0.003	0.065	0.21125	4.765e-21
MDS9	2.85019934989212	-0.004	0.077	0.005	0.057	0.357857142857143	1.08e-07
MDS10	2.79691073595352	-0.005	0.069	0.006	0.066	0.167727272727273	2.9625e-12
MDS11	2.51194326315371	0.001	0.07	-0.001	0.065	0.599	4.665e-08
MDS12	2.28937583675112	0.011	0.072	-0.01	0.061	0.00396	2.8e-10
MDS13	2.17729407422553	0.012	0.057	-0.011	0.074	0.01365	0.0025
MDS14	1.8482865185507	-0.007	0.073	0.007	0.062	0.165	4.46538461538461e-05
MDS15	1.70899333416087	0.004	0.067	-0.003	0.068	0.357857142857143	3.475e-06
