MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	14.3460291769406	-0.036	0.043	0.036	0.063	2.7e-25	5.71e-09
MDS2	13.075799366815	0.028	0.06	-0.028	0.057	2.655e-21	2.59285714285714e-20
MDS3	6.6171207882956	0.008	0.059	-0.009	0.069	0.002415	5.655e-28
MDS4	6.46662303310382	-0.007	0.065	0.008	0.065	0.02736	6.15e-25
MDS5	5.89051502145236	-0.002	0.062	0.002	0.068	0.364090909090909	3.885e-28
MDS6	5.17284317068355	-0.001	0.066	0.001	0.064	0.762692307692308	6.4875e-20
MDS7	4.79109222277629	0	0.062	0	0.068	0.94	7.61785714285714e-14
MDS8	3.68600881030067	-0.008	0.064	0.009	0.064	0.0192375	3.0875e-14
MDS9	3.55949075130898	-0.003	0.06	0.003	0.07	0.364090909090909	4.95e-21
MDS10	3.33236773219542	-0.004	0.059	0.004	0.071	0.268333333333333	5.4e-14
MDS11	3.20862447028819	0.005	0.067	-0.005	0.063	0.186857142857143	1.14e-21
MDS12	2.8341352426543	0.001	0.072	-0.001	0.058	0.830357142857143	4.38333333333333e-19
MDS13	2.62535547992047	0.003	0.066	-0.003	0.063	0.45875	4.06363636363636e-16
MDS14	2.52197730509334	-0.004	0.069	0.004	0.06	0.25875	4.5e-18
MDS15	2.17143314153317	-0.005	0.07	0.005	0.059	0.139	1.27125e-23
