MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	29.9390782464481	-0.03	0.056	-0.089	0.067	0.00229	0.155769230769231
MDS2	11.3974104075868	-0.031	0.069	0.056	0.086	0.0001125	7.905e-07
MDS3	10.4104706362181	-0.016	0.077	0.094	0.057	0.0001125	0.0883636363636364
MDS4	6.3976572660818	-0.007	0.086	-0.009	0.072	0.66375	0.0207428571428571
MDS5	6.22048377379212	-0.009	0.091	0.049	0.062	0.09975	0.01689
MDS6	3.34253784367996	0.005	0.088	-0.004	0.048	0.428571428571429	0.005175
MDS7	2.82993023576728	-0.009	0.087	0.028	0.085	0.781071428571429	0.002315
MDS8	2.01380919582756	-0.008	0.073	0	0.062	0.781071428571429	0.259
MDS9	1.82206066502544	-0.008	0.086	0.014	0.095	0.781071428571429	3.66e-05
MDS10	1.53613483716995	-0.012	0.082	0.016	0.094	0.1305	0.0883636363636364
MDS11	1.42589590425778	-0.001	0.071	-0.034	0.084	0.35	0.01915
MDS12	1.41472678734431	0.004	0.086	-0.016	0.069	0.802	0.10375
MDS13	1.29906222568481	-0.004	0.08	-0.029	0.074	0.781071428571429	0.0716666666666667
MDS14	1.19870902761347	-0.002	0.09	-0.001	0.067	0.781071428571429	0.0465
MDS15	1.14385928025285	0	0.072	0.013	0.057	0.781071428571429	0.18
