MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	16.0010436848082	-0.039	0.045	0.039	0.058	2.475e-27	2.48571428571429e-05
MDS2	11.4015136774972	0.024	0.065	-0.024	0.055	1.935e-15	6.6e-18
MDS3	5.76582307421919	-0.021	0.065	0.022	0.058	6.05e-10	4.695e-10
MDS4	5.03583080491518	0.013	0.069	-0.013	0.058	1.53375e-05	9.45e-20
MDS5	4.41041423216797	-0.002	0.06	0.002	0.069	0.5825	2.39625e-17
MDS6	4.03350057217357	0.004	0.066	-0.004	0.063	0.3525	3.075e-12
MDS7	3.65985664104827	0.008	0.065	-0.008	0.064	0.0087	1.995e-22
MDS8	3.37142935775102	-0.001	0.069	0.001	0.06	0.606428571428571	4.5e-17
MDS9	2.9387258044987	0.003	0.071	-0.003	0.058	0.582272727272727	1.83333333333333e-10
MDS10	2.75133202353647	-0.007	0.061	0.008	0.068	0.0627857142857143	5.3375e-08
MDS11	2.41631553849007	0.003	0.07	-0.003	0.06	0.582272727272727	1.90909090909091e-08
MDS12	2.18352344033266	-0.002	0.071	0.002	0.059	0.604615384615385	4.09285714285714e-13
MDS13	2.09269410597883	-0.003	0.074	0.003	0.055	0.582272727272727	1.66153846153846e-07
MDS14	1.98936629773234	-0.002	0.064	0.002	0.066	0.642	0.109
MDS15	1.84896524284583	-0.013	0.069	0.013	0.058	9.84e-05	7.1e-16
