MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	18.9155732491146	-0.042	0.038	0.043	0.058	1.545e-31	0.00142
MDS2	8.85939160796265	-0.013	0.069	0.013	0.057	1.2675e-05	7.4175e-21
MDS3	6.31117230538358	0.013	0.061	-0.013	0.066	6.45e-05	9.54e-16
MDS4	5.91609110169234	0.007	0.065	-0.007	0.064	0.0455625	2.065e-15
MDS5	4.94871246641215	0.008	0.066	-0.008	0.062	0.023525	9.54e-16
MDS6	4.45070453832856	0.002	0.068	-0.002	0.062	0.632307692307692	8.2e-16
MDS7	4.18240025574764	0.001	0.067	-0.001	0.062	0.72	6.165e-21
MDS8	3.84515313201032	0.014	0.063	-0.014	0.063	6.45e-05	2.1e-08
MDS9	3.38011377337806	-0.006	0.058	0.006	0.071	0.143181818181818	3.075e-09
MDS10	3.30625873744092	0.009	0.063	-0.009	0.065	0.01371	1.59428571428571e-10
MDS11	2.90000088185551	0.009	0.065	-0.009	0.064	0.0259285714285714	2.625e-06
MDS12	2.30625339743873	0.006	0.06	-0.006	0.069	0.12825	5.7e-06
MDS13	2.20652028437438	-0.001	0.072	0.001	0.057	0.72	5.7e-06
MDS14	1.95116783315699	-0.005	0.061	0.005	0.069	0.23	0.000136071428571429
MDS15	1.80121045352696	0.007	0.067	-0.008	0.062	0.0835	5.90769230769231e-05
