MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	16.1470204308781	0.012	0.063	-0.012	0.07	2.64e-09	2.65714285714286e-47
MDS2	7.0140585264814	-0.04	0.036	0.04	0.067	5.16e-26	5.64e-06
MDS3	4.70604307345557	-0.016	0.07	0.015	0.06	1.695e-16	2.745e-42
MDS4	3.5698069034336	-0.006	0.074	0.006	0.06	0.01995	2.335e-47
MDS5	3.11398645822719	-0.01	0.069	0.01	0.065	5.875e-09	1.3335e-61
MDS6	2.80214151790815	0.011	0.07	-0.011	0.063	4.6125e-07	2.6e-42
MDS7	2.69861028499435	-0.01	0.068	0.01	0.065	2.64e-09	5.895e-60
MDS8	2.41977496958101	0.012	0.067	-0.013	0.066	2.7e-08	1.60909090909091e-40
MDS9	2.21991541346305	0.005	0.067	-0.004	0.068	0.27375	1.33928571428571e-36
MDS10	2.17866601898315	0.001	0.07	-0.001	0.066	0.334615384615385	8.0625e-56
MDS11	1.97133099062698	-0.002	0.068	0.003	0.067	0.583	1.33928571428571e-36
MDS12	1.89244816922366	-0.003	0.068	0.003	0.067	0.538928571428571	5.3e-59
MDS13	1.78870485858652	-0.003	0.071	0.004	0.064	0.0394090909090909	5.23125e-44
MDS14	1.77644448588224	0.005	0.07	-0.005	0.065	3e-04	3.75e-53
MDS15	1.7543989413073	-0.016	0.065	0.015	0.067	2.35e-09	1.275e-36
