MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	13.5020177165526	0.006	0.063	-0.006	0.066	6.49285714285714e-05	2.03625e-59
MDS2	5.69645204141574	0.024	0.055	-0.024	0.065	3.1275e-12	3.44e-10
MDS3	4.36472396546631	0.033	0.056	-0.033	0.056	2.13e-40	5.3e-40
MDS4	3.64349650111066	0.022	0.063	-0.022	0.059	1.19e-10	1.17857142857143e-11
MDS5	2.89853920342162	-0.006	0.068	0.006	0.062	0.0006975	1.9275e-55
MDS6	2.71559251617314	0.004	0.063	-0.004	0.066	0.0153333333333333	5.13333333333333e-51
MDS7	2.24817043898503	0.002	0.066	-0.002	0.063	0.462692307692308	1.00772727272727e-40
MDS8	2.18366769815219	-0.011	0.065	0.011	0.063	4.3125e-09	3.61875e-54
MDS9	2.0745131138626	0.004	0.067	-0.004	0.062	0.0505909090909091	8.61e-59
MDS10	1.96426937881407	-0.005	0.062	0.005	0.068	0.060375	1.12615384615385e-34
MDS11	1.88627220504902	0.011	0.066	-0.011	0.062	1.659e-08	1.725e-47
MDS12	1.72618985711414	0.008	0.066	-0.009	0.063	4.375e-07	2.3325e-62
MDS13	1.68901460547816	-0.004	0.062	0.004	0.067	0.02325	4.43571428571429e-55
MDS14	1.62975294691684	0.001	0.067	-0.001	0.063	0.515357142857143	8.85e-69
MDS15	1.55574206085479	0	0.064	0	0.066	0.767	1.08e-59
