MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	20.3791576311533	0.002	0.075	-0.002	0.059	0.523125	3.36e-20
MDS2	14.0345481094529	0.037	0.039	-0.036	0.07	1.68e-20	0.000346666666666667
MDS3	10.8091469413041	0.001	0.071	-0.001	0.065	0.62	4.735e-14
MDS4	7.69844027271995	0.003	0.071	-0.005	0.061	0.575	2.53875e-10
MDS5	6.69661499278527	0.028	0.062	-0.028	0.061	2.3625e-14	2.442e-09
MDS6	5.14157643669575	0.001	0.076	-0.001	0.059	0.841	9.45e-07
MDS7	4.43884538328683	0.002	0.06	-0.002	0.075	0.5985	2.11071428571429e-07
MDS8	4.02324827658828	0.008	0.073	-0.007	0.06	0.16925	7.25e-09
MDS9	2.42899013969359	0.001	0.067	-0.001	0.069	0.841	0.038625
MDS10	2.16551352457105	-0.01	0.063	0.009	0.071	0.1035	0.005055
MDS11	1.95562347453513	-0.007	0.067	0.006	0.068	0.16925	1.485e-19
MDS12	1.77954620728153	0.002	0.067	-0.001	0.067	0.766153846153846	0.0245454545454545
MDS13	1.61714930800051	-0.004	0.069	0.003	0.066	0.62	0.08625
MDS14	1.52499058277196	-0.006	0.072	0.005	0.062	0.447857142857143	0.0571153846153846
MDS15	1.42567808882382	-0.008	0.065	0.009	0.069	0.16925	0.597
