MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	20.3528634826455	0.007	0.069	-0.007	0.06	0.061	5.05e-19
MDS2	18.0131562306265	0.038	0.04	-0.039	0.062	1.3125e-30	1.723125e-09
MDS3	13.5490686020266	0.013	0.065	-0.013	0.063	4.505e-05	6.4875e-20
MDS4	10.7458075325677	-0.016	0.057	0.016	0.068	3.705e-06	3.8e-12
MDS5	7.81685672735167	-0.009	0.066	0.009	0.063	0.0154125	4.35e-12
MDS6	6.99359136043386	-0.005	0.059	0.005	0.07	0.170571428571429	6.33e-24
MDS7	4.68148049556012	-0.005	0.062	0.005	0.067	0.195	8.7e-14
MDS8	3.5878118995184	-0.004	0.066	0.004	0.064	0.2805	3.31666666666667e-09
MDS9	3.16931597514513	0	0.072	0	0.057	0.971	1.4625e-05
MDS10	2.57918629220967	0.005	0.07	-0.005	0.059	0.27	6.015e-07
MDS11	2.07751437969379	0.003	0.068	-0.003	0.062	0.4725	3.8e-12
MDS12	1.82274038354998	0.004	0.067	-0.004	0.062	0.339545454545455	0.000948461538461538
MDS13	1.51250961739986	0.011	0.069	-0.011	0.059	0.02187	0.104678571428571
MDS14	1.05321861131746	0	0.067	0	0.062	0.971	1.22181818181818e-05
MDS15	0.988074386976854	-0.002	0.071	0.002	0.058	0.796153846153846	1
