MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	18.2151395733783	-0.04	0.052	0.04	0.05	6.135e-32	1.8225e-08
MDS2	16.0481267077609	-0.024	0.061	0.025	0.059	7.0425e-13	5.1825e-09
MDS3	10.882966731877	0.014	0.059	-0.015	0.067	9.7e-05	5.1825e-09
MDS4	8.40774322910554	-0.01	0.067	0.011	0.061	0.02202	0.1425
MDS5	7.41098861517921	-0.011	0.062	0.011	0.065	0.0047625	7.35e-09
MDS6	5.0416008840145	-0.004	0.069	0.004	0.06	0.608333333333333	0.306923076923077
MDS7	4.4788655672164	0.002	0.07	-0.001	0.058	0.69	0.0001365
MDS8	2.92982114640958	0.008	0.065	-0.008	0.064	0.06575	1.29e-07
MDS9	2.61923780228382	-0.001	0.063	0.001	0.067	0.927	0.00159
MDS10	2.42964099494971	0.003	0.057	-0.002	0.072	0.63125	0.0069
MDS11	2.09074796729314	-0.002	0.059	0.003	0.07	0.621818181818182	0.00373125
MDS12	1.92349864128765	0.007	0.061	-0.007	0.068	0.134571428571429	0.00603333333333333
MDS13	1.71188575980979	0.004	0.063	-0.004	0.066	0.608333333333333	1
MDS14	1.54336848390482	0	0.059	-0.001	0.07	0.891428571428571	0.0114954545454545
MDS15	1.25032943554476	0.003	0.068	-0.004	0.062	0.621818181818182	0.985714285714286
