Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	14.6254939325427	1.65968850328979e-46	0.647463299048199	0.00114428968933374
MDS2	10.1431654239427	1.91674721247787e-08	0.359969179316214	6.6900488744861e-19
MDS3	5.56835959187202	0.905149555482825	0.733909515462335	1.01719222413689e-37
MDS4	4.98897545534736	0.905089873856291	0.255684608245097	3.17098588174794e-37
MDS5	4.79820288907682	3.3417242693724e-06	0.84839561354224	1.54730118776199e-27
MDS6	4.21302134097025	0.969585390963084	0.648520657475052	4.03452388364315e-25
MDS7	3.44702634604305	0.23221824827834	0.190522215794576	2.47939103276686e-15
MDS8	3.28169540791204	0.789790113969211	0.483358746098696	6.25653027338379e-17
MDS9	3.09480144138659	0.868674078393676	0.575645580097758	1.18786300867265e-23
MDS10	2.72606903357869	0.890240329367767	0.718584689836008	4.81487497276536e-23
MDS11	2.3632623290172	0.394930196252218	0.971141653463589	5.57700587449073e-22
MDS12	2.28857633496638	0.0573854658084604	0.186434192349129	1.48937667625818e-22
MDS13	2.16979076865846	0.181260544439731	0.886336682574736	9.36787167692043e-21
MDS14	2.07689754960603	0.18785780383468	0.364491762839448	1.73053813772036e-16
MDS15	1.95379087703774	0.00347427592506761	0.494531005952882	3.69873941502534e-13
MDS16	1.81460541043894	0.732916812368544	0.904587223435392	1.8456463994463e-29
