Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	27.070783707208	6.90550329085382e-13	3.02056914391719e-08	6.7948733791323e-06
MDS2	11.540025484953	0.0144541190282447	0.038429040806606	1.8717634374026e-05
MDS3	8.50612275999338	0.243069253500775	0.233979538471627	0.000112267384946806
MDS4	7.72021319973073	0.670385499788568	0.527585459651659	0.000739059396668838
MDS5	6.9888015348113	0.28824239695245	0.264502603093999	2.11553842204688e-05
MDS6	5.78418701612757	0.00225895752558816	0.0127456781274881	0.206596718768535
MDS7	5.50440596623579	0.585019424293239	0.464422150785802	0.0131154374672522
MDS8	4.54733288260274	0.0950708336057236	0.124120367494435	0.298597395818664
MDS9	4.01760531548745	0.158999106020172	0.174438369728304	0.00399135923750277
MDS10	3.54154729570083	0.165182104174145	0.179004482762125	0.187554077859742
MDS11	3.03137989238579	0.522035706708921	0.42039861722457	0.0005187566339697
MDS12	2.15600405256279	0.0787664969296082	0.109924763372869	0.376827769300934
MDS13	1.75961420068706	0.53803165415945	0.431422799532966	0.00259859518036462
MDS14	1.70776938838334	0.792815634925743	0.630395905461226	0.317422713139617
MDS15	1.34519873837432	0.952711070534085	0.826087109248587	3.62813815040122e-05
MDS16	1.06317858976351	0.317335887839781	0.28388476856143	0.00553613879739856
