Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	17.723699706928	2.17403817734998e-51	0.962964365755957	1.67531109152299e-05
MDS2	8.97299528422519	1.90869846976234e-14	0.264849131692299	5.41154024685297e-12
MDS3	5.56179852860043	0.000363972772332413	0.676911657424073	9.76718758497084e-24
MDS4	4.84696047494346	0.231948192249644	0.8419563724811	4.41044751264676e-48
MDS5	4.3367021932866	0.0174703115310524	0.176262254201854	4.1877156863699e-31
MDS6	3.61349230203606	0.0112501653186256	0.706826209240354	4.84354307835422e-24
MDS7	3.2430971002756	0.673474300740861	0.325022477159966	7.52872742683825e-15
MDS8	2.98504666073709	0.840882356426603	0.943246584539718	1.9404165440313e-34
MDS9	2.75270914373525	0.815767038484019	0.449303817492328	1.26256861804285e-14
MDS10	2.55794509041101	0.0583588853592856	0.645186538097153	5.56808729142055e-08
MDS11	2.45264317442259	0.116578795282529	0.955445890768074	1.85965605323723e-11
MDS12	2.16417373475414	0.0158789838423452	0.61174977457952	2.42113043392196e-16
MDS13	2.03105584861024	0.659368130911276	0.925622682306855	7.75174288609785e-09
MDS14	1.87416108850424	0.0169291252472339	0.250990173804489	1.96079199019194e-06
MDS15	1.6986039097859	0.632093262274234	0.246568249780143	5.72792892208152e-15
MDS16	1.61434318837393	0.755335656006801	0.93822539130727	9.76770177864999e-09
