Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	20.1708600586	3.28691258287448e-40	0.936849653821294	0.00924169548156089
MDS2	7.17958476785018	0.0108044576354721	0.539451707587712	4.85313314150348e-52
MDS3	6.2772293073054	0.941273034781369	0.583379768348612	5.33050095831191e-44
MDS4	5.0365086684031	0.000268751736374345	0.833785739067142	7.61970798870578e-37
MDS5	4.02513084475405	3.48601880312284e-12	0.348587262443845	5.51553088700676e-26
MDS6	3.51756495476061	0.0410494691175535	0.0396890743292199	1.17750981196365e-16
MDS7	3.32220411411643	0.608626107930412	0.921861462305199	2.54216393169277e-36
MDS8	3.01272146797831	0.0263649752851061	0.00852366413931283	1.49284862865329e-15
MDS9	2.64419907537796	0.0388607780259105	0.355083705332713	5.62293969130075e-12
MDS10	2.48675334353681	0.823618337145998	0.644092600029409	3.25538682730281e-31
MDS11	2.39569832929277	0.269338227102334	0.710874125041898	6.21421428730083e-06
MDS12	2.28929827502161	0.116730682474749	0.0893462541041792	2.14685529707267e-22
MDS13	1.95470655807662	0.00299017210570692	0.521966824890371	2.43984808458097e-23
MDS14	1.87242651077967	8.23058926787407e-05	0.419052714849568	2.2404270153977e-23
MDS15	1.83218598791252	0.00311605827832228	0.358690005327022	4.88197398929568e-10
MDS16	1.69432881151887	0.752955941525469	0.169434252201512	5.95060174296874e-17
