Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	14.1626832277549	1.32948529074633e-56	0.865740900353084	0.00899953401212074
MDS2	10.6163227558179	0.013726310643042	0.564051068672682	1.70222415291292e-24
MDS3	5.56570485274601	0.000218545187637777	0.959904107552424	1.05848529826758e-39
MDS4	4.91796709826054	0.00192153807659616	0.896254139087273	5.72465667009011e-34
MDS5	4.44228823574932	0.0305183816822997	0.210029435036459	6.58685359843841e-34
MDS6	3.72566511402557	0.744146240598475	0.169617316714907	9.88268566926093e-28
MDS7	3.45676953646252	0.309689008308679	0.429229212326929	6.24391445263984e-21
MDS8	3.1351678244163	0.463886417029777	0.818982786879994	2.04219134376283e-31
MDS9	2.68582844369168	0.366306808274581	0.844202493982505	1.82498980518042e-18
MDS10	2.44005808003488	0.415363068089681	0.752427648543926	9.43033587754828e-23
MDS11	2.34833873938492	0.140874658543238	0.887956377353441	1.9761341166629e-12
MDS12	2.24304393868466	0.0825477067641901	0.936667955105467	7.1135686049059e-23
MDS13	2.03801020979845	0.558671247228547	0.558750007415253	5.52836479144816e-18
MDS14	1.98316355962854	0.942068317443792	0.37340521175148	1.04431481740779e-18
MDS15	1.92852141656646	0.703136659196072	0.445179349574734	2.47719372263715e-19
MDS16	1.75372638157983	0.00660109546257957	0.0612602075056547	1.3451111609519e-14
