Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	18.9411434495524	1.07606641103907e-69	0.523758796987905	0.000355955422959615
MDS2	6.4140437586192	0.0248829986037768	0.425486807835319	1.1213596534114e-30
MDS3	5.17933755938393	0.00268299103605073	0.12864482089728	1.82811769789233e-14
MDS4	4.22073334320132	0.292872740256827	0.909485859644951	2.44154619534183e-33
MDS5	3.79209689841205	0.0323292192519125	0.610729353029501	1.44407728536476e-21
MDS6	3.17240828800592	0.138421536553443	0.605653386758756	6.68516952456963e-43
MDS7	2.84421221659217	0.000463758326336995	0.548067043199927	1.32504785351366e-29
MDS8	2.50139828884115	0.653910993472787	0.406569455967724	5.50206106700607e-17
MDS9	2.4383300379734	0.978304230385162	0.201333171043042	6.69001041670814e-12
MDS10	2.28956585025845	0.03866412831535	0.323439975351224	2.6771920884843e-18
MDS11	2.19464127991375	0.600674746178892	0.736664534381019	2.21308868752499e-14
MDS12	1.96091955883955	0.948642381230763	0.224684828345859	2.19690643548852e-19
MDS13	1.92015861782116	0.0737879669935653	0.527934649485376	2.05528988222134e-22
MDS14	1.8481160185843	0.0833514553122537	0.994143938457001	7.403701694091e-15
MDS15	1.75169273997061	0.0444170586571389	0.561597904734504	1.14195824643123e-16
MDS16	1.606571162221	0.00422380399980678	0.644200773377542	7.21244116742439e-20
