Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	16.2088050033156	2.53031116137508e-64	0.615405497483716	0.000355270554916538
MDS2	8.28497757749775	0.263015516025793	0.281901708109575	2.0051126518016e-24
MDS3	5.45805507698325	0.00341017203837969	0.338105939966909	9.38651215380737e-19
MDS4	3.91625264671663	0.00656133555680606	0.51223102258881	6.3652603111467e-22
MDS5	3.59090560048666	0.98255239606948	0.136508098551592	3.76421064901295e-40
MDS6	3.21371121006927	0.0033212100173979	0.810475832309123	3.87526526557723e-51
MDS7	2.6796588147365	0.974590504429246	0.880034054973029	1.15162944233517e-44
MDS8	2.59240344007363	0.00575516966052276	0.708550506340427	2.74383841783347e-24
MDS9	2.32567978536708	0.90911190039574	0.819721889341278	3.97246114842695e-17
MDS10	2.2703873346411	0.000100153229032947	0.0914077267093496	4.69595693600315e-13
MDS11	2.16259996216177	0.102793839543849	0.129076277498902	6.61424016075561e-19
MDS12	2.05679950287579	0.928170378637523	0.279872898646466	2.83412721792773e-19
MDS13	1.81100217535625	0.254143198203738	0.964440817468572	1.09673986818032e-17
MDS14	1.71236871007192	0.144634524809667	0.927990452266866	3.32015707995701e-27
MDS15	1.66665730202129	0.452682460192894	0.278565859694188	1.48156571563906e-17
MDS16	1.49380942367579	0.455474873197802	0.632471155791407	7.61107469257399e-19
