Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	27.1235050568079	1.1657217027255e-11	0.914111802425057	0.119446059857938
MDS2	12.5017087580898	0.0146069382507143	0.157654416315233	8.91657389160548e-07
MDS3	7.12662471170632	0.85415800116063	0.210874524294073	1.08960510365123e-07
MDS4	4.86665661377382	7.78426868845641e-15	0.47307435680635	9.54211336371979e-05
MDS5	4.43552157020057	0.869066478439198	0.0859060941520306	3.97264817877893e-18
MDS6	4.26742756010788	4.34073188676614e-06	0.754739432296744	1.63695267493207e-16
MDS7	2.8776077882224	0.654044177885995	0.593744218777892	1.95394706688899e-17
MDS8	2.51529056264017	0.263576346094088	0.925265878413891	0.000469539950146762
MDS9	2.276659546383	3.59707865654873e-10	0.67339550572925	2.61821407268368e-11
MDS10	1.81662848916632	2.55020674365512e-09	0.608800498590694	3.79239258171796e-06
MDS11	1.60915249191959	0.545028271272741	0.171978221688729	4.36194249685956e-08
MDS12	1.5744379715725	0.225432599267105	0.8276400725549	1.21704450222388e-11
MDS13	1.43745195785975	0.000784651656437711	0.626996476723903	2.70700517084151e-07
MDS14	1.26365544096498	0.703906373961634	0.697690325516721	1.40198311727204e-17
MDS15	1.13108876991361	0.0385330098637196	0.336790434956078	9.24858074003903e-05
MDS16	1.11799586442889	0.0886497704508283	0.448745839226157	2.16597795100736e-10
